analysis_id,experiment,nominal_block_scale,block_size_cells,source_type,baseline_roc_auc,thermal_roc_auc,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,baseline_pr_auc,thermal_pr_auc,delta_pr_auc,delta_pr_auc_ci_low,delta_pr_auc_ci_high,valid_bootstrap_replicates,bootstrap_stability,roc_support,pr_support,robustness_status
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,approximately_1_km,2,frozen_original_small_block,0.8411807102607785,0.90807357717935,0.06689286691857155,0.06049303885315217,0.07320023457732208,0.4698773243148263,0.6455894428110062,0.17571211849617985,0.1545369805112801,0.19499781027615876,1000,stable,bootstrap_supported_positive,bootstrap_supported_positive,supported_on_both_metrics
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,bejis_2022,approximately_1_km,2,frozen_original_small_block,0.8616776566230079,0.9178110845861024,0.05613342796309451,0.04785293453566909,0.06532669211393939,0.3027735748414686,0.49780780629444993,0.19503423145298132,0.15561515941809942,0.2310227015727393,1000,stable,bootstrap_supported_positive,bootstrap_supported_positive,supported_on_both_metrics
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,approximately_5_km,10,new_large_block_robustness,0.8203196301445599,0.8822236106383259,0.061903980493766,0.03988046715588632,0.08228606115865199,0.41980236058073195,0.5766666640341844,0.15686430345345248,0.08687649870709506,0.21192287651269748,1000,stable,bootstrap_supported_positive,bootstrap_supported_positive,supported_on_both_metrics
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,manavgat_2021,approximately_10_km,20,new_large_block_robustness,0.7975708124521669,0.8445107312976732,0.0469399188455063,0.01569334106478717,0.08071620597695991,0.37271451852944637,0.47215070287633887,0.0994361843468925,0.028954418187384128,0.17693396578702625,1000,stable,bootstrap_supported_positive,bootstrap_supported_positive,supported_on_both_metrics
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,bejis_2022,approximately_5_km,10,new_large_block_robustness,0.7793700238725079,0.8244685786179753,0.04509855474546742,0.017779925188335717,0.06900319118514003,0.18989140055760242,0.2977139932662314,0.10782259270862896,0.0407807820490879,0.1997154635968044,1000,stable,bootstrap_supported_positive,bootstrap_supported_positive,supported_on_both_metrics
bb909a2c9bff1b7b76c95fa6fd36144d54bfd532883d305238bebd8c97915d3a,bejis_2022,approximately_10_km,20,new_large_block_robustness,0.7385555842312408,0.79516607523066,0.05661049099941917,0.031047499373364113,0.08986569226136527,0.16381091404658613,0.24732417239642454,0.08351325834983842,0.022368504769037515,0.16085715593347866,995,stable,bootstrap_supported_positive,bootstrap_supported_positive,supported_on_both_metrics
