feature,population,source_experiment_id,target_experiment_id,source_row_count,source_valid_count,source_missing_count,source_missing_fraction,source_mean,source_standard_deviation,source_minimum,source_q05,source_q25,source_median,source_q75,source_q95,source_maximum,source_iqr,target_row_count,target_valid_count,target_missing_count,target_missing_fraction,target_mean,target_standard_deviation,target_minimum,target_q05,target_q25,target_median,target_q75,target_q95,target_maximum,target_iqr,mean_difference,smd,robust_median_difference,ks_statistic,wasserstein_distance,normalized_wasserstein_by_source_iqr,normalized_wasserstein_by_target_iqr,psi_source_to_target,psi_target_to_source,fraction_target_below_source_q01,fraction_target_above_source_q99,outside_source_support_fraction,fraction_source_below_target_q01,fraction_source_above_target_q99,outside_target_support_fraction,abs_smd_ge_0_2,abs_smd_ge_0_5,abs_smd_ge_0_8,psi_ge_0_10,psi_ge_0_25,outside_source_support_ge_0_10
ndvi_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,20511,20511,0,0.0,0.5051627882258325,0.11752715163164283,0.11409561336040497,0.2896921783685684,0.42450620234012604,0.5159054398536682,0.5953416526317596,0.6773295700550079,0.8108934164047241,0.1708354502916336,3946,3946,0,0.0,0.6090219003095038,0.10714200842074872,0.17860862612724304,0.41303908824920654,0.5447921752929688,0.6199576258659363,0.6836505830287933,0.7638556957244873,0.8582208752632141,0.13885840773582458,0.10385911208367127,0.9235654156799099,0.6719680311066586,0.35584988787369676,0.10385968896114639,0.6079516211877996,0.7479539097030222,0.7934417982369568,0.8602924727490214,0.0007602635580334517,0.12620375063355296,0.12696401419158643,0.08814782311930183,0.0,0.08814782311930183,True,True,True,True,True,True
elevation_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,20511,20511,0,0.0,860.3555184309437,564.3233243797332,0.3817388415336609,41.04040336608887,319.5789794921875,879.5394287109375,1308.229248046875,1786.7989501953125,2355.298095703125,988.6502685546875,3946,3946,0,0.0,279.73783761509105,210.40976662722798,0.6294897794723511,27.71040630340576,115.03299522399902,220.4386215209961,409.7648162841797,685.2389831542969,1168.8408203125,294.73182106018066,-580.6176808158526,-1.3633635229532715,-1.0271310664585196,0.5394619943959458,580.6177527216721,0.5872832600050572,1.9699866496706409,4.638680624870301,1.5211996122840166,0.01444500760263558,0.0,0.01444500760263558,0.006240553849154113,0.5052898444736971,0.5115303983228512,True,True,True,True,True,False
slope_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,20511,20511,0,0.0,18.474968663615453,7.8652913764886385,0.3078221380710602,4.550395488739014,13.33955717086792,18.638898849487305,23.762943267822266,31.293357849121094,48.96288299560547,10.423386096954346,3946,3946,0,0.0,15.308913407413959,6.3814923266277495,0.6837605237960815,5.0278013944625854,11.429555654525757,14.919017791748047,18.812978744506836,26.36136484146118,46.745445251464844,7.383423089981079,-3.166055256201494,-0.442067823030569,-0.41780433750797713,0.24274802861891348,3.21611627271605,0.30854812848732344,0.4355860734948472,0.34171417040931407,0.34724975602518937,0.017486061834769386,0.00506842372022301,0.0225544855549924,0.004924187021598167,0.027253668763102725,0.03217785578470089,True,False,False,True,True,False
lst_anomaly_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,20511,20158,353,0.017210277412120327,-0.26791384565482546,1.2782006880606869,-5.905601501464844,-2.1082844853401186,-1.0624089241027832,-0.38342034816741943,0.35480646044015884,2.0929248332977295,8.615015983581543,1.417215384542942,3946,3812,134,0.03395843892549417,0.5322409252189072,0.8208057526399379,-2.931502103805542,-0.7449071824550628,-0.017016050405800343,0.48933272063732147,1.06621652841568,1.9382050216197964,5.275233745574951,1.0832325788214803,0.8001547708737327,0.7449315122263769,0.69807736980891,0.3869918722886677,0.8746434348054468,0.6171563224227368,0.8074382657111631,1.1320617951881191,0.8790089498407043,0.0,0.0005246589716684155,0.0005246589716684155,0.20731223335648377,0.03214604623474551,0.23945827959122928,True,True,False,True,True,False
current_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,20511,20451,60,0.00292525961679099,35.63533279415588,4.554247818206214,21.510629653930664,28.69150733947754,32.16554069519043,35.286354064941406,39.01185989379883,43.319766998291016,50.527198791503906,6.846319198608398,3946,3927,19,0.00481500253421186,34.85895936313646,3.573024507464253,25.036821365356445,29.566494941711426,32.33316993713379,34.4425048828125,37.16679000854492,41.55742607116699,45.967350006103516,4.833620071411133,-0.7763734310194224,-0.1896764881704777,-0.14449547426927592,0.1180763395814004,1.0978015290552554,0.16034915948388698,0.227117877043812,0.14705950145521654,0.13802796809573573,0.004583651642475172,0.0005092946269416857,0.005092946269416858,0.0233729401985233,0.046452496210454254,0.06982543640897755,False,False,False,True,False,False
current_tvdi_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,20511,20451,60,0.00292525961679099,0.49601713654458934,0.2396788593099416,0.0,0.11709146574139595,0.3045341372489929,0.48883330821990967,0.6947340667247772,0.8787487745285034,0.9998425841331482,0.3901999294757843,3946,3927,19,0.00481500253421186,0.54585315203491,0.20378406890218595,0.01841793768107891,0.21198269277811052,0.40266813337802887,0.5394419431686401,0.6972156465053558,0.8928358256816864,0.9991520643234253,0.29454751312732697,0.049836015490320684,0.22402576189764395,0.14781693745752011,0.1348951278539074,0.05094962237952942,0.13057312042054417,0.17297590408615987,0.14186676915671037,0.12818888992333644,0.0010185892538833714,0.005856888209829387,0.006875477463712758,0.04166055449611266,0.01237103320131045,0.05403158769742311,True,False,False,True,False,False
tvdi_difference_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,20511,20450,61,0.0029740139437375067,-0.03478732254328692,0.11634293005810888,-0.4444761574268341,-0.2184672884643078,-0.10240516811609268,-0.04026435874402523,0.024040429387241602,0.18285264447331429,0.4202253818511963,0.12644559750333428,3946,3927,19,0.00481500253421186,-0.006044141582718338,0.08335368847691722,-0.33126014471054077,-0.15604938715696334,-0.056423308327794075,0.0012998287566006184,0.05103854089975357,0.12149191796779629,0.2417716383934021,0.10746184922754765,0.02874318096056858,0.28401912648625843,0.35539003209629993,0.19739797763960004,0.042825643944628344,0.3386882959171359,0.3985195141574957,0.27601071882521844,0.24924753198302046,0.0007639419404125286,0.0,0.0007639419404125286,0.04748166259168704,0.05882640586797066,0.1063080684596577,True,False,False,True,True,False
downscaled_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,20511,20511,0,0.0,35.62513808688929,4.282963075448417,23.358020782470703,29.09154987335205,32.3734073638916,35.26008987426758,38.82696533203125,42.77144241333008,49.44837951660156,6.453557968139648,3946,3921,25,0.0063355296502787635,34.87571267514957,3.376725771743917,25.05513572692871,29.850481033325195,32.544029235839844,34.52373504638672,37.001731872558594,41.27792739868164,45.119873046875,4.45770263671875,-0.7494254117397148,-0.1943250391291123,-0.1349715407865864,0.12202495557555704,1.0275470503737143,0.15922178981680749,0.23051045215749894,0.16410716765748484,0.14852725977572195,0.007906146391226727,0.0007651109410864575,0.008671257332313186,0.014333772122275852,0.03851591828774804,0.05284969041002389,False,False,False,True,False,False
fused_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021,20511,20511,0,0.0,35.623279489700685,4.541524647963387,21.817808151245117,28.743157386779785,32.106834411621094,35.25498580932617,38.99820899963379,43.31509017944336,50.527198791503906,6.891374588012695,3946,3946,0,0.0,34.86269087097818,3.5542351247803436,25.036821365356445,29.5906400680542,32.362993240356445,34.46201133728027,37.120819091796875,41.55814838409424,45.967350006103516,4.75782585144043,-0.7605886187225082,-0.1865161908242934,-0.13614230026642496,0.12077338843041785,1.0927157929472757,0.15856282066686908,0.22966704269271573,0.15004693842498118,0.14475337327451904,0.005828687278256462,0.0005068423720223011,0.0063355296502787635,0.020623080298376482,0.04738920579201404,0.06801228609039052,False,False,False,True,False,False
ndvi_mean,all_valid,manavgat_2021,evia_2021,24087,24087,0,0.0,0.45979140700432464,0.16300509710872405,-0.35436251759529114,0.13342710733413696,0.3676487058401108,0.48828625679016113,0.5816831588745117,0.6715366899967193,0.8108934164047241,0.21403445303440094,7728,7728,0,0.0,0.3743491807570942,0.29125842085234405,-0.5877500772476196,-0.17774647176265715,0.16304675117135048,0.4280097186565399,0.623127669095993,0.7346396654844284,0.8582208752632141,0.46008091792464256,-0.08544222624723041,-0.36202687152334734,-0.1788315197378384,0.25836054447555157,0.1229827049183849,0.5745930301165969,0.26730668481783987,0.705201131798862,0.7570172837821016,0.0811335403726708,0.07142857142857142,0.15256211180124224,0.0,0.0,0.0,True,False,False,True,True,True
