experiment_a,experiment_b,feature,experiment_a_auc,experiment_a_ci_low,experiment_a_ci_high,experiment_a_direction,experiment_b_auc,experiment_b_ci_low,experiment_b_ci_high,experiment_b_direction,point_direction_reversal,reversal_status,step9e_relationship_direction_flag
bejis_2022,evia_2021_extended,ndvi_mean,0.5587527905026131,0.4971818582643429,0.619346637555737,higher_values_rank_burned,0.6391494562092995,0.5749285449525442,0.7006046421340476,higher_values_rank_burned,False,no_direction_reversal,False
bejis_2022,evia_2021_extended,elevation_mean,0.6432824053164721,0.5583150457861116,0.7290055219147464,higher_values_rank_burned,0.540559580910425,0.4483537317612215,0.626146085073554,higher_values_rank_burned,False,no_direction_reversal,False
bejis_2022,evia_2021_extended,slope_mean,0.5207878895412608,0.4393212094762653,0.605295958421595,higher_values_rank_burned,0.486543098344048,0.41769297357779134,0.554042450008236,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
bejis_2022,evia_2021_extended,lst_anomaly_mean,0.4179915266529903,0.36378505075441114,0.4795630994864565,lower_values_rank_burned,0.6400549435604515,0.5671047052827075,0.710175869871198,higher_values_rank_burned,True,bootstrap_supported_direction_reversal,True
bejis_2022,evia_2021_extended,current_lst_mean,0.47674775069349284,0.4011532923534438,0.5474889652503846,lower_values_rank_burned,0.37651907667348405,0.3012790089007279,0.45585820887246337,lower_values_rank_burned,False,no_direction_reversal,False
bejis_2022,evia_2021_extended,current_tvdi_mean,0.5172782323463783,0.42900913810605534,0.595208856020078,higher_values_rank_burned,0.36188826587369816,0.2852365355103699,0.44217142834635265,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
bejis_2022,evia_2021_extended,tvdi_difference_mean,0.5124941631737097,0.44315493285236285,0.5829402577021532,higher_values_rank_burned,0.5191031776643451,0.4444187250619392,0.5889301019447588,higher_values_rank_burned,False,no_direction_reversal,False
bejis_2022,evia_2021_extended,downscaled_lst_mean,0.4836430737466933,0.4003605903074035,0.5598325680030973,lower_values_rank_burned,0.3765491129362415,0.29685914048213763,0.4593307010841324,lower_values_rank_burned,False,no_direction_reversal,False
bejis_2022,evia_2021_extended,fused_lst_mean,0.4806129105103555,0.40394725127325576,0.5514025133468518,lower_values_rank_burned,0.37566126384147186,0.30015191434549077,0.4556221037116367,lower_values_rank_burned,False,no_direction_reversal,False
bejis_2022,manavgat_2021,ndvi_mean,0.5587527905026131,0.4971818582643429,0.619346637555737,higher_values_rank_burned,0.6359169371099176,0.5872285206570871,0.6762849193685545,higher_values_rank_burned,False,no_direction_reversal,False
bejis_2022,manavgat_2021,elevation_mean,0.6432824053164721,0.5583150457861116,0.7290055219147464,higher_values_rank_burned,0.3741075566689391,0.2890796631009303,0.4711534398242251,lower_values_rank_burned,True,bootstrap_supported_direction_reversal,True
