experiment_a,experiment_b,feature,experiment_a_auc,experiment_b_auc,point_direction_reversal,reversal_status,bootstrap_supported_direction_reversal,auc_difference,auc_difference_ci_low,auc_difference_ci_high
bejis_2022,manavgat_2021,ndvi_mean,0.5587527905026131,0.5640055957519895,False,no_direction_reversal,False,0.0052528052493764354,-0.08189802666284629,0.09383553970171707
bejis_2022,manavgat_2021,elevation_mean,0.6432824053164721,0.232040982011245,True,bootstrap_supported_direction_reversal,True,-0.41124142330522706,-0.5105155381448641,-0.3149057379699328
bejis_2022,manavgat_2021,slope_mean,0.5207878895412608,0.40018140735508156,True,point_direction_reversal_interval_uncertain,False,-0.1206064821861792,-0.23048178069047784,-0.021907202889567334
bejis_2022,manavgat_2021,lst_anomaly_mean,0.4179915266529903,0.5087692084924866,True,point_direction_reversal_interval_uncertain,False,0.09077768183949636,0.011238501269765928,0.1661049765762328
bejis_2022,manavgat_2021,current_lst_mean,0.47674775069349284,0.6646991429203886,True,point_direction_reversal_interval_uncertain,False,0.18795139222689572,0.09689599493788593,0.2821959672605637
bejis_2022,manavgat_2021,current_tvdi_mean,0.5172782323463783,0.6770834881362302,False,no_direction_reversal,False,0.15980525578985194,0.06058618946549339,0.2664900451056534
bejis_2022,manavgat_2021,tvdi_difference_mean,0.5124941631737097,0.4603939869501002,True,point_direction_reversal_interval_uncertain,False,-0.05210017622360946,-0.138924958641517,0.034653026902246184
bejis_2022,manavgat_2021,downscaled_lst_mean,0.4836430737466933,0.6831504494668662,True,point_direction_reversal_interval_uncertain,False,0.1995073757201729,0.10357372370201152,0.30535769945261165
bejis_2022,manavgat_2021,fused_lst_mean,0.4806129105103555,0.6662317904467838,True,point_direction_reversal_interval_uncertain,False,0.18561887993642834,0.09520619868251756,0.2811145547877997
bejis_2022,mugla_2021,ndvi_mean,0.5587527905026131,0.6616527794184797,False,no_direction_reversal,False,0.1028999889158666,0.027420987400278367,0.17987212094845592
bejis_2022,mugla_2021,elevation_mean,0.6432824053164721,0.6114025048859928,False,no_direction_reversal,False,-0.03187990043047928,-0.14822913485175998,0.0833934412740623
bejis_2022,mugla_2021,slope_mean,0.5207878895412608,0.6368180084143384,False,no_direction_reversal,False,0.11603011887307768,0.013085840683347305,0.21208567749198154
bejis_2022,mugla_2021,lst_anomaly_mean,0.4179915266529903,0.4845735569026068,False,no_direction_reversal,False,0.06658203024961651,-0.0427275908857639,0.164363128106447
bejis_2022,mugla_2021,current_lst_mean,0.47674775069349284,0.324818209196232,False,no_direction_reversal,False,-0.15192954149726084,-0.24481972446531564,-0.06318264987514709
bejis_2022,mugla_2021,current_tvdi_mean,0.5172782323463783,0.3357699119089857,True,point_direction_reversal_interval_uncertain,False,-0.18150832043739257,-0.28442456926314674,-0.08134541964355957
bejis_2022,mugla_2021,tvdi_difference_mean,0.5124941631737097,0.49002459954410754,True,point_direction_reversal_interval_uncertain,False,-0.02246956362960212,-0.1350717413973996,0.08852153538385675
bejis_2022,mugla_2021,downscaled_lst_mean,0.4836430737466933,0.30697725296436723,False,no_direction_reversal,False,-0.17666582078232607,-0.27547087180087965,-0.08189710148677978
bejis_2022,mugla_2021,fused_lst_mean,0.4806129105103555,0.32521434622074175,False,no_direction_reversal,False,-0.15539856428961374,-0.2480174978410034,-0.0653349150292475
manavgat_2021,mugla_2021,ndvi_mean,0.5640055957519895,0.6616527794184797,False,no_direction_reversal,False,0.09764718366649017,0.018594540395419103,0.1727915765239138
manavgat_2021,mugla_2021,elevation_mean,0.232040982011245,0.6114025048859928,True,bootstrap_supported_direction_reversal,True,0.3793615228747478,0.2842964916041037,0.4787847095149601
manavgat_2021,mugla_2021,slope_mean,0.40018140735508156,0.6368180084143384,True,bootstrap_supported_direction_reversal,True,0.23663660105925688,0.1585550185341756,0.31268288430994656
manavgat_2021,mugla_2021,lst_anomaly_mean,0.5087692084924866,0.4845735569026068,True,point_direction_reversal_interval_uncertain,False,-0.024195651589879852,-0.12011057298662911,0.07218183742724393
manavgat_2021,mugla_2021,current_lst_mean,0.6646991429203886,0.324818209196232,True,bootstrap_supported_direction_reversal,True,-0.33988093372415656,-0.4155204919973331,-0.25842050175939185
manavgat_2021,mugla_2021,current_tvdi_mean,0.6770834881362302,0.3357699119089857,True,bootstrap_supported_direction_reversal,True,-0.3413135762272445,-0.4229159622656017,-0.2595949204954164
manavgat_2021,mugla_2021,tvdi_difference_mean,0.4603939869501002,0.49002459954410754,False,no_direction_reversal,False,0.029630612594007344,-0.07127984691362473,0.13034736392027893
manavgat_2021,mugla_2021,downscaled_lst_mean,0.6831504494668662,0.30697725296436723,True,bootstrap_supported_direction_reversal,True,-0.376173196502499,-0.4540699054208568,-0.2927384140800848
manavgat_2021,mugla_2021,fused_lst_mean,0.6662317904467838,0.32521434622074175,True,bootstrap_supported_direction_reversal,True,-0.3410174442260421,-0.4163151910181664,-0.26018005103668307
