region,scar,scar_cells,B_positives,B_negatives,valid_candidates,placements,A,B,placebo_mean,placebo_collar_only_mean,placebo_p2_5,placebo_p97_5,share_placebo_le_B,placebo_median_dist_km,placebo_pool_median_n,spearman_auc_vs_dist
manavgat_2021,1,690,696,439,52380,50,0.797429847262066,0.5893062864922891,0.7978632688876552,0.7952593511643762,0.6651666791986235,0.9005724493583391,0.0,17.526892652449526,1114.5,0.18161300396600835
bejis_2022,1,1100,1100,557,15785,50,0.8244685786179753,0.5748131222457973,0.832999384559888,0.8308472417284897,0.756385921039775,0.9332971468762831,0.0,14.980105382674507,1663.5,0.4887149448585486
mugla_2021,6,914,914,352,82251,50,0.7773268638729566,0.5640261338770639,0.7208769355492316,0.72475222712255,0.6022319118694254,0.8636059349840974,0.0,16.715216684833884,1402.0,0.21767106842737097
mugla_2021,1,738,738,506,90833,50,0.7773268638729566,0.6539734567306148,0.8037570188036469,0.8006484287470547,0.7219905792111545,0.8914065404737207,0.0,15.395655802069104,1239.0,0.09542103897784567
mugla_2021,10,639,639,301,98297,50,0.7773268638729566,0.6734775578535814,0.8161754339962216,0.8134359772882688,0.7011690916207093,0.9075743342724873,0.0,17.085786195695967,1074.5,-0.12610449495907916
mugla_2021,8,548,548,406,109223,50,0.7773268638729566,0.7608859803674805,0.905163329304619,0.9035088758621193,0.8466838535488426,0.9496229948800117,0.0,17.539869414747088,933.5,0.08754111745902517
evia_2021_extended,1,2653,2653,406,33,33,0.8641886346702445,0.7450929238950607,0.834074213671229,0.8434223929197368,0.8229564438989475,0.8442911832997623,0.0,20.22498454881981,2739.0,0.9503264737917662
montiferru_2021,1,416,442,316,0,0,0.7199006195087421,0.6215490577925425,,,,,,,,
montiferru_2021,5,55,67,128,3102,50,0.7199006195087421,0.4610541044776119,0.6056763834335441,0.6100808169163909,0.25619024950295427,0.826641853398375,0.24,5.451265200777722,205.0,0.17691846950986417
