frame,source_frame,target_rule,source,target,target_n,target_pos,target_retained,target_pos_retained,thermal,baseline,delta
ref_full_full,full,full,manavgat_2021,bejis_2022,15190,1100,1.0,1.0,0.3258336344280276,0.33218736692689854,-0.006353732498870945
ref_full_full,full,full,manavgat_2021,mugla_2021,41730,2911,1.0,1.0,0.47015987108700774,0.5079294316533509,-0.037769560566343174
ref_full_full,full,full,manavgat_2021,evia_2021_extended,9298,2664,1.0,1.0,0.6125620551965896,0.5938705512868914,0.018691503909698204
ref_full_full,full,full,manavgat_2021,montiferru_2021,2544,539,1.0,1.0,0.5332600780053577,0.5779257792439125,-0.044665701238554845
ref_full_full,full,full,bejis_2022,manavgat_2021,20511,784,1.0,1.0,0.44352842964630473,0.42090798972298404,0.02262043992332069
ref_full_full,full,full,bejis_2022,mugla_2021,41730,2911,1.0,1.0,0.6184747489978262,0.5922389908669758,0.02623575813085033
ref_full_full,full,full,bejis_2022,evia_2021_extended,9298,2664,1.0,1.0,0.38282143313044736,0.5304608855916513,-0.1476394524612039
ref_full_full,full,full,bejis_2022,montiferru_2021,2544,539,1.0,1.0,0.5937253341599618,0.5530357779021833,0.04068955625777848
ref_full_full,full,full,mugla_2021,manavgat_2021,20511,784,1.0,1.0,0.40099966584697444,0.52151982986128,-0.12052016401430554
ref_full_full,full,full,mugla_2021,bejis_2022,15190,1100,1.0,1.0,0.5831912381443964,0.4507383379572875,0.13245290018710892
ref_full_full,full,full,mugla_2021,evia_2021_extended,9298,2664,1.0,1.0,0.6534051763551312,0.5997551855443022,0.053649990810828996
ref_full_full,full,full,mugla_2021,montiferru_2021,2544,539,1.0,1.0,0.5312433202707516,0.6105251713018012,-0.07928185103104957
ref_full_full,full,full,evia_2021_extended,manavgat_2021,20511,784,1.0,1.0,0.6857777670301659,0.6757597713896731,0.010017995640492772
ref_full_full,full,full,evia_2021_extended,bejis_2022,15190,1100,1.0,1.0,0.4480079359958707,0.3917341441383315,0.05627379185753917
ref_full_full,full,full,evia_2021_extended,mugla_2021,41730,2911,1.0,1.0,0.576836486299561,0.5125008330596732,0.06433565323988777
ref_full_full,full,full,evia_2021_extended,montiferru_2021,2544,539,1.0,1.0,0.6467042042389389,0.5494242131221113,0.09727999111682761
ref_full_full,full,full,montiferru_2021,manavgat_2021,20511,784,1.0,1.0,0.5670426836522615,0.5018395227508553,0.06520316090140621
ref_full_full,full,full,montiferru_2021,bejis_2022,15190,1100,1.0,1.0,0.5483011162010453,0.6126267823730562,-0.06432566617201096
ref_full_full,full,full,montiferru_2021,mugla_2021,41730,2911,1.0,1.0,0.6193519007685069,0.6512032443571474,-0.0318513435886405
ref_full_full,full,full,montiferru_2021,evia_2021_extended,9298,2664,1.0,1.0,0.5861929535806533,0.5564241415820402,0.02976881199861303
ref_10km_10km,10km,10km,manavgat_2021,bejis_2022,5601,1100,0.36872942725477287,1.0,0.3799388014784593,0.42253125568055583,-0.04259245420209651
ref_10km_10km,10km,10km,manavgat_2021,mugla_2021,18674,2911,0.447495806374311,1.0,0.5597217440151202,0.5728276430072179,-0.013105898992097686
ref_10km_10km,10km,10km,manavgat_2021,evia_2021_extended,5232,2664,0.5627016562701657,1.0,0.72692318486711,0.6789854252617104,0.0479377596053997
ref_10km_10km,10km,10km,manavgat_2021,montiferru_2021,2490,539,0.9787735849056604,1.0,0.609681158703638,0.603571357250789,0.006109801452849006
ref_10km_10km,10km,10km,bejis_2022,manavgat_2021,8193,784,0.3994442006728097,1.0,0.603317531628659,0.5364597249346492,0.06685780669400976
ref_10km_10km,10km,10km,bejis_2022,mugla_2021,18674,2911,0.447495806374311,1.0,0.631353207604753,0.6270120012178854,0.004341206386867635
ref_10km_10km,10km,10km,bejis_2022,evia_2021_extended,5232,2664,0.5627016562701657,1.0,0.6020573727933541,0.6445993306390503,-0.04254195784569614
ref_10km_10km,10km,10km,bejis_2022,montiferru_2021,2490,539,0.9787735849056604,1.0,0.6694017339473882,0.6040249565181833,0.06537677742920489
ref_10km_10km,10km,10km,mugla_2021,manavgat_2021,8193,784,0.3994442006728097,1.0,0.5161989279447776,0.6114793163857526,-0.09528038844097497
ref_10km_10km,10km,10km,mugla_2021,bejis_2022,5601,1100,0.36872942725477287,1.0,0.6005303871866858,0.5330886065722767,0.06744178061440909
ref_10km_10km,10km,10km,mugla_2021,evia_2021_extended,5232,2664,0.5627016562701657,1.0,0.7278867652699428,0.6718498580356056,0.056036907234337185
ref_10km_10km,10km,10km,mugla_2021,montiferru_2021,2490,539,0.9787735849056604,1.0,0.5491945997913633,0.5912728261706808,-0.04207822637931746
ref_10km_10km,10km,10km,evia_2021_extended,manavgat_2021,8193,784,0.3994442006728097,1.0,0.6839738831151302,0.6589237682520707,0.025050114863059525
ref_10km_10km,10km,10km,evia_2021_extended,bejis_2022,5601,1100,0.36872942725477287,1.0,0.5207648805315991,0.4519953141726081,0.06876956635899101
ref_10km_10km,10km,10km,evia_2021_extended,mugla_2021,18674,2911,0.447495806374311,1.0,0.6369476913190233,0.5287180148460232,0.10822967647300008
ref_10km_10km,10km,10km,evia_2021_extended,montiferru_2021,2490,539,0.9787735849056604,1.0,0.7099218420884966,0.5923240923973149,0.11759774969118175
ref_10km_10km,10km,10km,montiferru_2021,manavgat_2021,8193,784,0.3994442006728097,1.0,0.6556093182312741,0.5908582811583265,0.0647510370729476
ref_10km_10km,10km,10km,montiferru_2021,bejis_2022,5601,1100,0.36872942725477287,1.0,0.6240372846438166,0.6610190664700774,-0.03698178182626077
ref_10km_10km,10km,10km,montiferru_2021,mugla_2021,18674,2911,0.447495806374311,1.0,0.603046166950845,0.626890864297381,-0.023844697346535937
ref_10km_10km,10km,10km,montiferru_2021,evia_2021_extended,5232,2664,0.5627016562701657,1.0,0.7000579726923184,0.6554974951587101,0.044560477533608256
a1_trim_srcfull,full,trim,manavgat_2021,bejis_2022,13072,922,0.8605661619486504,0.8381818181818181,0.3373236299688457,0.3348704730278603,0.002453156940985357
a1_trim_srcfull,full,trim,manavgat_2021,mugla_2021,37372,2696,0.8955667385573928,0.9261422191686706,0.4541447355134586,0.4937967778790211,-0.03965204236556252
a1_trim_srcfull,full,trim,manavgat_2021,evia_2021_extended,7800,2405,0.8388900838890084,0.9027777777777778,0.6097941229173852,0.5848686413653976,0.024925481551987594
a1_trim_srcfull,full,trim,manavgat_2021,montiferru_2021,1969,405,0.7739779874213837,0.75139146567718,0.5706269142117395,0.6228616084114804,-0.052234694199740916
a1_trim_srcfull,full,trim,bejis_2022,manavgat_2021,7196,443,0.35083613670713276,0.5650510204081632,0.2758056865621801,0.2678715821978962,0.007934104364283878
a1_trim_srcfull,full,trim,bejis_2022,mugla_2021,20010,1168,0.47951114306254494,0.40123668842322224,0.5425936782515889,0.5322363020968893,0.01035737615469956
a1_trim_srcfull,full,trim,bejis_2022,evia_2021_extended,2020,689,0.21725102172510216,0.2586336336336336,0.2748612684680048,0.5106917875512916,-0.23583051908328684
a1_trim_srcfull,full,trim,bejis_2022,montiferru_2021,767,124,0.3014937106918239,0.2300556586270872,0.5539181257211658,0.5481926955300256,0.005725430191140246
a1_trim_srcfull,full,trim,mugla_2021,manavgat_2021,10785,573,0.5258154161181805,0.7308673469387755,0.46889929993731494,0.5688639926063099,-0.09996469266899499
a1_trim_srcfull,full,trim,mugla_2021,bejis_2022,6596,514,0.43423304805793284,0.4672727272727273,0.5602898519199986,0.4207631884350964,0.13952666348490217
