region,far_share,far_share_band,A,A_10km,A_minus_A10,mean_A_minus_B,n_scars
manavgat_2021,0.6005557993271903,0.6105991906781727,0.797429847262066,0.7253415420021431,0.07208830525992294,0.2081235607697769,1
bejis_2022,0.6312705727452271,0.6289005924950626,0.8244685786179753,0.7363163741390801,0.08815220447889516,0.249655456372178,1
mugla_2021,0.5525041936256889,0.5608435178528637,0.7773268638729566,0.7462064922372014,0.031120371635755206,0.11423608166577148,4
evia_2021_extended,0.4372983437298344,0.42622069262206924,0.8641886346702445,0.8701693077423217,-0.0059806730720771695,0.11909571077518388,1
montiferru_2021,0.02122641509433962,0.018081761006289308,0.7199006195087421,0.7173030528086543,0.0025975667000878166,0.17859903837366486,2
