region,scar,far_share,far_share_band,A,B,A_minus_B
manavgat_2021,1,0.6005557993271903,0.6105991906781727,0.797429847262066,0.5893062864922891,0.2081235607697769
bejis_2022,1,0.6312705727452271,0.6289005924950626,0.8244685786179753,0.5748131222457973,0.249655456372178
mugla_2021,6,0.5525041936256889,0.5608435178528637,0.7773268638729566,0.5640261338770639,0.21330072999589267
mugla_2021,1,0.5525041936256889,0.5608435178528637,0.7773268638729566,0.6539734567306148,0.12335340714234178
mugla_2021,10,0.5525041936256889,0.5608435178528637,0.7773268638729566,0.6734775578535814,0.10384930601937514
mugla_2021,8,0.5525041936256889,0.5608435178528637,0.7773268638729566,0.7608859803674805,0.016440883505476123
evia_2021_extended,1,0.4372983437298344,0.42622069262206924,0.8641886346702445,0.7450929238950607,0.11909571077518388
montiferru_2021,1,0.02122641509433962,0.018081761006289308,0.7199006195087421,0.6215490577925425,0.09835156171619952
montiferru_2021,5,0.02122641509433962,0.018081761006289308,0.7199006195087421,0.4610541044776119,0.25884651503113015
