region,scar,orientation,row,col,pool_n,collar_only_n,median_dist_km,placebo_auc,placebo_collar_only_auc
manavgat_2021,1,7,40,4,1079,413,19.224008426964446,0.7566106601472202,0.7603566558125295
manavgat_2021,1,6,33,52,1025,407,8.2975900115636,0.7815706476030277,0.7696877912395155
manavgat_2021,1,6,1,62,1034,384,21.828479104142826,0.8968602014273328,0.8802607159961686
manavgat_2021,1,5,16,85,1046,409,14.015170352157693,0.8985317630381748,0.8972384987212995
manavgat_2021,1,2,16,121,1125,440,25.842697227650216,0.8607515964240101,0.8777135579937305
manavgat_2021,1,1,22,24,1123,446,18.206935491729517,0.6984210755263509,0.6971580073192103
manavgat_2021,1,4,52,125,1123,448,14.761097520171054,0.780580546770248,0.7663898937807883
manavgat_2021,1,0,50,20,1099,441,11.525623627379128,0.6863920178218442,0.7122934422811269
manavgat_2021,1,2,38,97,1137,448,11.77762709547216,0.770113047038486,0.7542077175697866
manavgat_2021,1,3,16,119,1130,442,22.013234655543016,0.7896106703285525,0.8262176886669786
manavgat_2021,1,2,22,93,1124,446,15.620899461938805,0.8731273264613245,0.8487545745064689
manavgat_2021,1,0,17,117,1123,435,24.60228647910596,0.8734525491038987,0.8701298057867619
manavgat_2021,1,1,13,103,1108,440,17.22977074716898,0.8867724023818415,0.8658437826541274
manavgat_2021,1,0,34,121,1128,439,20.079277832937365,0.7199186588000327,0.7708840625245466
manavgat_2021,1,5,32,19,1095,439,17.50378530489905,0.7223494987665983,0.7290652082842406
manavgat_2021,1,1,2,50,1067,432,19.53746401148317,0.8072208038436265,0.7541556912515964
manavgat_2021,1,1,19,4,1105,441,25.79171378563278,0.8557919852291048,0.844560429535799
manavgat_2021,1,5,11,31,1122,433,20.628947013797927,0.6760307179298051,0.7642251333917336
manavgat_2021,1,0,24,40,1078,444,14.85,0.7224272546008998,0.6652088510924719
manavgat_2021,1,0,15,129,1130,441,28.801755130774893,0.8731938510833078,0.8831287304193709
manavgat_2021,1,5,5,69,1030,400,18.31500835137814,0.8809710132797679,0.9215589080459771
manavgat_2021,1,5,54,17,1047,406,12.116620816052635,0.8080915368485767,0.7928521884378009
manavgat_2021,1,4,19,123,1127,446,25.842697227650216,0.8664978735122235,0.8717334158033092
manavgat_2021,1,6,37,134,1103,413,21.240762698170705,0.7951947926761913,0.8072834043026913
manavgat_2021,1,6,61,130,1127,445,11.734564329364769,0.8225141255902662,0.8247965904688105
manavgat_2021,1,7,11,32,1107,420,19.144842647564385,0.6536415340207042,0.7476207580733443
manavgat_2021,1,7,7,81,1058,412,15.807751263225267,0.9011649066770965,0.9014775834170294
manavgat_2021,1,4,51,18,1088,407,11.472793905583766,0.6814854578684922,0.6920045045045045
manavgat_2021,1,4,51,133,1103,426,17.010952354292222,0.8318985056429175,0.7865772219524041
manavgat_2021,1,3,46,104,1137,448,7.742092740338364,0.7167796378855427,0.7138367200328407
manavgat_2021,1,4,31,21,1114,439,16.17804211781469,0.6620126034379579,0.7237026418453643
manavgat_2021,1,2,12,13,1130,442,24.511577504298536,0.7595552334452244,0.7632593488323711
manavgat_2021,1,5,26,147,1079,399,24.852062288671338,0.8846959455860577,0.8646832598738227
manavgat_2021,1,3,52,136,1123,443,13.664003805620078,0.841788338911577,0.8049739238732778
manavgat_2021,1,4,28,104,1126,446,17.642066205521395,0.7889296359812988,0.7770121385495593
manavgat_2021,1,6,50,124,1123,445,14.230249470757707,0.7433342545112127,0.7517919411080976
manavgat_2021,1,1,26,102,1124,444,12.579863133196465,0.8444255685769215,0.8356405974940457
manavgat_2021,1,1,34,21,1087,423,15.90990257669732,0.7379446488807115,0.7074400152169777
manavgat_2021,1,3,21,15,1123,448,21.345374206136558,0.7757034216640566,0.7482457153119869
manavgat_2021,1,5,13,104,1113,439,18.140079933671736,0.9040118866891801,0.8982765166391747
manavgat_2021,1,2,23,9,1108,434,22.068359703430612,0.770728946221835,0.7935901001112348
manavgat_2021,1,1,11,60,1039,399,14.512063946937388,0.8769477448474994,0.8521123210324663
manavgat_2021,1,1,23,92,1115,434,11.114180131705622,0.8769541518478429,0.8598955850415805
manavgat_2021,1,0,35,3,1098,438,21.510753124890815,0.7497023061784226,0.6855416469847269
manavgat_2021,1,5,37,139,1121,436,19.3238194982255,0.824182662237124,0.8028841084045134
manavgat_2021,1,1,43,133,1126,443,14.901048233516722,0.7599923950103101,0.7510102877455177
manavgat_2021,1,5,40,136,1131,445,17.55,0.7839574631340385,0.7477156786775151
manavgat_2021,1,7,26,112,1135,446,16.112262410971343,0.7407856093979444,0.7445476392969435
manavgat_2021,1,6,19,128,1129,448,26.1,0.8510347627337793,0.8552538741789819
manavgat_2021,1,6,58,132,1113,433,13.288340754210061,0.8285092067622971,0.7981686841336837
bejis_2022,1,0,27,108,1677,578,17.830451480543058,0.8783428199707269,0.8905905945265807
bejis_2022,1,0,2,99,1655,564,19.07065809037538,0.8446402087338643,0.7763096389426176
bejis_2022,1,5,10,5,1644,587,17.509568812509347,0.8392598429550984,0.8298048629394457
bejis_2022,1,7,51,3,1619,574,15.3,0.7674161940591837,0.8036506176750079
bejis_2022,1,0,4,89,1702,612,15.276820317672055,0.7912789766050636,0.7517773321449792
bejis_2022,1,5,56,11,1643,568,14.85,0.7833010568250981,0.8307450384122919
bejis_2022,1,2,23,106,1694,597,15.379206741571554,0.8688987871632501,0.8984285061671995
bejis_2022,1,3,56,2,1662,581,16.224980739587952,0.7870681544688765,0.8205390392739791
bejis_2022,1,3,47,4,1670,592,14.00071426749364,0.7602019597169298,0.8000383906633906
bejis_2022,1,5,22,10,1616,585,13.092597734539352,0.8006460958595859,0.7574708624708624
bejis_2022,1,0,30,102,1696,600,15.110210765349015,0.8659361599485419,0.8623568181818183
bejis_2022,1,1,51,112,1686,599,15.979752814108233,0.932635878356519,0.9209204735164669
bejis_2022,1,7,8,104,1704,612,17.742214538349323,0.887567755014938,0.8951210635769462
bejis_2022,1,2,15,102,1699,600,15.1804150140897,0.8618254053186367,0.873819696969697
bejis_2022,1,1,2,1,1587,506,20.743975028909,0.8335785071890932,0.8248427955443766
bejis_2022,1,5,49,11,1663,593,13.379461872586656,0.7590821625758487,0.8149647401502378
bejis_2022,1,3,59,0,1598,516,17.34104825391087,0.8006855159858914,0.8158976391825229
bejis_2022,1,7,25,108,1702,606,16.503408738803024,0.8838636363636363,0.9035966096609662
bejis_2022,1,5,35,11,1604,562,11.700000000000001,0.7701045681251417,0.7711015852474927
bejis_2022,1,2,56,102,1699,610,12.97998459167036,0.9156123923163358,0.8735163934426228
bejis_2022,1,7,8,18,1686,596,11.717282164682384,0.8119311441820338,0.780366076876144
bejis_2022,1,2,10,11,1684,607,13.895457413361136,0.8192250593824228,0.7918466377115472
bejis_2022,1,6,4,10,1671,598,15.497257821950306,0.8193512322506937,0.836795378534509
bejis_2022,1,5,2,12,1667,588,16.891491941211115,0.8251671483885041,0.8225695732838589
bejis_2022,1,3,55,7,1679,599,14.294142156841732,0.7720439655639179,0.8154166034299589
bejis_2022,1,7,21,10,1665,590,11.70865064813192,0.8036950586950586,0.7718050847457627
bejis_2022,1,7,4,90,1701,612,14.058449416631978,0.810662177328844,0.8211207664884136
bejis_2022,1,4,37,1,1539,538,14.20888806346225,0.8142610313662945,0.8103193646502197
bejis_2022,1,7,2,20,1676,587,13.065498834186887,0.7997176719461921,0.7937757472510454
bejis_2022,1,5,47,12,1661,588,12.672115056295851,0.7527275463849816,0.7999520717377859
bejis_2022,1,4,33,109,1652,559,16.2,0.9059404578472375,0.9025768417628885
bejis_2022,1,6,12,10,1672,602,13.234897052867469,0.815878371030883,0.8057565690123829
bejis_2022,1,5,21,2,1560,556,16.40185304134318,0.8190827505827505,0.8100694898626553
bejis_2022,1,5,5,112,1702,602,20.12461179749811,0.8782768934942848,0.867535487768046
bejis_2022,1,1,11,0,1520,484,18.92409159889878,0.8409318181818182,0.862759203606311
bejis_2022,1,3,13,108,1707,610,18.5321342537766,0.8989468498695212,0.8964396423248882
bejis_2022,1,0,51,0,1557,516,14.130286621296824,0.7556031412389793,0.788973749119098
bejis_2022,1,4,35,107,1679,585,15.3,0.8999236558557583,0.8822968142968143
bejis_2022,1,4,24,10,1623,588,12.446385017345397,0.8171214921861872,0.764189084724799
bejis_2022,1,1,20,8,1614,587,14.230249470757707,0.8132418046637379,0.7871999380517268
bejis_2022,1,3,17,9,1628,581,13.158163365666606,0.8266431203931204,0.8003677045845721
bejis_2022,1,4,53,108,1664,578,14.85,0.9334891280594404,0.9001494180559924
bejis_2022,1,7,37,5,1607,558,12.799316387995104,0.7794424958986255,0.7969900619094168
bejis_2022,1,1,27,14,1639,583,10.948972554536795,0.8122832658494648,0.7932652424762201
bejis_2022,1,7,44,113,1621,531,17.24739110706312,0.9495204980090852,0.9643271700051361
bejis_2022,1,7,0,19,1635,543,13.76735268670052,0.8042955240478177,0.8026736983090574
bejis_2022,1,2,24,3,1604,575,14.389445388901706,0.8283135910224437,0.785006324110672
bejis_2022,1,5,0,0,1540,460,21.010711553871754,0.8399037780401417,0.852556324110672
bejis_2022,1,2,60,100,1700,607,12.60803315350971,0.8975093582887702,0.8667740002995356
bejis_2022,1,5,4,112,1702,602,20.349754298271026,0.8728931203931205,0.8529953186348536
mugla_2021,6,7,15,188,1474,587,20.33233247319437,0.7319296693378147,0.7106853824102826
mugla_2021,6,4,47,279,1454,561,13.379461872586656,0.691091352911609,0.6303802603197635
mugla_2021,6,0,46,288,1495,591,13.08099766837377,0.6691458764810491,0.6765088656618053
mugla_2021,6,1,51,308,1489,585,14.230249470757707,0.7279506313990416,0.7475209934728534
mugla_2021,6,2,99,293,1232,479,16.68644218301777,0.7830962800875274,0.7560506251627432
mugla_2021,6,2,49,232,1304,537,12.233046697173705,0.866243069632573,0.8714706877090898
mugla_2021,6,3,85,300,1413,540,20.76348959110679,0.7167649258758543,0.7016229029905179
mugla_2021,6,6,128,329,1242,475,15.3,0.8160820057999203,0.805220545894276
mugla_2021,6,3,87,307,1356,483,18.128909929474695,0.7225573349341285,0.740885965269944
mugla_2021,6,0,43,163,1476,588,13.018891360347816,0.6537495626597403,0.6713854031765878
mugla_2021,6,5,5,138,1295,540,15.405518491761322,0.8007895203737656,0.7766046681254559
mugla_2021,6,1,21,304,1504,592,10.132477514910267,0.661544415475581,0.6470333845880891
mugla_2021,6,4,24,126,1175,438,14.897650821522165,0.7605009544205967,0.7475495338868738
mugla_2021,6,1,46,282,1393,552,18.201373574541016,0.6789397911721785,0.6466826419941014
mugla_2021,6,4,4,159,1401,549,24.589936966165652,0.8063387046139285,0.835860306983455
mugla_2021,6,5,52,193,1171,434,17.24739110706312,0.5921102052333284,0.6604861398219201
mugla_2021,6,3,66,293,1425,567,20.25499938286842,0.7218495911551308,0.7354198264118031
mugla_2021,6,4,60,177,1499,592,15.536408851468861,0.6126097193898776,0.5950141196995682
mugla_2021,6,4,102,242,1403,519,12.51129489701206,0.7144400635711845,0.7091159568771792
mugla_2021,6,0,55,224,1446,582,17.526907884735405,0.7916155939118248,0.7245247655785905
mugla_2021,6,5,2,170,1475,574,24.014995315427402,0.7592319103957275,0.752633254294406
mugla_2021,6,0,36,304,1506,592,9.86927048975759,0.6500264441867831,0.6949405641965817
mugla_2021,6,2,69,281,1440,550,17.55,0.7179810965232192,0.793965585836483
mugla_2021,6,5,80,307,1401,522,15.979752814108233,0.7239737324230738,0.7103402164709038
mugla_2021,6,6,109,248,1317,480,12.735874528276415,0.6939678734076684,0.6819691374908825
mugla_2021,6,5,47,200,1271,460,19.35523185084591,0.6458964236709496,0.7335838645228807
mugla_2021,6,0,109,259,1310,518,15.611170851481274,0.6948865819232632,0.7168329630036413
mugla_2021,6,6,67,310,1501,594,13.288340754210061,0.6262014237044011,0.6150813385496099
mugla_2021,6,1,6,162,1488,582,19.110433978367606,0.7165893890731982,0.7438612420762932
mugla_2021,6,3,44,205,1336,489,19.723146300730015,0.6456673633040264,0.7059242056087314
mugla_2021,6,7,69,241,1243,490,13.5,0.6817856143198409,0.7120752020720761
mugla_2021,6,6,59,287,1476,571,15.280134161714683,0.7123616818772127,0.6581825044932496
mugla_2021,6,5,73,273,1352,507,20.37461656080919,0.6942308501547266,0.7292877828562058
mugla_2021,6,2,45,245,1341,565,9.492760399378044,0.7842011823698635,0.7517331190333263
mugla_2021,6,0,40,307,1506,594,11.357486517711566,0.6899172093536867,0.7285178554325162
mugla_2021,6,6,5,185,1264,519,24.354106429922656,0.8791054413760631,0.8827719524586501
mugla_2021,6,3,2,149,1351,507,17.19447585708852,0.7948310433798127,0.8103865359798704
mugla_2021,6,3,90,301,1334,488,20.65102903005078,0.7204016974007525,0.733633461276321
mugla_2021,6,3,46,213,1275,472,20.25,0.7053726348307375,0.7184498201238735
mugla_2021,6,6,46,278,1435,553,11.276967677527502,0.6494552413482871,0.6689926836313563
mugla_2021,6,5,63,300,1478,579,17.509568812509347,0.7222757259647699,0.7276618178932213
mugla_2021,6,0,1,154,1378,529,24.358263484903844,0.8076371267145801,0.8480153296960121
mugla_2021,6,1,80,293,1415,541,21.150000000000002,0.6977762485405664,0.6786393217843607
mugla_2021,6,1,110,337,1138,380,15.090104000469886,0.8033297696830787,0.8094552573995163
mugla_2021,6,3,48,194,1265,467,16.2561526813696,0.5992190000086489,0.6168265243488161
mugla_2021,6,4,94,248,1465,574,17.07629936490925,0.7208213530892225,0.7094004223880939
mugla_2021,6,3,82,263,1340,533,16.74399118665,0.6902960580032006,0.6450934186163946
mugla_2021,6,0,62,211,1408,499,19.88164983093707,0.6630037640491346,0.6165383282977334
mugla_2021,6,0,90,286,1408,514,19.391814580855645,0.7795311567535309,0.7750683275293957
