frame,source,target,model,n,positives,prevalence,auc,ap,ap_lift,pauc01,cap10,cap10_norm,cap20,cap20_norm
ref_full_full,manavgat_2021,bejis_2022,thermal,15190,1100,0.07241606319947334,0.3258336344280276,0.048758121686924845,0.6733053349312621,0.47661512966880715,0.012727272727272728,-0.09696969696969697,0.05,-0.18750000000000003
ref_full_full,manavgat_2021,bejis_2022,baseline,15190,1100,0.07241606319947334,0.33218736692689854,0.049284923029179833,0.6805799825574924,0.47580149483328293,0.01,-0.1,0.04363636363636364,-0.19545454545454546
ref_full_full,manavgat_2021,mugla_2021,thermal,41730,2911,0.06975796788880902,0.47015987108700774,0.06264647046501597,0.8980546934060859,0.49368085641099335,0.07317073170731707,-0.02981029810298104,0.14462384060460323,-0.06922019924424597
ref_full_full,manavgat_2021,mugla_2021,baseline,41730,2911,0.06975796788880902,0.5079294316533509,0.07490551117572594,1.0737914741886099,0.5064318014770763,0.11851597389213328,0.020573304324592527,0.22500858811405017,0.031260735142562696
ref_full_full,manavgat_2021,evia_2021_extended,thermal,9298,2664,0.28651322865132284,0.6125620551965896,0.3426989575695243,1.1961016919975365,0.502514013783709,0.11261261261261261,0.05064817606270723,0.2533783783783784,0.10717515827555019
ref_full_full,manavgat_2021,evia_2021_extended,baseline,9298,2664,0.28651322865132284,0.5938705512868914,0.3528525870102405,1.2315402980560124,0.5166423941037971,0.13701201201201202,0.1486282785649683,0.2702702702702703,0.14109134760325592
ref_full_full,manavgat_2021,montiferru_2021,thermal,2544,539,0.21187106918238993,0.5332600780053577,0.24260396955428254,1.14505472828589,0.5145862518783599,0.137291280148423,0.1002493765586035,0.23933209647495363,0.052867830423940144
ref_full_full,manavgat_2021,montiferru_2021,baseline,2544,539,0.21187106918238993,0.5779257792439125,0.26408322599827644,1.2464336306857426,0.5158476233982956,0.15213358070500926,0.14014962593516206,0.2523191094619666,0.07032418952618455
ref_full_full,bejis_2022,manavgat_2021,thermal,20511,784,0.03822339232606894,0.44352842964630473,0.03440634297977607,0.9001383939517692,0.5029952895694326,0.09948979591836735,-0.0005668934240362879,0.16198979591836735,-0.04751275510204083
ref_full_full,bejis_2022,manavgat_2021,baseline,20511,784,0.03822339232606894,0.42090798972298404,0.03319034488748474,0.8683254642693872,0.49945641600761237,0.08418367346938775,-0.017573696145124728,0.14158163265306123,-0.07302295918367348
ref_full_full,bejis_2022,mugla_2021,thermal,41730,2911,0.06975796788880902,0.6184747489978262,0.09253859122869845,1.3265666135257939,0.5082949292565858,0.13603572655444865,0.0400396961716096,0.27619374785297146,0.09524218481621431
ref_full_full,bejis_2022,mugla_2021,baseline,41730,2911,0.06975796788880902,0.5922389908669758,0.09363146544008288,1.3422332713207346,0.5200974756283437,0.15321195465475781,0.05912439406084201,0.26932325661284784,0.08665407076605978
ref_full_full,bejis_2022,evia_2021_extended,thermal,9298,2664,0.28651322865132284,0.38282143313044736,0.2257835213181088,0.7880387316876035,0.4815382477029812,0.039414414414414414,-0.2432921314440759,0.11373873873873874,-0.1731986735001507
ref_full_full,bejis_2022,evia_2021_extended,baseline,9298,2664,0.28651322865132284,0.5304608855916513,0.28226178335034546,0.9851614345313485,0.4838108223895952,0.07545045045045046,-0.09858305697919803,0.16366366366366367,-0.07295749170937593
ref_full_full,bejis_2022,montiferru_2021,thermal,2544,539,0.21187106918238993,0.5937253341599618,0.28874094281489027,1.3628143942877196,0.5356667407742727,0.15769944341372913,0.15511221945137157,0.22077922077922077,0.027930174563590995
ref_full_full,bejis_2022,montiferru_2021,baseline,2544,539,0.21187106918238993,0.5530357779021833,0.22698718507235782,1.0713458234212956,0.49306257839436174,0.055658627087198514,-0.11920199501246885,0.20222634508348794,0.0029925187032418805
ref_full_full,mugla_2021,manavgat_2021,thermal,20511,784,0.03822339232606894,0.40099966584697444,0.028738774210290162,0.7518635176368131,0.4808866116474844,0.03443877551020408,-0.07284580498866214,0.0663265306122449,-0.16709183673469385
ref_full_full,mugla_2021,manavgat_2021,baseline,20511,784,0.03822339232606894,0.52151982986128,0.03783686447417549,0.9898876622829254,0.4967188604036941,0.09311224489795919,-0.007653061224489795,0.14923469387755103,-0.06345663265306122
ref_full_full,mugla_2021,bejis_2022,thermal,15190,1100,0.07241606319947334,0.5831912381443964,0.08827191688193281,1.2189549249423266,0.5093785337593937,0.12090909090909091,0.023232323232323226,0.23545454545454544,0.04431818181818179
ref_full_full,mugla_2021,bejis_2022,baseline,15190,1100,0.07241606319947334,0.4507383379572875,0.06416586588786181,0.886072275306019,0.4976273511703641,0.08636363636363636,-0.015151515151515155,0.15636363636363637,-0.05454545454545455
ref_full_full,mugla_2021,evia_2021_extended,thermal,9298,2664,0.28651322865132284,0.6534051763551312,0.37875246411339963,1.321937091338735,0.5206552410271688,0.14451951951951952,0.17877600241181785,0.265015015015015,0.13053964425685854
ref_full_full,mugla_2021,evia_2021_extended,baseline,9298,2664,0.28651322865132284,0.5997551855443022,0.34369850447793965,1.1995903508392955,0.511713310346349,0.12462462462462462,0.09888453421766649,0.240990990990991,0.08230328610189928
ref_full_full,mugla_2021,montiferru_2021,thermal,2544,539,0.21187106918238993,0.5312433202707516,0.21430398922752314,1.0114830215117234,0.4875739077265337,0.08905380333951762,-0.02942643391521199,0.20037105751391465,0.0004987531172069614
ref_full_full,mugla_2021,montiferru_2021,baseline,2544,539,0.21187106918238993,0.6105251713018012,0.2825954007520012,1.333808347890707,0.5227583808762442,0.16512059369202226,0.17506234413965083,0.300556586270872,0.1351620947630923
ref_full_full,evia_2021_extended,manavgat_2021,thermal,20511,784,0.03822339232606894,0.6857777670301659,0.0937917104825443,2.453777772586054,0.573139077462138,0.29591836734693877,0.21768707482993196,0.47066326530612246,0.338329081632653
ref_full_full,evia_2021_extended,manavgat_2021,baseline,20511,784,0.03822339232606894,0.6757597713896731,0.07677911017394908,2.008694296910548,0.5437810362250303,0.24744897959183673,0.16383219954648526,0.4502551020408163,0.31281887755102034
ref_full_full,evia_2021_extended,bejis_2022,thermal,15190,1100,0.07241606319947334,0.4480079359958707,0.059184248321390825,0.8172806654562969,0.4742007124398518,0.007272727272727273,-0.10303030303030303,0.06,-0.17500000000000002
ref_full_full,evia_2021_extended,bejis_2022,baseline,15190,1100,0.07241606319947334,0.3917341441383315,0.053976090011806165,0.7453607338903051,0.47996543070690467,0.024545454545454544,-0.08383838383838385,0.060909090909090906,-0.17386363636363636
ref_full_full,evia_2021_extended,mugla_2021,thermal,41730,2911,0.06975796788880902,0.576836486299561,0.08561939439002765,1.2273779896584862,0.5140121257662359,0.1387839230504981,0.04309324783388678,0.24768120920645825,0.0596015115080728
ref_full_full,evia_2021_extended,mugla_2021,baseline,41730,2911,0.06975796788880902,0.5125008330596732,0.0816148991849096,1.169972429744513,0.515038217467903,0.13397457918241154,0.037749532424901706,0.2387495705942975,0.048436963242871854
ref_full_full,evia_2021_extended,montiferru_2021,thermal,2544,539,0.21187106918238993,0.6467042042389389,0.2829027511086257,1.335258995956111,0.5047558332953866,0.10946196660482375,0.025436408977556113,0.2541743970315399,0.07281795511221942
ref_full_full,evia_2021_extended,montiferru_2021,baseline,2544,539,0.21187106918238993,0.5494242131221113,0.25786601392099906,1.2170893124582962,0.5188622526293387,0.14100185528756956,0.1102244389027431,0.24675324675324675,0.06284289276807979
ref_full_full,montiferru_2021,manavgat_2021,thermal,20511,784,0.03822339232606894,0.5670426836522615,0.042455374077607064,1.1107170634002532,0.49780423157409054,0.09566326530612244,-0.004818594104308401,0.21556122448979592,0.01945153061224489
ref_full_full,montiferru_2021,manavgat_2021,baseline,20511,784,0.03822339232606894,0.5018395227508553,0.03700488168289126,0.9681213369869677,0.4940238430189705,0.0778061224489796,-0.024659863945578234,0.17091836734693877,-0.03635204081632655
ref_full_full,montiferru_2021,bejis_2022,thermal,15190,1100,0.07241606319947334,0.5483011162010453,0.09285102514616964,1.2821882472457424,0.5167688237950836,0.13454545454545455,0.03838383838383838,0.23636363636363636,0.045454545454545435
ref_full_full,montiferru_2021,bejis_2022,baseline,15190,1100,0.07241606319947334,0.6126267823730562,0.11367518379586421,1.5697509471447064,0.5319647107962823,0.16727272727272727,0.07474747474747473,0.24363636363636362,0.054545454545454515
ref_full_full,montiferru_2021,mugla_2021,thermal,41730,2911,0.06975796788880902,0.6193519007685069,0.0886887632396203,1.2713782514563226,0.502269312792905,0.11679835108210238,0.0186648345356693,0.24768120920645825,0.0596015115080728
ref_full_full,montiferru_2021,mugla_2021,baseline,41730,2911,0.06975796788880902,0.6512032443571474,0.12418946741262851,1.7802907849979346,0.5487248314146626,0.23497080041222948,0.1499675560135883,0.3503950532463071,0.18799381655788386
ref_full_full,montiferru_2021,evia_2021_extended,thermal,9298,2664,0.28651322865132284,0.5861929535806533,0.31707825794461764,1.1066792951835793,0.49996185672050036,0.10285285285285285,0.011456135061802807,0.19256756756756757,-0.014923123304190544
ref_full_full,montiferru_2021,evia_2021_extended,baseline,9298,2664,0.28651322865132284,0.5564241415820402,0.2960606981779604,1.0333229623343378,0.48553959922825257,0.0731981981981982,-0.10762737413325292,0.2045795795795796,0.009195055773289112
ref_10km_10km,manavgat_2021,bejis_2022,thermal,5601,1100,0.19639350116050705,0.3799388014784593,0.15718560098509382,0.8003605010159186,0.49076590103847206,0.07,-0.07331704065763163,0.1509090909090909,-0.06136363636363638
ref_10km_10km,manavgat_2021,bejis_2022,baseline,5601,1100,0.19639350116050705,0.42253125568055583,0.1601993229760616,0.8157058254444737,0.4801204198110149,0.042727272727272725,-0.13996889580093314,0.12818181818181817,-0.0897727272727273
ref_10km_10km,manavgat_2021,mugla_2021,thermal,18674,2911,0.15588518796187212,0.5597217440151202,0.17132005772549724,1.0990143448869583,0.4956498498415012,0.09721745104774991,-0.0051386157457336944,0.2281003091721058,0.03512538646513224
ref_10km_10km,manavgat_2021,mugla_2021,baseline,18674,2911,0.15588518796187212,0.5728276430072179,0.1889605178495168,1.212177502687007,0.5103015887165363,0.1305393335623497,0.056397893801941226,0.26245276537272416,0.07806595671590519
ref_10km_10km,manavgat_2021,evia_2021_extended,thermal,5232,2664,0.5091743119266054,0.72692318486711,0.6876231500650034,1.350467087515052,0.5465394378638353,0.14677177177177178,0.485202492211838,0.28265765765765766,0.4287383177570092
