source_experiment_id,target_experiment_id,model_family,adaptation_method,primary_population,target_row_count,target_burned_count,roc_auc,roc_auc_ci_low,roc_auc_ci_high,roc_auc_chance_status,pr_auc,pr_auc_ci_low,pr_auc_ci_high,raw_transfer_status,adapted_minus_raw,adapted_minus_raw_ci_low,adapted_minus_raw_ci_high,adapted_minus_raw_support_status,within_region_target_metric,remaining_transfer_gap,remaining_transfer_gap_ci_low,remaining_transfer_gap_ci_high,residual_gap_status,step9e_shift_categories,step9e_ranking_reversal_value,step9e_ranking_reversal_scope,brier,brier_availability,brier_protocol_source
mugla_2021,bejis_2022,baseline,raw_source_only,burnable_tree_shrub_grass,15190,1100,0.4507383379572875,0.42501350278665395,0.4751079247909861,bootstrap_supported_below_chance,0.06416586588786181,0.05581853791463857,0.07391345771851175,raw_discrimination_not_supported,,,,,,,,,,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,0.13096665141263947,available,step9_transfer_metrics
mugla_2021,bejis_2022,baseline,regionwise_zscore,burnable_tree_shrub_grass,15190,1100,0.573885605522937,0.5460276410544633,0.5993454157941586,bootstrap_supported_above_chance,0.08524074242544247,0.07429035104465181,0.09728905992715318,raw_discrimination_not_supported,0.12314726756564948,0.08916966127282683,0.15539397159419607,adaptation_supported,0.8616776566230079,0.2877920511000709,0.2609246849799796,0.31904424851331725,residual_gap_remains,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
mugla_2021,bejis_2022,baseline,coral_after_regionwise_zscore,burnable_tree_shrub_grass,15190,1100,0.6087499838699271,0.5811961217370522,0.6318741920473697,bootstrap_supported_above_chance,0.09560302736750559,0.08277576900755991,0.1097935349033282,raw_discrimination_not_supported,0.15801164591263955,0.12475241434251956,0.18942213852417158,adaptation_supported,0.8616776566230079,0.2529276727530808,0.2274118346477934,0.2825711546120065,residual_gap_remains,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
mugla_2021,bejis_2022,thermal,raw_source_only,burnable_tree_shrub_grass,15190,1100,0.5831912381443964,0.5606654572640564,0.6073082468046294,bootstrap_supported_above_chance,0.08827191688193281,0.07678634027602643,0.1023369929900934,raw_roc_and_pr_supported,,,,,,,,,,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,0.11079303395449873,available,step9_transfer_metrics
mugla_2021,bejis_2022,thermal,regionwise_zscore,burnable_tree_shrub_grass,15190,1100,0.5352625975869411,0.5124544199791791,0.5566333055543582,bootstrap_supported_above_chance,0.07218470691293462,0.06389721562413271,0.08188584294288359,raw_roc_and_pr_supported,-0.04792864055745538,-0.07644563470906497,-0.02042224279991708,adaptation_degraded_transfer,0.9178110845861024,0.38254848699916133,0.3594661799148364,0.4059648635056429,residual_gap_remains,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
mugla_2021,bejis_2022,thermal,coral_after_regionwise_zscore,burnable_tree_shrub_grass,15190,1100,0.560332344022195,0.537746956824107,0.5809565791531939,bootstrap_supported_above_chance,0.0779051864706781,0.06866797021174889,0.08865025604564898,raw_roc_and_pr_supported,-0.022858894122201434,-0.05181970987924267,0.003598666666129796,adaptation_effect_uncertain,0.9178110845861024,0.3574787405639074,0.33486986229352783,0.37991615393084754,residual_gap_remains,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
evia_2021_extended,manavgat_2021,baseline,raw_source_only,burnable_tree_shrub_grass,20511,2935,0.7273654778585326,0.711462335803398,0.7432359984950387,bootstrap_supported_above_chance,0.29184880895484727,0.2686766393049238,0.31831733736490514,raw_roc_and_pr_supported,,,,,,,,,,large_covariate_shift_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,0.1298894115987032,available,step9_transfer_metrics
evia_2021_extended,manavgat_2021,baseline,regionwise_zscore,burnable_tree_shrub_grass,20511,2935,0.562074532097742,0.5488717007917147,0.5756027706138565,bootstrap_supported_above_chance,0.14949233841660908,0.13862090047114461,0.1604979594154272,raw_roc_and_pr_supported,-0.1652909457607905,-0.18458711304179204,-0.14498687024511595,adaptation_degraded_transfer,0.8411807102607785,0.2791061781630364,0.2613423486436523,0.2965348807320614,residual_gap_remains,large_covariate_shift_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
evia_2021_extended,manavgat_2021,baseline,coral_after_regionwise_zscore,burnable_tree_shrub_grass,20511,2935,0.5355900081340592,0.5213807886912132,0.551115332470705,bootstrap_supported_above_chance,0.14385415117680045,0.13315031747296835,0.15463268305218286,raw_roc_and_pr_supported,-0.19177546972447335,-0.21093907164335743,-0.1710884254690541,adaptation_degraded_transfer,0.8411807102607785,0.30559070212671924,0.2862601487593175,0.32470178082122264,residual_gap_remains,large_covariate_shift_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
evia_2021_extended,manavgat_2021,thermal,raw_source_only,burnable_tree_shrub_grass,20511,2935,0.6768829881850658,0.658331739396282,0.6972678207893488,bootstrap_supported_above_chance,0.32088833865905136,0.2950486854214439,0.35110721933986216,raw_roc_and_pr_supported,,,,,,,,,,large_covariate_shift_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,0.11784650562250447,available,step9_transfer_metrics
