feature,source_experiment_id,target_experiment_id,manavgat_auc,manavgat_ci_low,manavgat_ci_high,manavgat_direction,manavgat_support_status,bejis_auc,bejis_ci_low,bejis_ci_high,bejis_direction,bejis_support_status,auc_difference_bejis_minus_manavgat,auc_difference_ci_low,auc_difference_ci_high,point_direction_reversal,reversal_status,step9e_relationship_direction_flag,integrated_interpretation
ndvi_mean,manavgat_2021,bejis_2022,0.5640055957519895,0.4993498073043752,0.6277578539104064,higher_values_rank_burned,interval_includes_chance,0.5587527905026131,0.4971818582643429,0.619346637555737,higher_values_rank_burned,interval_includes_chance,-0.005004460570113035,-0.09383553970171707,0.08189802666284629,False,no_direction_reversal,False,"Raw cross-region transfer was below chance; unsupervised adaptation recovered part of the discrimination loss; a large gap to within-region performance remained. Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across regions, a pattern consistent with residual concept/relationship shift. This does NOT prove causality and does NOT establish that concept shift is the only source of transfer failure; AUC below 0.5 is a direction, not poor performance, and is never inverted."
elevation_mean,manavgat_2021,bejis_2022,0.232040982011245,0.17885122027515035,0.2875573502683869,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.6432824053164721,0.5583150457861116,0.7290055219147464,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.4127480337215531,0.3149057379699328,0.5105155381448641,True,bootstrap_supported_direction_reversal,True,"Raw cross-region transfer was below chance; unsupervised adaptation recovered part of the discrimination loss; a large gap to within-region performance remained. Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across regions, a pattern consistent with residual concept/relationship shift. This does NOT prove causality and does NOT establish that concept shift is the only source of transfer failure; AUC below 0.5 is a direction, not poor performance, and is never inverted."
slope_mean,manavgat_2021,bejis_2022,0.40018140735508156,0.34027000461620815,0.45885532889780883,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.5207878895412608,0.4393212094762653,0.605295958421595,higher_values_rank_burned,interval_includes_chance,0.12227923828477943,0.021907202889567334,0.23048178069047784,True,point_direction_reversal_interval_uncertain,True,"Raw cross-region transfer was below chance; unsupervised adaptation recovered part of the discrimination loss; a large gap to within-region performance remained. Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across regions, a pattern consistent with residual concept/relationship shift. This does NOT prove causality and does NOT establish that concept shift is the only source of transfer failure; AUC below 0.5 is a direction, not poor performance, and is never inverted."
lst_anomaly_mean,manavgat_2021,bejis_2022,0.5087692084924866,0.45983049444070595,0.5603616928801307,higher_values_rank_burned,interval_includes_chance,0.4179915266529903,0.36378505075441114,0.4795630994864565,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,-0.08951610026862238,-0.1661049765762328,-0.011238501269765928,True,point_direction_reversal_interval_uncertain,True,"Raw cross-region transfer was below chance; unsupervised adaptation recovered part of the discrimination loss; a large gap to within-region performance remained. Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across regions, a pattern consistent with residual concept/relationship shift. This does NOT prove causality and does NOT establish that concept shift is the only source of transfer failure; AUC below 0.5 is a direction, not poor performance, and is never inverted."
current_lst_mean,manavgat_2021,bejis_2022,0.6646991429203886,0.6081290746892744,0.7187016715657228,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.47674775069349284,0.4011532923534438,0.5474889652503846,lower_values_rank_burned,interval_includes_chance,-0.18873189243246222,-0.2821959672605637,-0.09689599493788593,True,point_direction_reversal_interval_uncertain,True,"Raw cross-region transfer was below chance; unsupervised adaptation recovered part of the discrimination loss; a large gap to within-region performance remained. Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across regions, a pattern consistent with residual concept/relationship shift. This does NOT prove causality and does NOT establish that concept shift is the only source of transfer failure; AUC below 0.5 is a direction, not poor performance, and is never inverted."
current_tvdi_mean,manavgat_2021,bejis_2022,0.6770834881362302,0.6218036548158401,0.7328792708253501,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.5172782323463783,0.42900913810605534,0.595208856020078,higher_values_rank_burned,interval_includes_chance,-0.16069579339302348,-0.2664900451056534,-0.06058618946549339,False,no_direction_reversal,False,"Raw cross-region transfer was below chance; unsupervised adaptation recovered part of the discrimination loss; a large gap to within-region performance remained. Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across regions, a pattern consistent with residual concept/relationship shift. This does NOT prove causality and does NOT establish that concept shift is the only source of transfer failure; AUC below 0.5 is a direction, not poor performance, and is never inverted."
tvdi_difference_mean,manavgat_2021,bejis_2022,0.4603939869501002,0.4094766111758704,0.5099353700997888,lower_values_rank_burned,interval_includes_chance,0.5124941631737097,0.44315493285236285,0.5829402577021532,higher_values_rank_burned,interval_includes_chance,0.052427254237473506,-0.034653026902246184,0.138924958641517,True,point_direction_reversal_interval_uncertain,True,"Raw cross-region transfer was below chance; unsupervised adaptation recovered part of the discrimination loss; a large gap to within-region performance remained. Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across regions, a pattern consistent with residual concept/relationship shift. This does NOT prove causality and does NOT establish that concept shift is the only source of transfer failure; AUC below 0.5 is a direction, not poor performance, and is never inverted."
downscaled_lst_mean,manavgat_2021,bejis_2022,0.6831504494668662,0.6261141818665329,0.7385569394422626,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.4836430737466933,0.4003605903074035,0.5598325680030973,lower_values_rank_burned,interval_includes_chance,-0.200417067080748,-0.30535769945261165,-0.10357372370201152,True,point_direction_reversal_interval_uncertain,True,"Raw cross-region transfer was below chance; unsupervised adaptation recovered part of the discrimination loss; a large gap to within-region performance remained. Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across regions, a pattern consistent with residual concept/relationship shift. This does NOT prove causality and does NOT establish that concept shift is the only source of transfer failure; AUC below 0.5 is a direction, not poor performance, and is never inverted."
fused_lst_mean,manavgat_2021,bejis_2022,0.6662317904467838,0.6103754018797709,0.7205473076501159,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.4806129105103555,0.40394725127325576,0.5514025133468518,lower_values_rank_burned,interval_includes_chance,-0.18661096687268905,-0.2811145547877997,-0.09520619868251756,True,point_direction_reversal_interval_uncertain,True,"Raw cross-region transfer was below chance; unsupervised adaptation recovered part of the discrimination loss; a large gap to within-region performance remained. Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across regions, a pattern consistent with residual concept/relationship shift. This does NOT prove causality and does NOT establish that concept shift is the only source of transfer failure; AUC below 0.5 is a direction, not poor performance, and is never inverted."
