scenario,T,S,contrast,method,hw95,sd_estimate,coverage95,power_0.02,power_0.05,power_0.10,p_equiv_M0.02_true0.00,p_equiv_M0.02_true0.02,p_equiv_M0.05_true0.00,p_equiv_M0.05_true0.02,mde80
central,8,5,V2_minus_V3,tile_cluster_bootstrap,0.0873,0.0414,0.9410,0.0800,0.1995,0.5980,0.0000,0.0000,0.0070,0.0075,0.1275
central,8,5,V2_minus_V3,target_only_bootstrap,0.0687,0.0414,0.8665,0.1635,0.3325,0.7525,0.0005,0.0005,0.0540,0.0485,0.1090
central,8,5,group_contribution_V3,crossed_RE_model,0.0202,0.0085,,0.5226,0.9986,1.0000,0.3307,0.0365,0.9945,0.9247,0.0279
central,8,5,group_contribution_V3,tile_cluster_bootstrap,0.0271,0.0085,0.9965,0.2385,0.9805,1.0000,0.0745,0.0055,0.9930,0.8055,0.0355
central,8,5,group_contribution_V3,target_only_bootstrap,0.0145,0.0085,0.8755,0.7230,1.0000,1.0000,0.6055,0.0910,1.0000,0.9780,0.0225
central,8,5,V1_minus_V2,tile_RE_model,0.0806,0.0341,,0.0804,0.2459,0.7117,0.0000,0.0000,0.0000,0.0000,0.1115
central,8,5,V1_minus_V2,tile_cluster_bootstrap,0.0597,0.0334,0.8930,0.1735,0.4080,0.8590,0.0000,0.0000,0.1230,0.1030,0.0905
central,8,5,group_contribution_V1,tile_RE_model,0.0323,0.0137,,0.2451,0.8785,1.0000,0.0000,0.0000,0.8790,0.6066,0.0447
central,8,5,group_contribution_V1,tile_cluster_bootstrap,0.0239,0.0134,0.8815,0.3940,0.9605,1.0000,0.1190,0.0440,0.9565,0.7525,0.0365
central,10,3,mean_V3,crossed_RE_model,0.0394,0.0174,,0.1777,0.7255,0.9990,0.0000,0.0000,0.6750,0.4298,0.0548
central,10,3,mean_V3,tile_cluster_bootstrap,0.0537,0.0174,0.9940,0.0420,0.4240,0.9890,0.0000,0.0000,0.2930,0.1720,0.0710
central,10,3,mean_V3,target_only_bootstrap,0.0229,0.0174,0.7905,0.4445,0.9295,1.0000,0.0960,0.0530,0.9085,0.7210,0.0390
central,10,3,V1_minus_V3,crossed_RE_model,0.0507,0.0224,,0.1259,0.5122,0.9766,0.0000,0.0000,0.2993,0.2014,0.0706
central,10,3,V1_minus_V3,tile_cluster_bootstrap,0.0583,0.0222,0.9850,0.0645,0.3825,0.9535,0.0000,0.0000,0.1510,0.0990,0.0795
central,10,3,V1_minus_V3,target_only_bootstrap,0.0347,0.0222,0.8550,0.2885,0.7415,0.9970,0.0075,0.0025,0.6145,0.4510,0.0550
central,10,3,V2_minus_V3,crossed_RE_model,0.0872,0.0385,,0.0752,0.2134,0.6380,0.0000,0.0000,0.0000,0.0000,0.1214
central,10,3,V2_minus_V3,tile_cluster_bootstrap,0.0775,0.0388,0.9335,0.0940,0.2565,0.7080,0.0000,0.0000,0.0105,0.0125,0.1130
central,10,3,V2_minus_V3,target_only_bootstrap,0.0659,0.0388,0.8810,0.1505,0.3515,0.8000,0.0000,0.0000,0.0570,0.0445,0.1000
central,10,3,group_contribution_V3,crossed_RE_model,0.0155,0.0068,,0.7410,1.0000,1.0000,0.6979,0.0485,0.9996,0.9846,0.0215
central,10,3,group_contribution_V3,tile_cluster_bootstrap,0.0218,0.0067,0.9970,0.3975,1.0000,1.0000,0.2650,0.0055,1.0000,0.9530,0.0285
