scenario,T,S,contrast,method,hw95,sd_estimate,coverage95,power_0.02,power_0.05,power_0.10,p_equiv_M0.02_true0.00,p_equiv_M0.02_true0.02,p_equiv_M0.05_true0.00,p_equiv_M0.05_true0.02,mde80
central,15,4,V1_minus_V2,tile_RE_model,0.0550,0.0256,,0.1126,0.4434,0.9519,0.0000,0.0000,0.1480,0.1080,0.0772
central,15,4,V1_minus_V2,tile_cluster_bootstrap,0.0473,0.0259,0.9070,0.1665,0.5585,0.9680,0.0000,0.0000,0.3060,0.2215,0.0690
central,15,4,group_contribution_V1,tile_RE_model,0.0215,0.0100,,0.4597,0.9961,1.0000,0.1820,0.0287,0.9939,0.8809,0.0302
central,15,4,group_contribution_V1,tile_cluster_bootstrap,0.0185,0.0103,0.9130,0.5570,0.9985,1.0000,0.3295,0.0530,0.9995,0.9130,0.0280
central,15,5,mean_V3,crossed_RE_model,0.0249,0.0116,,0.3621,0.9793,1.0000,0.0000,0.0000,0.9769,0.7881,0.0349
central,15,5,mean_V3,tile_cluster_bootstrap,0.0356,0.0120,0.9940,0.1200,0.8750,1.0000,0.0000,0.0000,0.8995,0.5095,0.0465
central,15,5,mean_V3,target_only_bootstrap,0.0161,0.0120,0.8075,0.6275,0.9980,1.0000,0.3900,0.1145,0.9965,0.9030,0.0265
central,15,5,V1_minus_V3,crossed_RE_model,0.0344,0.0161,,0.2132,0.8252,0.9999,0.0000,0.0000,0.8026,0.5315,0.0484
central,15,5,V1_minus_V3,tile_cluster_bootstrap,0.0401,0.0164,0.9785,0.1120,0.7245,1.0000,0.0000,0.0000,0.6705,0.4170,0.0545
central,15,5,V1_minus_V3,target_only_bootstrap,0.0261,0.0164,0.8740,0.3560,0.9165,1.0000,0.0375,0.0235,0.8965,0.6935,0.0410
central,15,5,V2_minus_V3,crossed_RE_model,0.0622,0.0290,,0.0987,0.3623,0.8935,0.0000,0.0000,0.0000,0.0000,0.0873
central,15,5,V2_minus_V3,tile_cluster_bootstrap,0.0581,0.0288,0.9495,0.1140,0.3975,0.9105,0.0000,0.0000,0.1040,0.0825,0.0845
central,15,5,V2_minus_V3,target_only_bootstrap,0.0517,0.0288,0.9030,0.1540,0.4840,0.9315,0.0000,0.0000,0.1960,0.1645,0.0770
central,15,5,group_contribution_V3,crossed_RE_model,0.0095,0.0044,,0.9876,1.0000,1.0000,0.9850,0.0500,1.0000,0.9999,0.0133
central,15,5,group_contribution_V3,tile_cluster_bootstrap,0.0143,0.0045,0.9945,0.8895,1.0000,1.0000,0.9110,0.0055,1.0000,1.0000,0.0185
central,15,5,group_contribution_V3,target_only_bootstrap,0.0078,0.0045,0.9040,0.9940,1.0000,1.0000,0.9955,0.0690,1.0000,1.0000,0.0120
central,15,5,V1_minus_V2,tile_RE_model,0.0534,0.0249,,0.1164,0.4642,0.9615,0.0000,0.0000,0.1913,0.1376,0.0750
central,15,5,V1_minus_V2,tile_cluster_bootstrap,0.0461,0.0256,0.9030,0.1840,0.5615,0.9750,0.0000,0.0000,0.3245,0.2575,0.0690
central,15,5,group_contribution_V1,tile_RE_model,0.0214,0.0100,,0.4627,0.9964,1.0000,0.1883,0.0294,0.9942,0.8831,0.0301
central,15,5,group_contribution_V1,tile_cluster_bootstrap,0.0184,0.0100,0.9105,0.5640,0.9980,1.0000,0.3385,0.0650,0.9995,0.9145,0.0270
k=0.5,10,4,mean_V3,crossed_RE_model,0.0392,0.0173,,0.1786,0.7287,0.9991,0.0000,0.0000,0.6797,0.4330,0.0546
k=0.5,10,4,mean_V3,tile_cluster_bootstrap,0.0532,0.0173,0.9950,0.0395,0.4300,0.9915,0.0000,0.0000,0.3120,0.1815,0.0705
k=0.5,10,4,mean_V3,target_only_bootstrap,0.0226,0.0173,0.7830,0.4395,0.9350,1.0000,0.1085,0.0650,0.9135,0.7275,0.0385
k=0.5,10,4,V1_minus_V3,crossed_RE_model,0.0500,0.0221,,0.1282,0.5234,0.9795,0.0000,0.0000,0.3217,0.2151,0.0696
k=0.5,10,4,V1_minus_V3,tile_cluster_bootstrap,0.0573,0.0222,0.9855,0.0595,0.3825,0.9630,0.0000,0.0000,0.1565,0.1275,0.0770
k=0.5,10,4,V1_minus_V3,target_only_bootstrap,0.0338,0.0222,0.8570,0.3100,0.7540,0.9970,0.0070,0.0100,0.6365,0.4810,0.0535
k=0.5,10,4,V2_minus_V3,crossed_RE_model,0.0614,0.0271,,0.1014,0.3771,0.9050,0.0000,0.0000,0.0069,0.0051,0.0855
k=0.5,10,4,V2_minus_V3,tile_cluster_bootstrap,0.0630,0.0269,0.9695,0.0775,0.3370,0.9050,0.0000,0.0000,0.0850,0.0620,0.0865
k=0.5,10,4,V2_minus_V3,target_only_bootstrap,0.0438,0.0269,0.8665,0.2335,0.6020,0.9750,0.0005,0.0005,0.3615,0.2910,0.0675
k=0.5,10,4,group_contribution_V3,crossed_RE_model,0.0153,0.0068,,0.7479,1.0000,1.0000,0.7078,0.0486,0.9996,0.9855,0.0213
k=0.5,10,4,group_contribution_V3,tile_cluster_bootstrap,0.0217,0.0068,0.9945,0.4060,1.0000,1.0000,0.2790,0.0080,1.0000,0.9520,0.0290
k=0.5,10,4,group_contribution_V3,target_only_bootstrap,0.0118,0.0068,0.8980,0.8655,1.0000,1.0000,0.8435,0.0885,1.0000,0.9975,0.0185
k=0.5,10,4,V1_minus_V2,tile_RE_model,0.0404,0.0178,,0.1711,0.7037,0.9986,0.0000,0.0000,0.6417,0.4079,0.0562
k=0.5,10,4,V1_minus_V2,tile_cluster_bootstrap,0.0321,0.0182,0.8975,0.2790,0.8135,1.0000,0.0160,0.0070,0.7575,0.5345,0.0485
k=0.5,10,4,group_contribution_V1,tile_RE_model,0.0278,0.0123,,0.3081,0.9507,1.0000,0.0000,0.0000,0.9482,0.7200,0.0387
k=0.5,10,4,group_contribution_V1,tile_cluster_bootstrap,0.0220,0.0125,0.8940,0.4375,0.9820,1.0000,0.1620,0.0555,0.9805,0.7980,0.0340
k=1.5,10,4,mean_V3,crossed_RE_model,0.0392,0.0173,,0.1786,0.7287,0.9991,0.0000,0.0000,0.6797,0.4330,0.0546
k=1.5,10,4,mean_V3,tile_cluster_bootstrap,0.0534,0.0174,0.9930,0.0445,0.4505,0.9905,0.0000,0.0000,0.2915,0.1620,0.0705
k=1.5,10,4,mean_V3,target_only_bootstrap,0.0228,0.0174,0.7885,0.4620,0.9275,1.0000,0.1115,0.0570,0.9095,0.7095,0.0380
k=1.5,10,4,V1_minus_V3,crossed_RE_model,0.0500,0.0221,,0.1282,0.5234,0.9795,0.0000,0.0000,0.3217,0.2151,0.0696
k=1.5,10,4,V1_minus_V3,tile_cluster_bootstrap,0.0574,0.0224,0.9825,0.0700,0.3825,0.9540,0.0000,0.0000,0.1665,0.1295,0.0775
k=1.5,10,4,V1_minus_V3,target_only_bootstrap,0.0338,0.0224,0.8495,0.2885,0.7615,0.9970,0.0060,0.0055,0.6430,0.4970,0.0525
k=1.5,10,4,V2_minus_V3,crossed_RE_model,0.1134,0.0501,,0.0648,0.1454,0.4295,0.0000,0.0000,0.0000,0.0000,0.1579
k=1.5,10,4,V2_minus_V3,tile_cluster_bootstrap,0.0941,0.0521,0.9045,0.1075,0.2125,0.5495,0.0000,0.0000,0.0015,0.0020,0.1390
k=1.5,10,4,V2_minus_V3,target_only_bootstrap,0.0877,0.0521,0.8815,0.1415,0.2505,0.5915,0.0000,0.0000,0.0080,0.0070,0.1325
k=1.5,10,4,group_contribution_V3,crossed_RE_model,0.0153,0.0068,,0.7479,1.0000,1.0000,0.7078,0.0486,0.9996,0.9855,0.0213
k=1.5,10,4,group_contribution_V3,tile_cluster_bootstrap,0.0216,0.0069,0.9950,0.4095,1.0000,1.0000,0.2865,0.0085,1.0000,0.9495,0.0285
k=1.5,10,4,group_contribution_V3,target_only_bootstrap,0.0116,0.0069,0.8760,0.8565,1.0000,1.0000,0.8340,0.0980,1.0000,0.9990,0.0185
k=1.5,10,4,V1_minus_V2,tile_RE_model,0.1035,0.0458,,0.0678,0.1650,0.4962,0.0000,0.0000,0.0000,0.0000,0.1442
k=1.5,10,4,V1_minus_V2,tile_cluster_bootstrap,0.0823,0.0447,0.9015,0.1255,0.2615,0.6445,0.0000,0.0000,0.0155,0.0120,0.1250
k=1.5,10,4,group_contribution_V1,tile_RE_model,0.0278,0.0123,,0.3081,0.9507,1.0000,0.0000,0.0000,0.9482,0.7200,0.0387
k=1.5,10,4,group_contribution_V1,tile_cluster_bootstrap,0.0221,0.0125,0.8870,0.4310,0.9860,1.0000,0.1505,0.0610,0.9805,0.7975,0.0340
pi=1.0,10,4,mean_V3,crossed_RE_model,0.0392,0.0173,,0.1786,0.7287,0.9991,0.0000,0.0000,0.6797,0.4330,0.0546
pi=1.0,10,4,mean_V3,tile_cluster_bootstrap,0.0530,0.0173,0.9935,0.0430,0.4085,0.9910,0.0000,0.0000,0.3110,0.1835,0.0695
pi=1.0,10,4,mean_V3,target_only_bootstrap,0.0225,0.0173,0.7850,0.4355,0.9270,1.0000,0.1080,0.0600,0.9205,0.7315,0.0385
pi=1.0,10,4,V1_minus_V3,crossed_RE_model,0.0500,0.0221,,0.1282,0.5234,0.9795,0.0000,0.0000,0.3217,0.2151,0.0696
pi=1.0,10,4,V1_minus_V3,tile_cluster_bootstrap,0.0575,0.0215,0.9830,0.0545,0.3865,0.9585,0.0000,0.0000,0.1745,0.1265,0.0775
pi=1.0,10,4,V1_minus_V3,target_only_bootstrap,0.0338,0.0215,0.8655,0.2970,0.7565,0.9970,0.0125,0.0085,0.6580,0.4840,0.0535
pi=1.0,10,4,V2_minus_V3,crossed_RE_model,0.0995,0.0440,,0.0693,0.1747,0.5273,0.0000,0.0000,0.0000,0.0000,0.1386
pi=1.0,10,4,V2_minus_V3,tile_cluster_bootstrap,0.0855,0.0442,0.9295,0.0980,0.2270,0.6130,0.0000,0.0000,0.0075,0.0070,0.1250
pi=1.0,10,4,V2_minus_V3,target_only_bootstrap,0.0766,0.0442,0.8935,0.1335,0.2995,0.6835,0.0000,0.0000,0.0270,0.0230,0.1165
pi=1.0,10,4,group_contribution_V3,crossed_RE_model,0.0153,0.0068,,0.7479,1.0000,1.0000,0.7078,0.0486,0.9996,0.9855,0.0213
pi=1.0,10,4,group_contribution_V3,tile_cluster_bootstrap,0.0216,0.0067,0.9975,0.4150,1.0000,1.0000,0.2910,0.0080,1.0000,0.9570,0.0285
pi=1.0,10,4,group_contribution_V3,target_only_bootstrap,0.0117,0.0067,0.8995,0.8705,1.0000,1.0000,0.8390,0.0840,1.0000,0.9990,0.0180
pi=1.0,10,4,V1_minus_V2,tile_RE_model,0.0881,0.0390,,0.0747,0.2098,0.6287,0.0000,0.0000,0.0000,0.0000,0.1227
pi=1.0,10,4,V1_minus_V2,tile_cluster_bootstrap,0.0706,0.0385,0.9090,0.1330,0.3200,0.7595,0.0000,0.0000,0.0370,0.0300,0.1060
pi=1.0,10,4,group_contribution_V1,tile_RE_model,0.0278,0.0123,,0.3081,0.9507,1.0000,0.0000,0.0000,0.9482,0.7200,0.0387
pi=1.0,10,4,group_contribution_V1,tile_cluster_bootstrap,0.0220,0.0125,0.8990,0.4495,0.9720,1.0000,0.1565,0.0510,0.9785,0.8075,0.0340
persist=0.5,10,4,mean_V3,crossed_RE_model,0.0312,0.0138,,0.2545,0.8959,1.0000,0.0000,0.0000,0.8932,0.6247,0.0434
persist=0.5,10,4,mean_V3,tile_cluster_bootstrap,0.0425,0.0140,0.9950,0.0850,0.6930,1.0000,0.0000,0.0000,0.6765,0.3550,0.0560
persist=0.5,10,4,mean_V3,target_only_bootstrap,0.0181,0.0140,0.7800,0.5625,0.9810,1.0000,0.2770,0.1040,0.9825,0.8395,0.0305
persist=0.5,10,4,V1_minus_V3,crossed_RE_model,0.0405,0.0179,,0.1701,0.7002,0.9985,0.0000,0.0000,0.6363,0.4044,0.0565
persist=0.5,10,4,V1_minus_V3,tile_cluster_bootstrap,0.0458,0.0175,0.9805,0.0875,0.5855,0.9980,0.0000,0.0000,0.4880,0.3080,0.0635
persist=0.5,10,4,V1_minus_V3,target_only_bootstrap,0.0273,0.0175,0.8585,0.3555,0.8845,1.0000,0.0445,0.0230,0.8540,0.6415,0.0435
persist=0.5,10,4,V2_minus_V3,crossed_RE_model,0.0795,0.0352,,0.0804,0.2468,0.7168,0.0000,0.0000,0.0000,0.0000,0.1107
persist=0.5,10,4,V2_minus_V3,tile_cluster_bootstrap,0.0681,0.0358,0.9295,0.1160,0.3235,0.8095,0.0000,0.0000,0.0420,0.0405,0.0995
persist=0.5,10,4,V2_minus_V3,target_only_bootstrap,0.0613,0.0358,0.8910,0.1650,0.3935,0.8455,0.0000,0.0000,0.0870,0.0715,0.0935
persist=0.5,10,4,group_contribution_V3,crossed_RE_model,0.0123,0.0054,,0.9043,1.0000,1.0000,0.9021,0.0498,1.0000,0.9975,0.0171
persist=0.5,10,4,group_contribution_V3,tile_cluster_bootstrap,0.0173,0.0054,0.9950,0.6710,1.0000,1.0000,0.6755,0.0060,1.0000,0.9945,0.0225
persist=0.5,10,4,group_contribution_V3,target_only_bootstrap,0.0094,0.0054,0.8825,0.9655,1.0000,1.0000,0.9580,0.0835,1.0000,1.0000,0.0145
persist=0.5,10,4,V1_minus_V2,tile_RE_model,0.0710,0.0314,,0.0882,0.2969,0.8090,0.0000,0.0000,0.0000,0.0000,0.0988
persist=0.5,10,4,V1_minus_V2,tile_cluster_bootstrap,0.0567,0.0315,0.9025,0.1545,0.4240,0.8945,0.0000,0.0000,0.1335,0.1150,0.0865
persist=0.5,10,4,group_contribution_V1,tile_RE_model,0.0278,0.0123,,0.3081,0.9507,1.0000,0.0000,0.0000,0.9482,0.7200,0.0387
persist=0.5,10,4,group_contribution_V1,tile_cluster_bootstrap,0.0221,0.0124,0.8975,0.4340,0.9865,1.0000,0.1515,0.0495,0.9775,0.8075,0.0335
g=0.7,10,4,mean_V3,crossed_RE_model,0.0390,0.0172,,0.1802,0.7335,0.9992,0.0000,0.0000,0.6870,0.4380,0.0543
g=0.7,10,4,mean_V3,tile_cluster_bootstrap,0.0531,0.0176,0.9930,0.0455,0.4555,0.9920,0.0000,0.0000,0.2940,0.1680,0.0695
g=0.7,10,4,mean_V3,target_only_bootstrap,0.0225,0.0176,0.7740,0.4770,0.9345,1.0000,0.0945,0.0540,0.9155,0.7110,0.0375
g=0.7,10,4,V1_minus_V3,crossed_RE_model,0.0489,0.0216,,0.1318,0.5414,0.9835,0.0000,0.0000,0.3573,0.2365,0.0681
g=0.7,10,4,V1_minus_V3,tile_cluster_bootstrap,0.0566,0.0218,0.9775,0.0660,0.4110,0.9715,0.0000,0.0000,0.1885,0.1230,0.0765
g=0.7,10,4,V1_minus_V3,target_only_bootstrap,0.0325,0.0218,0.8420,0.3165,0.7925,0.9975,0.0130,0.0095,0.6770,0.5095,0.0510
g=0.7,10,4,V2_minus_V3,crossed_RE_model,0.0837,0.0370,,0.0774,0.2275,0.6732,0.0000,0.0000,0.0000,0.0000,0.1165
g=0.7,10,4,V2_minus_V3,tile_cluster_bootstrap,0.0752,0.0376,0.9375,0.0940,0.2735,0.7300,0.0000,0.0000,0.0150,0.0155,0.1095
g=0.7,10,4,V2_minus_V3,target_only_bootstrap,0.0631,0.0376,0.8815,0.1685,0.3855,0.8210,0.0000,0.0000,0.0670,0.0625,0.0975
g=0.7,10,4,group_contribution_V3,crossed_RE_model,0.0151,0.0067,,0.7584,1.0000,1.0000,0.7229,0.0488,0.9997,0.9868,0.0211
g=0.7,10,4,group_contribution_V3,tile_cluster_bootstrap,0.0213,0.0067,0.9970,0.4410,1.0000,1.0000,0.3280,0.0070,0.9995,0.9560,0.0280
g=0.7,10,4,group_contribution_V3,target_only_bootstrap,0.0116,0.0067,0.8900,0.8770,1.0000,1.0000,0.8525,0.0830,1.0000,0.9980,0.0180
g=0.7,10,4,V1_minus_V2,tile_RE_model,0.0692,0.0306,,0.0903,0.3097,0.8281,0.0000,0.0000,0.0000,0.0000,0.0963
g=0.7,10,4,V1_minus_V2,tile_cluster_bootstrap,0.0549,0.0306,0.9065,0.1570,0.4360,0.9120,0.0005,0.0005,0.1635,0.1335,0.0830
g=0.7,10,4,group_contribution_V1,tile_RE_model,0.0275,0.0121,,0.3136,0.9544,1.0000,0.0000,0.0000,0.9518,0.7284,0.0382
g=0.7,10,4,group_contribution_V1,tile_cluster_bootstrap,0.0217,0.0120,0.9015,0.4535,0.9855,1.0000,0.1805,0.0435,0.9785,0.8260,0.0325
g=1.5,10,4,mean_V3,crossed_RE_model,0.0398,0.0176,,0.1750,0.7168,0.9989,0.0000,0.0000,0.6619,0.4212,0.0554
g=1.5,10,4,mean_V3,tile_cluster_bootstrap,0.0544,0.0176,0.9930,0.0390,0.4230,0.9860,0.0000,0.0000,0.2825,0.1500,0.0710
g=1.5,10,4,mean_V3,target_only_bootstrap,0.0233,0.0176,0.7905,0.4460,0.9300,1.0000,0.0990,0.0505,0.9035,0.7160,0.0385
g=1.5,10,4,V1_minus_V3,crossed_RE_model,0.0526,0.0233,,0.1204,0.4837,0.9676,0.0000,0.0000,0.2408,0.1650,0.0733
g=1.5,10,4,V1_minus_V3,tile_cluster_bootstrap,0.0593,0.0236,0.9760,0.0610,0.3690,0.9425,0.0000,0.0000,0.1275,0.0955,0.0815
g=1.5,10,4,V1_minus_V3,target_only_bootstrap,0.0362,0.0236,0.8500,0.2840,0.7070,0.9930,0.0055,0.0040,0.5715,0.4200,0.0575
g=1.5,10,4,V2_minus_V3,crossed_RE_model,0.0873,0.0386,,0.0752,0.2130,0.6371,0.0000,0.0000,0.0000,0.0000,0.1215
g=1.5,10,4,V2_minus_V3,tile_cluster_bootstrap,0.0779,0.0377,0.9375,0.0840,0.2485,0.7000,0.0000,0.0000,0.0155,0.0135,0.1145
g=1.5,10,4,V2_minus_V3,target_only_bootstrap,0.0659,0.0377,0.8925,0.1480,0.3490,0.7935,0.0000,0.0000,0.0640,0.0505,0.1015
g=1.5,10,4,group_contribution_V3,crossed_RE_model,0.0158,0.0070,,0.7226,1.0000,1.0000,0.6706,0.0482,0.9995,0.9820,0.0220
g=1.5,10,4,group_contribution_V3,tile_cluster_bootstrap,0.0222,0.0070,0.9945,0.3970,1.0000,1.0000,0.2555,0.0060,1.0000,0.9380,0.0290
g=1.5,10,4,group_contribution_V3,target_only_bootstrap,0.0121,0.0070,0.8815,0.8480,1.0000,1.0000,0.8150,0.0885,1.0000,0.9940,0.0185
g=1.5,10,4,V1_minus_V2,tile_RE_model,0.0752,0.0332,,0.0840,0.2701,0.7632,0.0000,0.0000,0.0000,0.0000,0.1047
g=1.5,10,4,V1_minus_V2,tile_cluster_bootstrap,0.0597,0.0331,0.9050,0.1550,0.4120,0.8635,0.0000,0.0000,0.0935,0.0905,0.0900
g=1.5,10,4,group_contribution_V1,tile_RE_model,0.0285,0.0126,,0.2956,0.9409,1.0000,0.0000,0.0000,0.9389,0.6999,0.0396
g=1.5,10,4,group_contribution_V1,tile_cluster_bootstrap,0.0224,0.0125,0.8910,0.4160,0.9840,1.0000,0.1485,0.0545,0.9785,0.7920,0.0340
g=2.0,10,4,mean_V3,crossed_RE_model,0.0405,0.0179,,0.1703,0.7007,0.9985,0.0000,0.0000,0.6371,0.4050,0.0564
g=2.0,10,4,mean_V3,tile_cluster_bootstrap,0.0553,0.0178,0.9970,0.0395,0.3835,0.9910,0.0000,0.0000,0.2425,0.1625,0.0720
g=2.0,10,4,mean_V3,target_only_bootstrap,0.0240,0.0178,0.8005,0.4090,0.9200,1.0000,0.0720,0.0540,0.8925,0.7060,0.0405
g=2.0,10,4,V1_minus_V3,crossed_RE_model,0.0561,0.0248,,0.1118,0.4370,0.9469,0.0000,0.0000,0.1413,0.1002,0.0781
g=2.0,10,4,V1_minus_V3,tile_cluster_bootstrap,0.0615,0.0247,0.9745,0.0570,0.3415,0.9240,0.0000,0.0000,0.1075,0.0705,0.0845
g=2.0,10,4,V1_minus_V3,target_only_bootstrap,0.0392,0.0247,0.8570,0.2510,0.6675,0.9850,0.0030,0.0035,0.4840,0.3755,0.0615
g=2.0,10,4,V2_minus_V3,crossed_RE_model,0.0907,0.0401,,0.0733,0.2007,0.6042,0.0000,0.0000,0.0000,0.0000,0.1263
g=2.0,10,4,V2_minus_V3,tile_cluster_bootstrap,0.0802,0.0395,0.9420,0.0930,0.2440,0.6695,0.0000,0.0000,0.0070,0.0090,0.1170
g=2.0,10,4,V2_minus_V3,target_only_bootstrap,0.0685,0.0395,0.8925,0.1515,0.3375,0.7605,0.0000,0.0000,0.0425,0.0480,0.1065
g=2.0,10,4,group_contribution_V3,crossed_RE_model,0.0164,0.0073,,0.6890,1.0000,1.0000,0.6187,0.0474,0.9993,0.9764,0.0229
g=2.0,10,4,group_contribution_V3,tile_cluster_bootstrap,0.0232,0.0073,0.9910,0.3510,0.9995,1.0000,0.1790,0.0085,1.0000,0.9095,0.0305
g=2.0,10,4,group_contribution_V3,target_only_bootstrap,0.0126,0.0073,0.8945,0.8340,1.0000,1.0000,0.7760,0.0770,1.0000,0.9930,0.0195
g=2.0,10,4,V1_minus_V2,tile_RE_model,0.0808,0.0357,,0.0794,0.2408,0.7037,0.0000,0.0000,0.0000,0.0000,0.1124
g=2.0,10,4,V1_minus_V2,tile_cluster_bootstrap,0.0646,0.0353,0.9110,0.1370,0.3525,0.8125,0.0000,0.0000,0.0750,0.0610,0.0985
g=2.0,10,4,group_contribution_V1,tile_RE_model,0.0294,0.0130,,0.2798,0.9263,1.0000,0.0000,0.0000,0.9246,0.6729,0.0410
g=2.0,10,4,group_contribution_V1,tile_cluster_bootstrap,0.0232,0.0131,0.8955,0.4150,0.9685,1.0000,0.1100,0.0405,0.9680,0.7630,0.0350
rho=0.5,10,4,mean_V3,crossed_RE_model,0.0392,0.0173,,0.1786,0.7287,0.9991,0.0000,0.0000,0.6797,0.4330,0.0546
rho=0.5,10,4,mean_V3,tile_cluster_bootstrap,0.0537,0.0178,0.9950,0.0485,0.4430,0.9940,0.0000,0.0000,0.2875,0.1665,0.0705
rho=0.5,10,4,mean_V3,target_only_bootstrap,0.0228,0.0178,0.7710,0.4535,0.9355,1.0000,0.0940,0.0565,0.9020,0.7125,0.0380
rho=0.5,10,4,V1_minus_V3,crossed_RE_model,0.0500,0.0221,,0.1282,0.5234,0.9795,0.0000,0.0000,0.3217,0.2151,0.0696
rho=0.5,10,4,V1_minus_V3,tile_cluster_bootstrap,0.0573,0.0215,0.9845,0.0555,0.3680,0.9595,0.0000,0.0000,0.1760,0.1225,0.0785
rho=0.5,10,4,V1_minus_V3,target_only_bootstrap,0.0336,0.0215,0.8660,0.2800,0.7510,0.9975,0.0090,0.0055,0.6580,0.5110,0.0545
rho=0.5,10,4,V2_minus_V3,crossed_RE_model,0.0728,0.0322,,0.0863,0.2848,0.7893,0.0000,0.0000,0.0000,0.0000,0.1014
rho=0.5,10,4,V2_minus_V3,tile_cluster_bootstrap,0.0688,0.0308,0.9610,0.0740,0.2880,0.8145,0.0000,0.0000,0.0360,0.0305,0.0985
rho=0.5,10,4,V2_minus_V3,target_only_bootstrap,0.0537,0.0308,0.8940,0.1690,0.4475,0.9020,0.0010,0.0005,0.1735,0.1480,0.0835
rho=0.5,10,4,group_contribution_V3,crossed_RE_model,0.0153,0.0068,,0.7479,1.0000,1.0000,0.7078,0.0486,0.9996,0.9855,0.0213
rho=0.5,10,4,group_contribution_V3,tile_cluster_bootstrap,0.0215,0.0069,0.9940,0.4270,1.0000,1.0000,0.2930,0.0070,1.0000,0.9510,0.0285
rho=0.5,10,4,group_contribution_V3,target_only_bootstrap,0.0118,0.0069,0.8745,0.8550,1.0000,1.0000,0.8265,0.0870,1.0000,0.9960,0.0185
rho=0.5,10,4,V1_minus_V2,tile_RE_model,0.0710,0.0314,,0.0882,0.2969,0.8090,0.0000,0.0000,0.0000,0.0000,0.0988
rho=0.5,10,4,V1_minus_V2,tile_cluster_bootstrap,0.0563,0.0305,0.9095,0.1635,0.4245,0.9040,0.0000,0.0000,0.1560,0.1140,0.0855
rho=0.5,10,4,group_contribution_V1,tile_RE_model,0.0278,0.0123,,0.3081,0.9507,1.0000,0.0000,0.0000,0.9482,0.7200,0.0387
rho=0.5,10,4,group_contribution_V1,tile_cluster_bootstrap,0.0221,0.0119,0.9150,0.4475,0.9895,1.0000,0.1635,0.0465,0.9880,0.8030,0.0335
pessimistic_components_p80,10,4,mean_V3,crossed_RE_model,0.0513,0.0227,,0.1242,0.5036,0.9741,0.0000,0.0000,0.2818,0.1906,0.0714
pessimistic_components_p80,10,4,mean_V3,tile_cluster_bootstrap,0.0649,0.0232,0.9900,0.0310,0.2870,0.9150,0.0000,0.0000,0.0775,0.0415,0.0870
pessimistic_components_p80,10,4,mean_V3,target_only_bootstrap,0.0294,0.0232,0.7765,0.3830,0.8045,0.9965,0.0200,0.0145,0.7035,0.5400,0.0500
pessimistic_components_p80,10,4,V1_minus_V3,crossed_RE_model,0.0627,0.0277,,0.0993,0.3648,0.8936,0.0000,0.0000,0.0000,0.0000,0.0872
pessimistic_components_p80,10,4,V1_minus_V3,tile_cluster_bootstrap,0.0681,0.0270,0.9835,0.0560,0.2750,0.8635,0.0000,0.0000,0.0540,0.0290,0.0930
pessimistic_components_p80,10,4,V1_minus_V3,target_only_bootstrap,0.0389,0.0270,0.8275,0.2735,0.6765,0.9840,0.0030,0.0020,0.4780,0.3650,0.0620
pessimistic_components_p80,10,4,V2_minus_V3,crossed_RE_model,0.1028,0.0454,,0.0681,0.1668,0.5021,0.0000,0.0000,0.0000,0.0000,0.1431
pessimistic_components_p80,10,4,V2_minus_V3,tile_cluster_bootstrap,0.0903,0.0447,0.9360,0.0915,0.2020,0.5950,0.0000,0.0000,0.0015,0.0050,0.1275
pessimistic_components_p80,10,4,V2_minus_V3,target_only_bootstrap,0.0751,0.0447,0.8710,0.1485,0.3135,0.7165,0.0000,0.0000,0.0215,0.0250,0.1130
pessimistic_components_p80,10,4,group_contribution_V3,crossed_RE_model,0.0335,0.0148,,0.2274,0.8514,1.0000,0.0000,0.0000,0.8433,0.5659,0.0466
pessimistic_components_p80,10,4,group_contribution_V3,tile_cluster_bootstrap,0.0341,0.0145,0.9670,0.1840,0.8490,1.0000,0.0040,0.0030,0.8305,0.5295,0.0470
pessimistic_components_p80,10,4,group_contribution_V3,target_only_bootstrap,0.0199,0.0145,0.8060,0.5055,0.9720,1.0000,0.1925,0.0820,0.9745,0.8020,0.0325
pessimistic_components_p80,10,4,V1_minus_V2,tile_RE_model,0.0836,0.0370,,0.0774,0.2277,0.6737,0.0000,0.0000,0.0000,0.0000,0.1164
pessimistic_components_p80,10,4,V1_minus_V2,tile_cluster_bootstrap,0.0658,0.0376,0.9025,0.1425,0.3605,0.8010,0.0000,0.0000,0.0630,0.0615,0.1000
pessimistic_components_p80,10,4,group_contribution_V1,tile_RE_model,0.0821,0.0363,,0.0785,0.2346,0.6898,0.0000,0.0000,0.0000,0.0000,0.1143
pessimistic_components_p80,10,4,group_contribution_V1,tile_cluster_bootstrap,0.0649,0.0370,0.8905,0.1475,0.3675,0.8105,0.0000,0.0000,0.0680,0.0505,0.0985
pessimistic_p80+k=1.5+g=1.5,10,4,mean_V3,crossed_RE_model,0.0517,0.0229,,0.1230,0.4972,0.9722,0.0000,0.0000,0.2687,0.1825,0.0720
pessimistic_p80+k=1.5+g=1.5,10,4,mean_V3,tile_cluster_bootstrap,0.0653,0.0226,0.9900,0.0440,0.2810,0.9205,0.0000,0.0000,0.0625,0.0445,0.0865
pessimistic_p80+k=1.5+g=1.5,10,4,mean_V3,target_only_bootstrap,0.0298,0.0226,0.7905,0.3555,0.8055,0.9980,0.0190,0.0135,0.7105,0.5475,0.0495
