population,valid_count,missing_count,min,q05,q25,median,mean,q75,q95,max,iqr,range
all_valid_burned,3046,0,10.189586639404297,43.49101543426514,134.6347770690918,272.45252990722656,391.5885774386375,588.2844696044922,1043.8276062011719,1591.611083984375,453.6496925354004,1581.4214973449707
burnable_tree_shrub_grass_burned,2935,0,10.189586639404297,51.541093063354495,147.26025390625,286.5644836425781,403.85461699861077,599.9353332519531,1050.2953369140616,1591.611083984375,452.6750793457031,1581.4214973449707
burnable_tree_shrub_grass_valid_for_modeling_burned,2935,0,10.189586639404297,51.541093063354495,147.26025390625,286.5644836425781,403.85461699861077,599.9353332519531,1050.2953369140616,1591.611083984375,452.6750793457031,1581.4214973449707
