check,frame,blocking_cells,mean_within,region_a,region_b,auc_a,auc_b,diff,diff_lo,diff_hi,opposite_sides,diff_excludes_0,region,lst_raw,lst_given_ndvi,ndvi_raw,ndvi_given_lst,lst_given_dist
within,full,2.0,0.8882616215138528,,,,,,,,,,,,,,,
within,full,10.0,0.796662908786397,,,,,,,,,,,,,,,
within,10km,2.0,0.8693897819519959,,,,,,,,,,,,,,,
within,10km,10.0,0.7709832048781118,,,,,,,,,,,,,,,
within,5km,2.0,0.8398890731501731,,,,,,,,,,,,,,,
within,5km,10.0,0.7352869250660513,,,,,,,,,,,,,,,
anomaly_diff,,,,manavgat_2021,bejis_2022,0.46154938814277513,0.39230323136558826,0.06924615677718687,-0.02797139597485208,0.15571088093019753,False,False,,,,,,
anomaly_diff,,,,manavgat_2021,mugla_2021,0.46154938814277513,0.5068925274629883,-0.045343139320213166,-0.1487218097287049,0.05716935824935772,True,False,,,,,,
anomaly_diff,,,,manavgat_2021,evia_2021_extended,0.46154938814277513,0.5837584538337627,-0.12220906569098755,-0.22486381511651607,-0.019758110191843176,True,True,,,,,,
anomaly_diff,,,,manavgat_2021,montiferru_2021,0.46154938814277513,0.4001135424581277,0.06143584568464744,-0.09427110794387725,0.1839700204303118,False,False,,,,,,
anomaly_diff,,,,bejis_2022,mugla_2021,0.39230323136558826,0.5068925274629883,-0.11458929609740004,-0.21935043795897766,-0.0024455363325306986,True,True,,,,,,
anomaly_diff,,,,bejis_2022,evia_2021_extended,0.39230323136558826,0.5837584538337627,-0.19145522246817442,-0.29459690291395296,-0.08312554872358162,True,True,,,,,,
anomaly_diff,,,,bejis_2022,montiferru_2021,0.39230323136558826,0.4001135424581277,-0.007810311092539435,-0.1596662820811602,0.13503239224161373,False,False,,,,,,
anomaly_diff,,,,mugla_2021,evia_2021_extended,0.5068925274629883,0.5837584538337627,-0.07686592637077438,-0.20163392030956123,0.048936462826543806,False,False,,,,,,
anomaly_diff,,,,mugla_2021,montiferru_2021,0.5068925274629883,0.4001135424581277,0.1067789850048606,-0.065548617696768,0.24871924246240698,True,False,,,,,,
anomaly_diff,,,,evia_2021_extended,montiferru_2021,0.5837584538337627,0.4001135424581277,0.183644911375635,0.012342505860530775,0.3209486597935355,True,True,,,,,,
reciprocal,,,,,,,,,,,,,manavgat_2021,0.3863772445811905,0.43986089723576033,0.6210308374260758,0.5416789297540979,0.5053719620628335
reciprocal,,,,,,,,,,,,,bejis_2022,0.40460495808405017,0.4860092458596515,0.6177739290258731,0.5737938876112179,0.34990157480314954
reciprocal,,,,,,,,,,,,,mugla_2021,0.331812261454304,0.40391777984429117,0.6521441147756903,0.5471749259105374,0.3668289849734565
reciprocal,,,,,,,,,,,,,evia_2021_extended,0.2856660359279603,0.27935180382027125,0.663382936090296,0.3804528985507246,0.3186957916684853
reciprocal,,,,,,,,,,,,,montiferru_2021,0.3763437997164291,0.36755257592082685,0.5817467660844683,0.40460112908695567,0.48489163107103306
