check,feature,region,auc,ci_lo,ci_hi,interval_excludes_0.5,side,collar_auc,auc_within_elev_decile,auc_within_ndvi_decile,r_elev,r_ndvi
collar_ci,elevation_mean,manavgat_2021,0.56090952881355,0.44853531275203823,0.6742358211892198,False,above,,,,,
collar_ci,elevation_mean,bejis_2022,0.6143085374967179,0.4957972451076137,0.7223321900740006,False,above,,,,,
collar_ci,elevation_mean,mugla_2021,0.6055696330476426,0.5254440974309419,0.6847656486404172,True,above,,,,,
collar_ci,elevation_mean,evia_2021_extended,0.647769410765906,0.5503386882705409,0.7397841318981809,True,above,,,,,
collar_ci,elevation_mean,montiferru_2021,0.5811567066601115,0.39136406416282454,0.7589562826202371,False,above,,,,,
collar_ci,current_lst_mean,manavgat_2021,0.3863772445811905,0.2892661644296489,0.47832705363618133,True,below,,,,,
collar_ci,current_lst_mean,bejis_2022,0.40460495808405017,0.3337770464986829,0.4824366579378918,True,below,,,,,
collar_ci,current_lst_mean,mugla_2021,0.331812261454304,0.2748596299851671,0.3919526146518676,True,below,,,,,
collar_ci,current_lst_mean,evia_2021_extended,0.2856660359279603,0.20337315808443673,0.37453365727781635,True,below,,,,,
collar_ci,current_lst_mean,montiferru_2021,0.3763437997164291,0.25130941294993575,0.5198425017398888,False,below,,,,,
collar_ci,current_tvdi_mean,manavgat_2021,0.39191217383160576,0.2874426076649312,0.489945049501139,True,below,,,,,
collar_ci,current_tvdi_mean,bejis_2022,0.4535246676728919,0.3704003063955335,0.54784028845517,False,below,,,,,
collar_ci,current_tvdi_mean,mugla_2021,0.3419889972823709,0.27497206049884454,0.4118937169896129,True,below,,,,,
collar_ci,current_tvdi_mean,evia_2021_extended,0.25032052244717196,0.16833354474462095,0.336071581313099,True,below,,,,,
collar_ci,current_tvdi_mean,montiferru_2021,0.36108879039244424,0.23587814552884007,0.5097937835668815,False,below,,,,,
collar_ci,lst_anomaly_mean,manavgat_2021,0.46154938814277513,0.3979004169784844,0.5174622463514379,False,below,,,,,
collar_ci,lst_anomaly_mean,bejis_2022,0.39230323136558826,0.32444609189406765,0.4604142317544436,True,below,,,,,
