source_frame,target_frame,direction,thermal,thermal_ci_lo,thermal_ci_hi,ci_above_0.5,ci_below_0.5,baseline,delta
full,full,manavgat_2021_to_bejis_2022,0.3258336344280276,0.2631810788078875,0.38782248911003464,False,True,0.33218736692689854,-0.006353732498870945
full,full,manavgat_2021_to_mugla_2021,0.47015987108700774,0.4113105351008842,0.5289842992126763,False,False,0.5079294316533509,-0.037769560566343174
full,full,manavgat_2021_to_evia_2021_extended,0.6125620551965896,0.5608603981291348,0.6584096316585137,True,False,0.5938705512868914,0.018691503909698204
full,full,manavgat_2021_to_montiferru_2021,0.5332600780053577,0.41595924008029694,0.6727074495780081,False,False,0.5779257792439125,-0.044665701238554845
full,full,bejis_2022_to_manavgat_2021,0.44352842964630473,0.3510948100329927,0.558419692809563,False,False,0.42090798972298404,0.02262043992332069
full,full,bejis_2022_to_mugla_2021,0.6184747489978262,0.5600761123583605,0.6770794607106676,True,False,0.5922389908669758,0.02623575813085033
full,full,bejis_2022_to_evia_2021_extended,0.38282143313044736,0.329498876514834,0.4328238614097164,False,True,0.5304607724245198,-0.14763933929407247
full,full,bejis_2022_to_montiferru_2021,0.5937253341599618,0.4804456215234651,0.6941508256126365,False,False,0.553036703232642,0.04068863092731978
full,full,mugla_2021_to_manavgat_2021,0.40099966584697444,0.35191501126026603,0.45277190690017655,False,True,0.52151982986128,-0.12052016401430554
full,full,mugla_2021_to_bejis_2022,0.5831912381443964,0.5338372319094373,0.6332961569619383,True,False,0.4507383379572875,0.13245290018710892
full,full,mugla_2021_to_evia_2021_extended,0.6534051763551312,0.5942115301036296,0.7104878692514971,True,False,0.5997551855443022,0.053649990810828996
full,full,mugla_2021_to_montiferru_2021,0.5312433202707516,0.45340091099351115,0.6065585055554409,False,False,0.6105251713018012,-0.07928185103104957
full,full,evia_2021_extended_to_manavgat_2021,0.6857777670301659,0.5884378289146676,0.7637023411634027,True,False,0.6757598037187197,0.01001796331144622
full,full,evia_2021_extended_to_bejis_2022,0.4480079359958707,0.3919931590289948,0.49746733971310114,False,True,0.3917341118781857,0.056273824117685
