arm,frame,feature,auc,ci_lo,ci_hi,excludes_0.5
2021,full,elevation_mean,0.6114025048859928,0.5293535718404065,0.6919275551137551,True
2021,full,slope_mean,0.6368180084143384,0.5844444276707379,0.6891178842869343,True
2021,full,ndvi_mean,0.6616527794184797,0.6151334266014162,0.7032574058195429,True
2021,full,current_lst_mean,0.324818209196232,0.271196081495244,0.38598937583868786,True
2021,full,current_tvdi_mean,0.3357699119089857,0.2706950899545906,0.40264431844002924,True
2021,full,lst_anomaly_mean,0.4845735569026068,0.39560774187162223,0.5704077484920387,False
2021,full,tvdi_difference_mean,0.49002459954410754,0.40048827639280404,0.5890794192083837,False
2021,collar10,elevation_mean,0.6055696330476426,0.5254440974309419,0.6847656486404172,True
2021,collar10,slope_mean,0.6350429094061244,0.5784591493961377,0.6920606832946884,True
2021,collar10,ndvi_mean,0.6521441147756903,0.6064422780002202,0.6951818388526775,True
2021,collar10,current_lst_mean,0.331812261454304,0.2748596299851671,0.3919526146518676,True
2021,collar10,current_tvdi_mean,0.3419889972823709,0.27497206049884454,0.4118937169896129,True
2021,collar10,lst_anomaly_mean,0.5068925274629883,0.4207953038182639,0.597658116016981,False
2021,collar10,tvdi_difference_mean,0.509446583365179,0.4173353420449669,0.5965709145838799,False
2022,full,elevation_mean,0.2969955275150019,0.2292642698125953,0.3629070809109841,True
2022,full,slope_mean,0.5587076265151024,0.46325245016191224,0.6431133451821183,False
2022,full,ndvi_mean,0.6293553667472134,0.5676239517757997,0.6957323061602371,True
2022,full,current_lst_mean,0.513411737029726,0.4268308970301825,0.5780126085243121,False
2022,full,current_tvdi_mean,0.5687119160887113,0.4464506001838518,0.649853220194729,False
2022,full,lst_anomaly_mean,0.5157997107503256,0.297394345632994,0.6130488525379728,False
2022,full,tvdi_difference_mean,0.4885150299881258,0.31907011746974673,0.5827248982150501,False
2022,collar10,elevation_mean,0.5645261323312363,0.44967871939211496,0.6768245193057458,False
2022,collar10,slope_mean,0.45701354505772873,0.35649178156744876,0.5478051636695617,False
2022,collar10,ndvi_mean,0.5395818722326317,0.4257913553606733,0.6367092092178638,False
2022,collar10,current_lst_mean,0.6015768111542608,0.5157565352173709,0.6869640326254781,True
2022,collar10,current_tvdi_mean,0.6570582939926517,0.5500587855533787,0.7524309491909552,True
2022,collar10,lst_anomaly_mean,0.6391148665174835,0.44645611286169656,0.7709629649665871,False
2022,collar10,tvdi_difference_mean,0.5912812850009945,0.42178701328299234,0.7195217728401316,False
