source_frame,target_frame,direction,thermal,thermal_ci_lo,thermal_ci_hi,ci_above_0.5,ci_below_0.5,baseline,delta
full,full,manavgat_2021_to_bejis_2022,0.3964026711400735,0.3136184030317289,0.47945956526656097,False,True,0.37069117362410486,0.02571149751596863
full,full,manavgat_2021_to_mugla_2021,0.4376617829318566,0.3631132248037876,0.5085528745098027,False,False,0.4656065622633644,-0.027944779331507796
full,full,manavgat_2021_to_evia_2021_extended,0.6540092625033838,0.5787534070104942,0.7213282469265142,True,False,0.6225921429418566,0.03141711956152715
full,full,manavgat_2021_to_montiferru_2021,0.5178084473417569,0.4203183986712817,0.6359604285708431,False,False,0.5339859997501608,-0.016177552408403906
full,full,bejis_2022_to_manavgat_2021,0.3141548720223256,0.256778202287512,0.3739490873402888,False,True,0.2965551309319895,0.01759974109033613
full,full,bejis_2022_to_mugla_2021,0.6184747489978262,0.5600761123583605,0.6770794607106676,True,False,0.5922389643187987,0.02623578467902743
full,full,bejis_2022_to_evia_2021_extended,0.38282143313044736,0.329498876514834,0.4328238614097164,False,True,0.5304606875491712,-0.14763925441872383
full,full,bejis_2022_to_montiferru_2021,0.5937253341599618,0.4804456215234651,0.6941508256126365,False,False,0.5530362405674126,0.04068909359254913
full,full,mugla_2021_to_manavgat_2021,0.3449553227686198,0.30807583912854586,0.38479900545237106,False,True,0.4222591457764537,-0.0773038230078339
full,full,mugla_2021_to_bejis_2022,0.5831912381443964,0.5338372319094373,0.6332961569619383,True,False,0.4507383379572875,0.13245290018710892
full,full,mugla_2021_to_evia_2021_extended,0.6534051763551312,0.5942115301036296,0.7104878692514971,True,False,0.5997551855443022,0.053649990810828996
full,full,mugla_2021_to_montiferru_2021,0.5312433202707516,0.45340091099351115,0.6065585055554409,False,False,0.6105251713018012,-0.07928185103104957
full,full,evia_2021_extended_to_manavgat_2021,0.6768829881850658,0.6212748512863576,0.7337317018797844,True,False,0.7273654778585326,-0.0504824896734668
full,full,evia_2021_extended_to_bejis_2022,0.4480079359958707,0.3919931590289948,0.49746733971310114,False,True,0.39173411187818563,0.056273824117685056
full,full,evia_2021_extended_to_mugla_2021,0.576836486299561,0.5152856244144053,0.631117262910614,True,False,0.5125008330596732,0.06433565323988777
full,full,evia_2021_extended_to_montiferru_2021,0.6467042042389389,0.5518237582209508,0.7460294560468558,True,False,0.5494242131221113,0.09727999111682761
full,full,montiferru_2021_to_manavgat_2021,0.40410656586843297,0.3371196888333936,0.46740749354404315,False,True,0.33794865268497615,0.06615791318345682
full,full,montiferru_2021_to_bejis_2022,0.5483011162010453,0.48105455034341077,0.6264597525846844,False,False,0.6126267823730563,-0.06432566617201108
full,full,montiferru_2021_to_mugla_2021,0.6193519007685069,0.5674150798193466,0.670434180925905,True,False,0.6512032355077549,-0.03185133473924806
full,full,montiferru_2021_to_evia_2021_extended,0.5861929535806533,0.5154164670817092,0.6549902475879068,True,False,0.5564241415820402,0.02976881199861303
full,10km,manavgat_2021_to_bejis_2022,0.4619607763931247,0.3519938660895255,0.570032735062718,False,False,0.4318304013249581,0.030130375068166626
