check,frame,blocking_cells,mean_within,region_a,region_b,auc_a,auc_b,diff,diff_lo,diff_hi,opposite_sides,diff_excludes_0,region,lst_raw,lst_given_ndvi,ndvi_raw,ndvi_given_lst,lst_given_dist
within,full,2.0,0.8959479413911648,,,,,,,,,,,,,,,
within,full,10.0,0.8136216614616488,,,,,,,,,,,,,,,
within,10km,2.0,0.8747733017147435,,,,,,,,,,,,,,,
within,10km,10.0,0.7863220352093183,,,,,,,,,,,,,,,
within,5km,2.0,0.8509011281692122,,,,,,,,,,,,,,,
within,5km,10.0,0.7591560015028487,,,,,,,,,,,,,,,
anomaly_diff,,,,manavgat_2021,bejis_2022,0.4865378448153565,0.39230323136558826,0.09423461344976825,0.003274674167013413,0.1852685215561997,False,True,,,,,,
anomaly_diff,,,,manavgat_2021,mugla_2021,0.4865378448153565,0.5068925274629883,-0.020354682647631794,-0.13247827482195515,0.08901721056002243,True,False,,,,,,
anomaly_diff,,,,manavgat_2021,evia_2021_extended,0.4865378448153565,0.5837584538337627,-0.09722060901840618,-0.2100515137639002,0.020897522940560284,True,False,,,,,,
anomaly_diff,,,,manavgat_2021,montiferru_2021,0.4865378448153565,0.4001135424581277,0.08642430235722881,-0.06797897101103517,0.22176160643135942,False,False,,,,,,
anomaly_diff,,,,bejis_2022,mugla_2021,0.39230323136558826,0.5068925274629883,-0.11458929609740004,-0.21935043795897766,-0.0024455363325306986,True,True,,,,,,
anomaly_diff,,,,bejis_2022,evia_2021_extended,0.39230323136558826,0.5837584538337627,-0.19145522246817442,-0.29459690291395296,-0.08312554872358162,True,True,,,,,,
anomaly_diff,,,,bejis_2022,montiferru_2021,0.39230323136558826,0.4001135424581277,-0.007810311092539435,-0.1596662820811602,0.13503239224161373,False,False,,,,,,
anomaly_diff,,,,mugla_2021,evia_2021_extended,0.5068925274629883,0.5837584538337627,-0.07686592637077438,-0.20163392030956123,0.048936462826543806,False,False,,,,,,
anomaly_diff,,,,mugla_2021,montiferru_2021,0.5068925274629883,0.4001135424581277,0.1067789850048606,-0.065548617696768,0.24871924246240698,True,False,,,,,,
anomaly_diff,,,,evia_2021_extended,montiferru_2021,0.5837584538337627,0.4001135424581277,0.183644911375635,0.012342505860530775,0.3209486597935355,True,True,,,,,,
reciprocal,,,,,,,,,,,,,manavgat_2021,0.5218497268528087,0.5555101229097628,0.5511228263488286,0.5501702255448956,0.45421870777116796
reciprocal,,,,,,,,,,,,,bejis_2022,0.40460495808405017,0.4860092458596515,0.6177739290258731,0.5737938876112179,0.34990157480314954
reciprocal,,,,,,,,,,,,,mugla_2021,0.331812261454304,0.40391777984429117,0.6521441147756903,0.5471749259105374,0.3668289849734565
reciprocal,,,,,,,,,,,,,evia_2021_extended,0.2856660359279603,0.27935180382027125,0.663382936090296,0.3804528985507246,0.3186957916684853
reciprocal,,,,,,,,,,,,,montiferru_2021,0.3763437997164291,0.36755257592082685,0.5817467660844683,0.40460112908695567,0.48489163107103306
