experiment_a,experiment_b,feature,experiment_a_auc,experiment_a_ci_low,experiment_a_ci_high,experiment_a_direction,experiment_b_auc,experiment_b_ci_low,experiment_b_ci_high,experiment_b_direction,point_direction_reversal,reversal_status,step9e_relationship_direction_flag
bejis_2022,manavgat_2021,ndvi_mean,0.5587527905026131,0.4971818582643429,0.619346637555737,higher_values_rank_burned,0.5640055957519895,0.4993498073043752,0.6277578539104064,higher_values_rank_burned,False,no_direction_reversal,False
bejis_2022,manavgat_2021,elevation_mean,0.6432824053164721,0.5583150457861116,0.7290055219147464,higher_values_rank_burned,0.232040982011245,0.17885122027515035,0.2875573502683869,lower_values_rank_burned,True,bootstrap_supported_direction_reversal,True
bejis_2022,manavgat_2021,slope_mean,0.5207878895412608,0.4393212094762653,0.605295958421595,higher_values_rank_burned,0.40018140735508156,0.34027000461620815,0.45885532889780883,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
bejis_2022,manavgat_2021,lst_anomaly_mean,0.4179915266529903,0.36378505075441114,0.4795630994864565,lower_values_rank_burned,0.5087692084924866,0.45983049444070595,0.5603616928801307,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
bejis_2022,manavgat_2021,current_lst_mean,0.47674775069349284,0.4011532923534438,0.5474889652503846,lower_values_rank_burned,0.6646991429203886,0.6081290746892744,0.7187016715657228,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
bejis_2022,manavgat_2021,current_tvdi_mean,0.5172782323463783,0.42900913810605534,0.595208856020078,higher_values_rank_burned,0.6770834881362302,0.6218036548158401,0.7328792708253501,higher_values_rank_burned,False,no_direction_reversal,False
bejis_2022,manavgat_2021,tvdi_difference_mean,0.5124941631737097,0.44315493285236285,0.5829402577021532,higher_values_rank_burned,0.4603939869501002,0.4094766111758704,0.5099353700997888,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
bejis_2022,manavgat_2021,downscaled_lst_mean,0.4836430737466933,0.4003605903074035,0.5598325680030973,lower_values_rank_burned,0.6831504494668662,0.6261141818665329,0.7385569394422626,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
bejis_2022,manavgat_2021,fused_lst_mean,0.4806129105103555,0.40394725127325576,0.5514025133468518,lower_values_rank_burned,0.6662317904467838,0.6103754018797709,0.7205473076501159,higher_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
bejis_2022,mugla_2021,ndvi_mean,0.5587527905026131,0.4971818582643429,0.619346637555737,higher_values_rank_burned,0.6616527794184797,0.6156274522323434,0.7035074327376446,higher_values_rank_burned,False,no_direction_reversal,False
bejis_2022,mugla_2021,elevation_mean,0.6432824053164721,0.5583150457861116,0.7290055219147464,higher_values_rank_burned,0.6114025048859928,0.5319021930545539,0.6904319830630276,higher_values_rank_burned,False,no_direction_reversal,False
bejis_2022,mugla_2021,slope_mean,0.5207878895412608,0.4393212094762653,0.605295958421595,higher_values_rank_burned,0.6368180084143384,0.5819257681498503,0.68641744780742,higher_values_rank_burned,False,no_direction_reversal,False
bejis_2022,mugla_2021,lst_anomaly_mean,0.4179915266529903,0.3637850507544111,0.4795630994864565,lower_values_rank_burned,0.4845735569026068,0.3945167019229775,0.5660732073894761,lower_values_rank_burned,False,no_direction_reversal,False
bejis_2022,mugla_2021,current_lst_mean,0.4767477506934928,0.4011532923534438,0.5474889652503846,lower_values_rank_burned,0.324818209196232,0.2713831954453114,0.3821312123411832,lower_values_rank_burned,False,no_direction_reversal,False
bejis_2022,mugla_2021,current_tvdi_mean,0.5172782323463783,0.4290091381060553,0.595208856020078,higher_values_rank_burned,0.3357699119089857,0.2753568541074757,0.3975750036935558,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
bejis_2022,mugla_2021,tvdi_difference_mean,0.5124941631737097,0.4431549328523628,0.5829402577021532,higher_values_rank_burned,0.4900245995441075,0.3964138391440796,0.5747477756769651,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
bejis_2022,mugla_2021,downscaled_lst_mean,0.4836430737466933,0.4003605903074035,0.5598325680030973,lower_values_rank_burned,0.3069772529643672,0.2532048192658658,0.3658370610145918,lower_values_rank_burned,False,no_direction_reversal,False
bejis_2022,mugla_2021,fused_lst_mean,0.4806129105103555,0.4039472512732557,0.5514025133468518,lower_values_rank_burned,0.3252143462207417,0.2720012810467721,0.3827633213333897,lower_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,mugla_2021,ndvi_mean,0.5640055957519895,0.4993498073043752,0.6277578539104064,higher_values_rank_burned,0.6616527794184797,0.6156274522323434,0.7035074327376446,higher_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,mugla_2021,elevation_mean,0.232040982011245,0.17885122027515035,0.2875573502683869,lower_values_rank_burned,0.6114025048859928,0.5319021930545539,0.6904319830630276,higher_values_rank_burned,True,bootstrap_supported_direction_reversal,True
manavgat_2021,mugla_2021,slope_mean,0.40018140735508156,0.34027000461620815,0.45885532889780883,lower_values_rank_burned,0.6368180084143384,0.5819257681498503,0.68641744780742,higher_values_rank_burned,True,bootstrap_supported_direction_reversal,True
manavgat_2021,mugla_2021,lst_anomaly_mean,0.5087692084924866,0.45983049444070595,0.5603616928801307,higher_values_rank_burned,0.4845735569026068,0.3945167019229775,0.5660732073894761,lower_values_rank_burned,True,point_direction_reversal_interval_uncertain,True
manavgat_2021,mugla_2021,current_lst_mean,0.6646991429203886,0.6081290746892744,0.7187016715657228,higher_values_rank_burned,0.324818209196232,0.2713831954453114,0.3821312123411832,lower_values_rank_burned,True,bootstrap_supported_direction_reversal,True
manavgat_2021,mugla_2021,current_tvdi_mean,0.6770834881362302,0.6218036548158401,0.7328792708253501,higher_values_rank_burned,0.3357699119089857,0.27535685410747573,0.39757500369355586,lower_values_rank_burned,True,bootstrap_supported_direction_reversal,True
manavgat_2021,mugla_2021,tvdi_difference_mean,0.4603939869501002,0.4094766111758704,0.5099353700997888,lower_values_rank_burned,0.49002459954410754,0.3964138391440796,0.5747477756769651,lower_values_rank_burned,False,no_direction_reversal,False
manavgat_2021,mugla_2021,downscaled_lst_mean,0.6831504494668662,0.6261141818665329,0.7385569394422626,higher_values_rank_burned,0.30697725296436723,0.25320481926586585,0.36583706101459185,lower_values_rank_burned,True,bootstrap_supported_direction_reversal,True
manavgat_2021,mugla_2021,fused_lst_mean,0.6662317904467838,0.6103754018797709,0.7205473076501159,higher_values_rank_burned,0.32521434622074175,0.2720012810467721,0.3827633213333897,lower_values_rank_burned,True,bootstrap_supported_direction_reversal,True
