source_experiment_id,target_experiment_id,model_family,adaptation_method,primary_population,target_row_count,target_burned_count,roc_auc,roc_auc_ci_low,roc_auc_ci_high,roc_auc_chance_status,pr_auc,pr_auc_ci_low,pr_auc_ci_high,raw_transfer_status,adapted_minus_raw,adapted_minus_raw_ci_low,adapted_minus_raw_ci_high,adapted_minus_raw_support_status,within_region_target_metric,remaining_transfer_gap,remaining_transfer_gap_ci_low,remaining_transfer_gap_ci_high,residual_gap_status,step9e_shift_categories,step9e_ranking_reversal_value,step9e_ranking_reversal_scope,brier,brier_availability,brier_protocol_source
manavgat_2021,bejis_2022,thermal,regionwise_zscore,burnable_tree_shrub_grass,15190,1100,0.45040221949803216,0.42252294293059467,0.47650311008000257,bootstrap_supported_below_chance,0.059628522204261555,0.052704940513290825,0.06746729225260818,raw_discrimination_not_supported,0.05399954835795867,0.03315925718543829,0.07396519737470862,adaptation_supported,0.9178110845861024,0.4674088650880702,0.441477810411259,0.49604782221736465,residual_gap_remains,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;ranking_reversal_suspected;relationship_direction_instability,True,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
manavgat_2021,bejis_2022,thermal,coral_after_regionwise_zscore,burnable_tree_shrub_grass,15190,1100,0.46684737725014513,0.4407173741413762,0.49146908817589513,bootstrap_supported_below_chance,0.061554744732753935,0.05445276181309215,0.06982386217683322,raw_discrimination_not_supported,0.07044470611007164,0.04714662887922972,0.09216368553764236,adaptation_supported,0.9178110845861024,0.45096370733595725,0.424406517966414,0.4782049214528771,residual_gap_remains,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;ranking_reversal_suspected;relationship_direction_instability,True,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
bejis_2022,mugla_2021,baseline,raw_source_only,burnable_tree_shrub_grass,41730,2911,0.5922389997163681,0.5744073247287705,0.6089843455527543,bootstrap_supported_above_chance,0.09363146544008288,0.08466576674663197,0.10398344291106094,raw_roc_and_pr_supported,,,,,,,,,,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,0.08987774657814872,available,step9_transfer_metrics
bejis_2022,mugla_2021,baseline,regionwise_zscore,burnable_tree_shrub_grass,41730,2911,0.5649705351959404,0.5478618587706711,0.5812175006640783,bootstrap_supported_above_chance,0.08194563197847066,0.07466463459587834,0.09003583260054931,raw_roc_and_pr_supported,-0.027268464520427638,-0.04551338378508227,-0.00957357307824532,adaptation_degraded_transfer,0.7433200295403336,0.17834949434439318,0.1593455476906805,0.1964121533977941,residual_gap_remains,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
bejis_2022,mugla_2021,baseline,coral_after_regionwise_zscore,burnable_tree_shrub_grass,41730,2911,0.5701682656206,0.5533610367253833,0.5864502743013172,bootstrap_supported_above_chance,0.0835876596838193,0.07599486018353271,0.09219397191954122,raw_roc_and_pr_supported,-0.022070734095768096,-0.0390344917815329,-0.005626792130164209,adaptation_degraded_transfer,0.7433200295403336,0.17315176391973364,0.1547066401467052,0.1905089381092415,residual_gap_remains,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
bejis_2022,mugla_2021,thermal,raw_source_only,burnable_tree_shrub_grass,41730,2911,0.6184747489978262,0.6007719815536623,0.6345509090127365,bootstrap_supported_above_chance,0.09253859122869844,0.0845728668968239,0.10156456114018891,raw_roc_and_pr_supported,,,,,,,,,,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,0.07892590354146907,available,step9_transfer_metrics
bejis_2022,mugla_2021,thermal,regionwise_zscore,burnable_tree_shrub_grass,41730,2911,0.5177332840752557,0.5012550025897887,0.5352596621204385,bootstrap_supported_above_chance,0.06882390345452313,0.06352915499477547,0.07465714936827637,raw_roc_and_pr_supported,-0.10074146492257052,-0.11836157935932051,-0.08324667950300661,adaptation_degraded_transfer,0.8589830389802724,0.34124975490501674,0.3230480667273257,0.35957223032802227,residual_gap_remains,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
bejis_2022,mugla_2021,thermal,coral_after_regionwise_zscore,burnable_tree_shrub_grass,41730,2911,0.5066377964680288,0.4893203960731929,0.5241975570805645,chance_level_not_excluded,0.06907238999142255,0.06351290420530657,0.0749279641038294,raw_roc_and_pr_supported,-0.11183695252979742,-0.1306395364622591,-0.09269448092031152,adaptation_degraded_transfer,0.8589830389802724,0.35234524251224364,0.33330748326821,0.3720345024675976,residual_gap_remains,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
mugla_2021,bejis_2022,baseline,raw_source_only,burnable_tree_shrub_grass,15190,1100,0.4507383379572875,0.42501350278665395,0.4751079247909861,bootstrap_supported_below_chance,0.06416586588786181,0.05581853791463857,0.07391345771851175,raw_discrimination_not_supported,,,,,,,,,,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,0.13096665141263947,available,step9_transfer_metrics
mugla_2021,bejis_2022,baseline,regionwise_zscore,burnable_tree_shrub_grass,15190,1100,0.573885605522937,0.5460276410544633,0.5993454157941586,bootstrap_supported_above_chance,0.08524074242544247,0.07429035104465181,0.09728905992715318,raw_discrimination_not_supported,0.12314726756564948,0.08916966127282683,0.15539397159419607,adaptation_supported,0.8616776566230079,0.2877920511000709,0.2609246849799796,0.31904424851331725,residual_gap_remains,large_covariate_shift_detected;distribution_support_mismatch_detected;high_shift;probability_scale_shift;relationship_direction_instability,False,direction_specific,,not_preregistered_no_post_hoc_addition,step10_final_report_protocol
