subset,measure,label,family,expected_sign,published_n,n_directions,n_pairs,n_undefined_directions,seed_offset,spearman_rho,spearman_ci_low,spearman_ci_high,kendall_tau_b,kendall_ci_low,kendall_ci_high,n_valid_replicates,n_degenerate_replicates,ci_excludes_zero
supported_16dir,fraction_inside_weighted_aoa,"Fraction inside weighted AoA","P(x) marginal",+,12,12,6,6,10,0.2098,-0.4783,0.6232,0.1212,-0.3333,0.3871,2000,0,false
supported_16dir,unweighted_fraction_inside_support,"Fraction inside unweighted support","P(x) marginal",+,12,12,6,6,16,0.0839,-0.9209,0.7609,0.0000,-0.8333,0.5667,2000,0,false
supported_16dir,climate_distance,"Climatic distance","P(x) marginal",-,12,12,6,6,12,0.0283,-0.8367,0.8356,0.0318,-0.7081,0.7081,2000,0,false
supported_16dir,geographic_distance_km,"Geographic distance","geographic",-,12,12,6,6,14,-0.1696,-0.8671,0.8393,-0.0953,-0.7918,0.7258,2000,0,false
supported_16dir,regime_dist_log_effn,"Regime distance, log effective-N","P(y) spatial structure",-,20,18,9,0,0,0.0954,-0.7118,0.7710,0.0808,-0.5689,0.6322,2000,0,false
supported_16dir,regime_dist_largest_share,"Regime distance, largest share","P(y) spatial structure",-,20,18,9,0,2,0.0954,-0.7283,0.7878,0.0808,-0.5708,0.6634,2000,0,false
supported_16dir,vector_spearman_supported,"Vector Spearman, supported (>=3 feats)","P(y|x) conditional",+,2,6,3,12,104,0.9562,0.8528,0.9562,0.8944,0.7845,0.8944,1773,227,true

check,measure,published_n,recomputed_n,published_rho,recomputed_rho,published_ci_low,recomputed_ci_low,published_ci_high,recomputed_ci_high,max_abs_diff
reproduction,agree_fraction_supported,18,18,0.5172,0.5172,-0.2743,-0.2743,0.8683,0.8683,4.36e-5
reproduction,cosine_supported,18,18,0.4935,0.4935,-0.2433,-0.2433,0.8706,0.8706,4.48e-5
reproduction,cosine_9,20,20,0.4438,0.4438,-0.2902,-0.2902,0.8033,0.8033,2.81e-5
