experiment_id,population,analysis_eligible_rows,burned_cell_count,component_count,singleton_component_count,largest_component_cells,largest_component_fraction,second_largest_component_cells,second_largest_component_fraction,top3_component_fraction,component_share_hhi,effective_component_count,component_size_median,component_size_q90,component_size_q95,component_size_max,elevation_min,elevation_q05,elevation_median,elevation_q95,elevation_max,dominant_landcover_code,dominant_landcover_label,dominant_landcover_fraction,observed_landcover_class_count,edge_touching_component_count,largest_component_touches_edge
mugla_2021,all_valid_burned,73049,3026,9,0,969,0.3202247191011236,741,0.24487772637144745,0.786186384666226,0.24442472355688896,4.091239157184742,29.0,786.6,877.8,969,0.0,34.974090576171875,539.2785949707031,1521.1829528808594,1974.5574951171875,10,tree_cover,0.8896232650363516,7,2,False
mugla_2021,burnable_tree_shrub_grass_burned,73049,2911,10,1,914,0.31398144967365166,738,0.2535211267605634,0.7870147715561663,0.24664131279958829,4.054470796676968,22.5,755.5999999999999,834.7999999999998,914,1.621870517730713,84.3343620300293,563.0870361328125,1525.7365112304688,1974.5574951171875,10,tree_cover,0.9247681209206459,7,2,False
mugla_2021,burnable_tree_shrub_grass_valid_for_modeling_burned,73049,2911,10,1,914,0.31398144967365166,738,0.2535211267605634,0.7870147715561663,0.24664131279958829,4.054470796676968,22.5,755.5999999999999,834.7999999999998,914,1.621870517730713,84.3343620300293,563.0870361328125,1525.7365112304688,1974.5574951171875,10,tree_cover,0.9247681209206459,7,2,False
mugla_2022_event_relative,all_valid_burned,70025,332,2,0,282,0.8493975903614458,50,0.15060240963855423,1.0,0.7441573523007694,1.343801814103189,166.0,258.8,270.4,282,15.509711265563965,50.046105575561526,187.44332122802734,446.2915939331052,777.0230102539062,10,tree_cover,0.9789156626506024,2,0,False
mugla_2022_event_relative,burnable_tree_shrub_grass_burned,70025,332,2,0,282,0.8493975903614458,50,0.15060240963855423,1.0,0.7441573523007694,1.343801814103189,166.0,258.8,270.4,282,15.509711265563965,50.046105575561526,187.44332122802734,446.2915939331052,777.0230102539062,10,tree_cover,0.9789156626506024,2,0,False
mugla_2022_event_relative,burnable_tree_shrub_grass_valid_for_modeling_burned,70025,331,2,0,282,0.851963746223565,49,0.14803625377643503,1.0,0.747756957311452,1.3373329264571256,165.5,258.7,270.34999999999997,282,15.509711265563965,50.0146484375,187.43203735351562,437.4031677246094,777.0230102539062,10,tree_cover,0.9788519637462235,2,0,False
