direction,positive_count,raw_thermal_roc,raw_thermal_lo,raw_thermal_hi,raw_baseline_roc,raw_baseline_lo,raw_baseline_hi,z_thermal_roc,z_thermal_lo,z_thermal_hi,z_baseline_roc,z_baseline_lo,z_baseline_hi,coral_thermal_roc,coral_thermal_lo,coral_thermal_hi,coral_baseline_roc,coral_baseline_lo,coral_baseline_hi
manavgat_2021_to_bejis_2022,1100,0.3964026711400735,0.3725380745561713,0.4219023718773863,0.3706911736241048,0.3478759510962382,0.3928717868755974,0.4504022194980321,0.4225229429305946,0.4765031100800025,0.3849988708948965,0.3586779133230723,0.408906810346338,0.4668473772501451,0.4407173741413762,0.4914690881758951,0.3853711852377572,0.3583843318579822,0.4094411093977446
bejis_2022_to_manavgat_2021,2935,0.3141548720223256,0.2957115634276732,0.3316060274032394,0.2965551406246244,0.2778560515403546,0.3151136730124929,0.3021117343690753,0.2824061971697872,0.3225276180371704,0.2939419093250126,0.2764482967638535,0.3116551455889798,0.405748507915781,0.3875561420565985,0.4231108792265929,0.308760513601093,0.2910539149040116,0.3264888972950295
manavgat_2021_to_evia_2021_extended,2664,0.6540092625033838,0.6331866094363996,0.6762614442736252,0.6225921429418566,0.6030000337861765,0.643320635046776,0.5291373959880894,0.5044222163870348,0.5531388080036106,0.5297370403264283,0.5071537827865383,0.5538009835747506,0.5043160812304617,0.4805021698125317,0.5281874378330395,0.5519671106892241,0.5284597212493386,0.5758530138552554
evia_2021_extended_to_manavgat_2021,2935,0.6768829881850658,0.658331739396282,0.6972678207893488,0.7273654778585326,0.711462335803398,0.7432359984950387,0.4035196186684801,0.3855432301066274,0.4211768632101874,0.562074532097742,0.5488717007917147,0.5756027706138565,0.4165194290805412,0.3992731300474425,0.4347980832759316,0.5355900081340592,0.5213807886912132,0.551115332470705
manavgat_2021_to_montiferru_2021,539,0.5178084473417569,0.4743159873464208,0.5631970473576339,0.5339859997501608,0.4940821208761321,0.5742148142526914,0.5267545422158888,0.4838754017792664,0.5677190502349229,0.5389258764036107,0.4952715619281043,0.5781470261905801,0.5050120524292238,0.4605513636779775,0.5470284607368491,0.5223013893836836,0.4795032523583147,0.5628548089056619
montiferru_2021_to_manavgat_2021,2935,0.4041065658684329,0.3848550256796376,0.4215717881078867,0.3379486623776111,0.3185648301353469,0.3558916582586734,0.3879846123605133,0.366832593807202,0.4080869683565486,0.4796763183340454,0.4577075675675373,0.5017426912376145,0.4360785072411737,0.4156681483379311,0.4564437651241227,0.5337376777532317,0.5141287003638353,0.5551630436280014
manavgat_2021_to_mugla_2021,2911,0.4376617829318566,0.4177023457506474,0.4561897693947969,0.4656065622633644,0.4462265553538388,0.4849614239882339,0.4267463273627929,0.4082574008576067,0.4438949066036892,0.4612404844585688,0.4438415296311599,0.4784474083980121,0.4174205014173673,0.3980203355084065,0.4362421162776181,0.4753198942508232,0.4574535630398726,0.4940045607331551
mugla_2021_to_manavgat_2021,2935,0.3449553227686198,0.3307362995658431,0.3588812370205733,0.4222591457764537,0.4076925736713044,0.4374351255743125,0.4848188621001691,0.4679376343414603,0.5022423156481952,0.5040034846961049,0.4872088644340844,0.5218849187860792,0.4761153896555548,0.4595307002838855,0.4926148601737378,0.5169926816729333,0.5015540942096405,0.5339962639802747
