direction,positive_count,raw_thermal_roc,raw_thermal_lo,raw_thermal_hi,raw_baseline_roc,raw_baseline_lo,raw_baseline_hi,z_thermal_roc,z_thermal_lo,z_thermal_hi,z_baseline_roc,z_baseline_lo,z_baseline_hi,coral_thermal_roc,coral_thermal_lo,coral_thermal_hi,coral_baseline_roc,coral_baseline_lo,coral_baseline_hi
manavgat_2021_to_bejis_2022,1100,0.3258336344280276,0.3045153867775331,0.3489117706909987,0.3321873346667527,0.3095603068146479,0.3545689315470788,0.4770999741918833,0.4506650532294769,0.5018363136676169,0.4081059423188592,0.3837408969176105,0.4332306280665958,0.5105400025808117,0.4839527646503201,0.5342108088326657,0.4198956384282857,0.3965886645487772,0.4426968213825941
bejis_2022_to_manavgat_2021,784,0.4435284296463047,0.4077646922401823,0.4799414802678467,0.4209078604067977,0.3857126953214686,0.4592227014238835,0.4573382668320535,0.4195795818925588,0.4968199708716592,0.4414940597316637,0.4070723591573225,0.4796967974989678,0.5553095674321841,0.5278017445727373,0.5828440794043487,0.4560562584896076,0.4201339788070818,0.4910682146404256
manavgat_2021_to_evia_2021_extended,2664,0.6125620551965896,0.5931717771385647,0.6314064442015456,0.5938705229951085,0.5742126163802784,0.6126647956508481,0.5422100386488388,0.5198656109154567,0.5645670415104483,0.5309580570923652,0.508960538064011,0.5550535179237919,0.539335536923719,0.5177010989733599,0.5609611055337709,0.5474027973556916,0.52509649495089,0.5709134398431639
evia_2021_extended_to_manavgat_2021,784,0.6857777670301659,0.6529112976117774,0.716409771259136,0.6757598037187198,0.6416022619609535,0.7104881011907781,0.5163020833872151,0.4889308094010603,0.5436458184872212,0.5749988296885136,0.5481204644119825,0.6004423919417186,0.5273082809947622,0.4998776168465104,0.552824569666375,0.5719880902378693,0.5443183463077348,0.599536055628999
manavgat_2021_to_montiferru_2021,539,0.5332600780053577,0.4877918388024024,0.5804071088492808,0.5779257792439125,0.5348215647812358,0.6191237100074252,0.5857355683148345,0.5396243213692403,0.6287897288423395,0.5996011825723262,0.5558081804033332,0.6398365914204734,0.5922411041043032,0.550173988813856,0.6311614882938034,0.5866113935939372,0.5466739380534793,0.6260961974122135
montiferru_2021_to_manavgat_2021,784,0.5670426836522615,0.538574289853729,0.5938111273062514,0.5018395227508553,0.4717994822654587,0.5340309669317703,0.5732315623567823,0.5378175547085827,0.6087978917552037,0.6528743949295641,0.6240789708239366,0.681405358643532,0.6060780030063426,0.5742356517605832,0.6385605092364502,0.6815443107085182,0.6571369558035665,0.7046380558928362
manavgat_2021_to_mugla_2021,2911,0.4701598710870077,0.4514544710147362,0.4880966102855031,0.5079294316533509,0.4906738596515208,0.5265559915021903,0.4305043280209929,0.410934937284168,0.4494361095670697,0.4714366569919505,0.4534788178914489,0.4892235293169706,0.4429622459524184,0.4226297285809868,0.4614536793317533,0.4856767761741509,0.4679021117772,0.5038546010611735
mugla_2021_to_manavgat_2021,784,0.4009996658469744,0.3777613806172705,0.4259298592506575,0.52151982986128,0.496611260083133,0.5480918538080698,0.5589374037240993,0.5305752264513666,0.5865020720511877,0.5762350277719441,0.5476150047509709,0.6055727211040715,0.5604041725677953,0.5350207448580354,0.5869154761066447,0.6013406984936216,0.5774575624049685,0.6264962022372648
