experiment_id,population,analysis_eligible_rows,burned_cell_count,component_count,singleton_component_count,largest_component_cells,largest_component_fraction,second_largest_component_cells,second_largest_component_fraction,top3_component_fraction,component_share_hhi,effective_component_count,component_size_median,component_size_q90,component_size_q95,component_size_max,elevation_min,elevation_q05,elevation_median,elevation_q95,elevation_max,dominant_landcover_code,dominant_landcover_label,dominant_landcover_fraction,observed_landcover_class_count,edge_touching_component_count,largest_component_touches_edge
bejis_2022,all_valid_burned,15759,1103,1,0,1103,1.0,0,0.0,1.0,1.0,1.0,1103.0,1103.0,1103.0,1103,563.2320556640625,689.7145324707031,935.1641235351562,1308.5318847656245,1556.3822021484375,20,shrubland,0.557570262919311,4,0,False
bejis_2022,burnable_tree_shrub_grass_burned,15759,1100,1,0,1100,1.0,0,0.0,1.0,1.0,1.0,1100.0,1100.0,1100.0,1100,563.2320556640625,689.6211334228516,935.1695251464844,1308.8982238769531,1556.3822021484375,20,shrubland,0.5590909090909091,4,0,False
bejis_2022,burnable_tree_shrub_grass_valid_for_modeling_burned,15759,1100,1,0,1100,1.0,0,0.0,1.0,1.0,1.0,1100.0,1100.0,1100.0,1100,563.2320556640625,689.6211334228516,935.1695251464844,1308.8982238769531,1556.3822021484375,20,shrubland,0.5590909090909091,4,0,False
evia_2021_extended,all_valid_burned,22909,2788,2,0,2777,0.9960545193687231,11,0.003945480631276901,1.0,0.9921401723722698,1.0079220939203952,1394.0,2500.4,2638.7,2777,0.0,29.152962779998777,254.09134674072266,650.8449798583985,927.2442626953125,10,tree_cover,0.9006456241032998,8,0,False
evia_2021_extended,burnable_tree_shrub_grass_burned,22909,2664,2,0,2653,0.9958708708708709,11,0.004129129129129129,1.0,0.9917758411564719,1.008292356500576,1332.0,2388.8,2520.9,2653,2.779559850692749,52.81842174530029,262.8730926513672,657.4498168945312,927.2442626953125,10,tree_cover,0.9425675675675675,7,0,False
evia_2021_extended,burnable_tree_shrub_grass_valid_for_modeling_burned,22909,2664,2,0,2653,0.9958708708708709,11,0.004129129129129129,1.0,0.9917758411564719,1.008292356500576,1332.0,2388.8,2520.9,2653,2.779559850692749,52.81842174530029,262.8730926513672,657.4498168945312,927.2442626953125,10,tree_cover,0.9425675675675675,7,0,False
manavgat_2021,all_valid_burned,24150,3046,1,0,3046,1.0,0,0.0,1.0,1.0,1.0,3046.0,3046.0,3046.0,3046,10.189586639404297,43.49101543426514,272.45252990722656,1043.8276062011719,1591.611083984375,10,tree_cover,0.7619829284307288,7,0,False
manavgat_2021,burnable_tree_shrub_grass_burned,24150,2935,2,1,2934,0.9996592844974447,1,0.00034071550255536625,1.0,0.9993188011689966,1.0006816631791642,1467.5,2640.7,2787.35,2934,10.189586639404297,51.541093063354495,286.5644836425781,1050.2953369140616,1591.611083984375,10,tree_cover,0.7908006814310051,6,0,False
manavgat_2021,burnable_tree_shrub_grass_valid_for_modeling_burned,24150,2935,2,1,2934,0.9996592844974447,1,0.00034071550255536625,1.0,0.9993188011689966,1.0006816631791642,1467.5,2640.7,2787.35,2934,10.189586639404297,51.541093063354495,286.5644836425781,1050.2953369140616,1591.611083984375,10,tree_cover,0.7908006814310051,6,0,False
montiferru_2021,all_valid_burned,3173,697,2,0,690,0.9899569583931134,7,0.010043041606886656,1.0,0.980115642155662,1.0202877670645112,348.5,621.7,655.85,690,60.605690002441406,156.37876586914064,348.96966552734375,874.7770751953125,1017.4007568359375,10,tree_cover,0.5911047345767575,5,1,False
montiferru_2021,burnable_tree_shrub_grass_burned,3173,539,8,2,416,0.7717996289424861,55,0.10204081632653061,0.9628942486085343,0.6144581630932016,1.6274501016732674,7.5,163.29999999999995,289.6499999999998,416,60.605690002441406,153.2969207763672,424.2523193359375,905.9338012695312,1017.4007568359375,10,tree_cover,0.764378478664193,4,0,False
montiferru_2021,burnable_tree_shrub_grass_valid_for_modeling_burned,3173,539,8,2,416,0.7717996289424861,55,0.10204081632653061,0.9628942486085343,0.6144581630932016,1.6274501016732674,7.5,163.29999999999995,289.6499999999998,416,60.605690002441406,153.2969207763672,424.2523193359375,905.9338012695312,1017.4007568359375,10,tree_cover,0.764378478664193,4,0,False
mugla_2021,all_valid_burned,73049,3026,9,0,969,0.3202247191011236,741,0.24487772637144745,0.786186384666226,0.24442472355688896,4.091239157184742,29.0,786.6,877.8,969,0.0,34.974090576171875,539.2785949707031,1521.1829528808594,1974.5574951171875,10,tree_cover,0.8896232650363516,7,2,False
mugla_2021,burnable_tree_shrub_grass_burned,73049,2911,10,1,914,0.31398144967365166,738,0.2535211267605634,0.7870147715561663,0.24664131279958829,4.054470796676968,22.5,755.5999999999999,834.7999999999998,914,1.621870517730713,84.3343620300293,563.0870361328125,1525.7365112304688,1974.5574951171875,10,tree_cover,0.9247681209206459,7,2,False
mugla_2021,burnable_tree_shrub_grass_valid_for_modeling_burned,73049,2911,10,1,914,0.31398144967365166,738,0.2535211267605634,0.7870147715561663,0.24664131279958829,4.054470796676968,22.5,755.5999999999999,834.7999999999998,914,1.621870517730713,84.3343620300293,563.0870361328125,1525.7365112304688,1974.5574951171875,10,tree_cover,0.9247681209206459,7,2,False
