feature,population,region_experiment_id,burned_count,unburned_count,burned_mean,unburned_mean,burned_median,unburned_median,raw_auc,inverse_auc,rank_biserial_correlation,mean_difference,median_difference
ndvi_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,0.5284558057175788,0.5012731087573371,0.5439432263374329,0.5117437839508057,0.5640055957519895,0.4359944042480105,0.128011191503979,0.02718269696024167,0.0321994423866272
elevation_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,403.85461699861077,936.5861821601139,286.5644836425781,1003.9690246582031,0.232040982011245,0.767959017988755,-0.53591803597751,-532.7315651615031,-717.404541015625
slope_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,16.651308149779677,18.779500047781816,15.800135612487793,19.137463569641113,0.40018140735508156,0.5998185926449184,-0.19963718528983687,-2.1281918980021395,-3.3373279571533203
lst_anomaly_mean,burnable_tree_shrub_grass,manavgat_2021,2901,17257,-0.28627843026874966,-0.26482665437215785,-0.3801524341106415,-0.3845338821411133,0.5087692084924866,0.4912307915075133,0.01753841698497327,-0.021451775896591807,0.004381448030471802
current_lst_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17516,37.715104896896335,35.28684391989559,37.363975524902344,34.79208755493164,0.6646991429203886,0.33530085707961144,0.3293982858407771,2.428260977000747,2.571887969970703
current_tvdi_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17516,0.6167279790061981,0.47579069656829215,0.6215698719024658,0.4533839225769043,0.6770834881362302,0.3229165118637698,0.3541669762724604,0.140937282437906,0.16818594932556152
tvdi_difference_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17515,-0.04814380695971542,-0.032549167718153166,-0.04921964555978775,-0.03831816464662552,0.4603939869501002,0.5396060130498999,-0.0792120260997996,-0.015594639241562257,-0.010901480913162231
downscaled_lst_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,37.776970536786,35.26580557434679,37.42384338378906,34.695356369018555,0.6831504494668662,0.3168495505331337,0.3663008989337324,2.51116496243921,2.728487014770508
fused_lst_mean,burnable_tree_shrub_grass,manavgat_2021,2935,17576,37.71511174840456,35.273966353646074,37.363975524902344,34.752668380737305,0.6662317904467838,0.333768209553216,0.33246358089356765,2.441145394758486,2.611307144165039
ndvi_mean,burnable_tree_shrub_grass,bejis_2022,1100,14090,0.504075577611273,0.48172885503453344,0.5040808022022247,0.48530609905719757,0.5587527905026131,0.441247209497387,0.11750558100522612,0.02234672257673953,0.01877470314502716
elevation_mean,burnable_tree_shrub_grass,bejis_2022,1100,14090,957.0277708296343,832.952318552422,935.1695251464844,786.5283813476562,0.6432824053164721,0.3567175946835279,0.28656481063294414,124.07545227721232,148.64114379882812
slope_mean,burnable_tree_shrub_grass,bejis_2022,1100,14090,14.280942203998565,13.87613380199379,14.238033771514893,13.619938850402832,0.5207878895412608,0.47921211045873924,0.041575779082521525,0.4048084020047753,0.6180949211120605
lst_anomaly_mean,burnable_tree_shrub_grass,bejis_2022,1005,13205,0.22274552330974748,0.44591564661863103,0.3338882327079773,0.45917192101478577,0.4179915266529903,0.5820084733470097,-0.16401694669401945,-0.22317012330888356,-0.12528368830680847
current_lst_mean,burnable_tree_shrub_grass,bejis_2022,1016,13642,38.9465308170619,39.27747093989796,39.11136817932129,39.2850399017334,0.47674775069349284,0.523252249306507,-0.04650449861301431,-0.33094012283606133,-0.17367172241210938
current_tvdi_mean,burnable_tree_shrub_grass,bejis_2022,1016,13642,0.48526752744361346,0.48003742760668905,0.4889261871576309,0.47085145115852356,0.5172782323463783,0.48272176765362174,0.03455646469275653,0.005230099836924407,0.01807473599910736
tvdi_difference_mean,burnable_tree_shrub_grass,bejis_2022,1016,13642,0.13033358964142058,0.12051225500769762,0.12067684531211853,0.11546671390533447,0.5124941631737097,0.48750583682629023,0.02498832634741932,0.009821334633722964,0.005210131406784058
downscaled_lst_mean,burnable_tree_shrub_grass,bejis_2022,1100,14090,38.973193272677335,39.233355583884006,39.2506217956543,39.193389892578125,0.4836430737466933,0.5163569262533068,-0.032713852506613406,-0.26016231120667044,0.057231903076171875
fused_lst_mean,burnable_tree_shrub_grass,bejis_2022,1100,14090,38.925288975455544,39.22546198312233,39.141714096069336,39.18988609313965,0.4806129105103555,0.5193870894896444,-0.03877417897928903,-0.30017300766678545,-0.0481719970703125
ndvi_mean,all_valid,manavgat_2021,3046,21041,0.5170244236428334,0.4515060703434769,0.5385438203811646,0.4804486930370331,0.6132363890241742,0.3867636109758258,0.22647277804834842,0.06551835329935651,0.05809512734413147
elevation_mean,all_valid,manavgat_2021,3046,21041,391.5885774386375,806.2247661365999,272.45252990722656,840.232177734375,0.33742401376694964,0.6625759862330503,-0.3251519724661007,-414.6361886979624,-567.7796478271484
slope_mean,all_valid,manavgat_2021,3046,21041,16.260615047807935,16.022805035874562,15.528253555297852,17.44833755493164,0.48256031286570134,0.5174396871342987,-0.03487937426859733,0.23781001193337303,-1.920083999633789
lst_anomaly_mean,all_valid,manavgat_2021,3005,19034,-0.2739605993206473,-0.2984331412372045,-0.36865514516830444,-0.4154602736234665,0.5197411952374567,0.48025880476254335,0.03948239047491331,0.024472541916557178,0.04680512845516205
current_lst_mean,all_valid,manavgat_2021,3046,20966,37.6462057643397,34.94164670256273,37.31201362609863,34.56682586669922,0.6570836884455832,0.34291631155441676,0.31416737689116636,2.704559061776969,2.745187759399414
current_tvdi_mean,all_valid,manavgat_2021,3046,20964,0.6148454392043285,0.4619942338789838,0.6201779544353485,0.44200608134269714,0.6715775882815966,0.3284224117184034,0.3431551765631933,0.15285120532534474,0.17817187309265137
tvdi_difference_mean,all_valid,manavgat_2021,3046,20960,-0.046601380802089365,-0.0366628728791121,-0.04711359553039074,-0.0432641189545393,0.4772716329888278,0.5227283670111722,-0.0454567340223444,-0.009938507922977263,-0.0038494765758514404
downscaled_lst_mean,all_valid,manavgat_2021,3046,21041,37.71667980412003,34.91817440408065,37.36603927612305,34.50885772705078,0.6719799832381784,0.32802001676182163,0.34395996647635685,2.7985054000393745,2.8571815490722656
fused_lst_mean,all_valid,manavgat_2021,3046,21041,37.6462123661705,34.92867718411004,37.31201362609863,34.5212516784668,0.658615189061359,0.3413848109386411,0.3172303781227179,2.717535182060459,2.790761947631836
ndvi_mean,all_valid,bejis_2022,1103,14656,0.5035570732377814,0.4734575446387148,0.5039541125297546,0.4794986844062805,0.574128264469272,0.42587173553072805,0.14825652893854402,0.030099528599066616,0.02445542812347412
elevation_mean,all_valid,bejis_2022,1103,14656,956.7014550825519,832.7988315779049,935.1641235351562,794.9306640625,0.6410001801359532,0.35899981986404694,0.28200036027190634,123.90262350464695,140.23345947265625
slope_mean,all_valid,bejis_2022,1103,14656,14.24707264988831,13.485628456702887,14.23777961730957,13.282781600952148,0.5360666881609109,0.46393331183908904,0.07213337632182171,0.7614441931854223,0.9549980163574219
lst_anomaly_mean,all_valid,bejis_2022,1008,13767,0.22392369540016044,0.4520649221073893,0.33598123490810394,0.46139979362487793,0.4160465098850368,0.5839534901149632,-0.16790698022992645,-0.22814122670722886,-0.125418558716774
current_lst_mean,all_valid,bejis_2022,1019,14208,38.96769450995358,39.48025671842399,39.12643814086914,39.464962005615234,0.46158044314554986,0.5384195568544501,-0.07683911370890029,-0.5125622084704062,-0.33852386474609375
current_tvdi_mean,all_valid,bejis_2022,1019,14208,0.4862567155774577,0.4871262743697796,0.48928987979888916,0.4788164794445038,0.5076442441582898,0.49235575584171015,0.015288488316579585,-0.0008695587923219228,0.010473400354385376
tvdi_difference_mean,all_valid,bejis_2022,1019,14208,0.13067394032398708,0.12082438378392918,0.1203998327255249,0.11576136574149132,0.512087103203547,0.487912896796453,0.024174206407094,0.009849556540057897,0.004638466984033585
downscaled_lst_mean,all_valid,bejis_2022,1103,14656,38.98916750135793,39.423945596905256,39.257083892822266,39.3448371887207,0.4681771157066674,0.5318228842933326,-0.06364576858666515,-0.4347780955473226,-0.0877532958984375
fused_lst_mean,all_valid,bejis_2022,1103,14656,38.94489870218396,39.42396170226247,39.15067672729492,39.35341835021973,0.4655090684100923,0.5344909315899076,-0.06898186317981536,-0.47906300007850433,-0.2027416229248047
ndvi_mean,burnable_tree_shrub,manavgat_2021,2297,13241,0.56586140068552,0.5509548065962365,0.5741269588470459,0.5507054328918457,0.557440664060526,0.44255933593947405,0.1148813281210519,0.01490659408928352,0.023421525955200195
elevation_mean,burnable_tree_shrub,manavgat_2021,2297,13241,452.1553583705638,863.1967497891812,344.6873779296875,918.3822631835938,0.25307055889680796,0.746929441103192,-0.4938588822063841,-411.0413914186174,-573.6948852539062
slope_mean,burnable_tree_shrub,manavgat_2021,2297,13241,17.963575169684113,19.631446444822146,16.979076385498047,19.60409927368164,0.4128228546463099,0.58717714535369,-0.17435429070738018,-1.6678712751380331,-2.6250228881835938
lst_anomaly_mean,burnable_tree_shrub,manavgat_2021,2272,12981,-0.32330655669239017,-0.21615008405041256,-0.41405047476291656,-0.3673257827758789,0.4909915738169871,0.5090084261830129,-0.018016852366025793,-0.10715647264197761,-0.04672469198703766
current_lst_mean,burnable_tree_shrub,manavgat_2021,2297,13219,36.65903564323588,35.01527395622841,36.55059814453125,34.68769454956055,0.6317871108271056,0.3682128891728944,0.2635742216542112,1.6437616870074692,1.8629035949707031
current_tvdi_mean,burnable_tree_shrub,manavgat_2021,2297,13219,0.5744478069128234,0.4683991587265723,0.5798513889312744,0.452928751707077,0.6475358535093629,0.35246414649063695,0.29507170701872587,0.1060486481862511,0.1269226372241974
tvdi_difference_mean,burnable_tree_shrub,manavgat_2021,2297,13219,-0.0522294660735969,-0.030454031937222976,-0.05702391639351845,-0.03831816464662552,0.4457783009989809,0.5542216990010191,-0.10844339800203817,-0.021775434136373926,-0.01870575174689293
downscaled_lst_mean,burnable_tree_shrub,manavgat_2021,2297,13241,36.82188285492169,35.074855035367435,36.71596145629883,34.66556930541992,0.6513907952755681,0.3486092047244319,0.3027815905511362,1.7470278195542548,2.0503921508789062
fused_lst_mean,burnable_tree_shrub,manavgat_2021,2297,13241,36.65904439777512,35.010356455516906,36.55059814453125,34.67609786987305,0.6325104899535509,0.3674895100464491,0.2650209799071017,1.6486879422582135,1.8745002746582031
ndvi_mean,burnable_tree_shrub,bejis_2022,1032,11871,0.512576316187317,0.5076733493667356,0.5095118582248688,0.5082311630249023,0.5121272591861216,0.4878727408138783,0.024254518372243128,0.004902966820581445,0.0012806951999664307
elevation_mean,burnable_tree_shrub,bejis_2022,1032,11871,950.5382648438447,810.778345704611,926.341552734375,760.1637573242188,0.6648855689619482,0.3351144310380518,0.32977113792389634,139.75991913923372,166.17779541015625
slope_mean,burnable_tree_shrub,bejis_2022,1032,11871,14.67301252900168,14.980542257775875,14.577993392944336,14.915678977966309,0.4856706118552215,0.5143293881447786,-0.028658776289557042,-0.3075297287741954,-0.33768558502197266
lst_anomaly_mean,burnable_tree_shrub,bejis_2022,938,11029,0.20455875491158965,0.4161618554510532,0.31851987540721893,0.431044340133667,0.4250271768497125,0.5749728231502874,-0.14994564630057505,-0.21160310053946357,-0.11252446472644806
current_lst_mean,burnable_tree_shrub,bejis_2022,949,11430,38.75622638786806,38.574532191125535,38.95310974121094,38.5638427734375,0.5264964640220815,0.4735035359779185,0.052992928044163,0.18169419674252651,0.3892669677734375
current_tvdi_mean,burnable_tree_shrub,bejis_2022,949,11430,0.482077052251478,0.4569499329153134,0.4865586459636688,0.44694657623767853,0.549539553077467,0.45046044692253306,0.0990791061549341,0.025127119336164627,0.039612069725990295
tvdi_difference_mean,burnable_tree_shrub,bejis_2022,949,11430,0.12916566139428323,0.11580823672697316,0.11890839040279388,0.10863419249653816,0.51876419162041,0.4812358083795901,0.037528383240819974,0.013357424667310075,0.010274197906255722
downscaled_lst_mean,burnable_tree_shrub,bejis_2022,1032,11871,38.813813852709394,38.58206193676674,39.09348106384277,38.56133270263672,0.5374332945442578,0.4625667054557422,0.07486658908851562,0.23175191594265243,0.5321483612060547
fused_lst_mean,burnable_tree_shrub,bejis_2022,1032,11871,38.75102305042651,38.53883215957499,38.985618591308594,38.51142883300781,0.5320349441247937,0.46796505587520626,0.06406988824958737,0.21219089085152376,0.47418975830078125
