feature,population,source_experiment_id,target_experiment_id,source_mean_difference,target_mean_difference,source_median_difference,target_median_difference,source_rank_biserial_correlation,target_rank_biserial_correlation,source_raw_auc,target_raw_auc,mean_direction_flip,median_direction_flip,rank_effect_direction_flip,raw_auc_below_0_5_in_one_region_only,relationship_flip_score
current_lst_mean,all_valid,manavgat_2021,bejis_2022,2.704559061776969,-0.5125622084704062,2.745187759399414,-0.33852386474609375,0.31416737689116636,-0.07683911370890029,0.6570836884455832,0.46158044314554986,True,True,True,True,3
current_lst_mean,burnable_tree_shrub,manavgat_2021,bejis_2022,1.6437616870074692,0.18169419674252651,1.8629035949707031,0.3892669677734375,0.2635742216542112,0.052992928044163,0.6317871108271056,0.5264964640220815,False,False,False,False,0
current_lst_mean,burnable_tree_shrub_grass,manavgat_2021,bejis_2022,2.428260977000747,-0.33094012283606133,2.571887969970703,-0.17367172241210938,0.3293982858407771,-0.04650449861301431,0.6646991429203886,0.47674775069349284,True,True,True,True,3
current_tvdi_mean,all_valid,manavgat_2021,bejis_2022,0.15285120532534474,-0.0008695587923219228,0.17817187309265137,0.010473400354385376,0.3431551765631933,0.015288488316579585,0.6715775882815966,0.5076442441582898,True,False,False,False,1
current_tvdi_mean,burnable_tree_shrub,manavgat_2021,bejis_2022,0.1060486481862511,0.025127119336164627,0.1269226372241974,0.039612069725990295,0.29507170701872587,0.0990791061549341,0.6475358535093629,0.549539553077467,False,False,False,False,0
current_tvdi_mean,burnable_tree_shrub_grass,manavgat_2021,bejis_2022,0.140937282437906,0.005230099836924407,0.16818594932556152,0.01807473599910736,0.3541669762724604,0.03455646469275653,0.6770834881362302,0.5172782323463783,False,False,False,False,0
downscaled_lst_mean,all_valid,manavgat_2021,bejis_2022,2.7985054000393745,-0.4347780955473226,2.8571815490722656,-0.0877532958984375,0.34395996647635685,-0.06364576858666515,0.6719799832381784,0.4681771157066674,True,True,True,True,3
downscaled_lst_mean,burnable_tree_shrub,manavgat_2021,bejis_2022,1.7470278195542548,0.23175191594265243,2.0503921508789062,0.5321483612060547,0.3027815905511362,0.07486658908851562,0.6513907952755681,0.5374332945442578,False,False,False,False,0
downscaled_lst_mean,burnable_tree_shrub_grass,manavgat_2021,bejis_2022,2.51116496243921,-0.26016231120667044,2.728487014770508,0.057231903076171875,0.3663008989337324,-0.032713852506613406,0.6831504494668662,0.4836430737466933,True,False,True,True,2
elevation_mean,all_valid,manavgat_2021,bejis_2022,-414.6361886979624,123.90262350464695,-567.7796478271484,140.23345947265625,-0.3251519724661007,0.28200036027190634,0.33742401376694964,0.6410001801359532,True,True,True,True,3
elevation_mean,burnable_tree_shrub,manavgat_2021,bejis_2022,-411.0413914186174,139.75991913923372,-573.6948852539062,166.17779541015625,-0.4938588822063841,0.32977113792389634,0.25307055889680796,0.6648855689619482,True,True,True,True,3
elevation_mean,burnable_tree_shrub_grass,manavgat_2021,bejis_2022,-532.7315651615031,124.07545227721232,-717.404541015625,148.64114379882812,-0.53591803597751,0.28656481063294414,0.232040982011245,0.6432824053164721,True,True,True,True,3
fused_lst_mean,all_valid,manavgat_2021,bejis_2022,2.717535182060459,-0.47906300007850433,2.790761947631836,-0.2027416229248047,0.3172303781227179,-0.06898186317981536,0.658615189061359,0.4655090684100923,True,True,True,True,3
fused_lst_mean,burnable_tree_shrub,manavgat_2021,bejis_2022,1.6486879422582135,0.21219089085152376,1.8745002746582031,0.47418975830078125,0.2650209799071017,0.06406988824958737,0.6325104899535509,0.5320349441247937,False,False,False,False,0
fused_lst_mean,burnable_tree_shrub_grass,manavgat_2021,bejis_2022,2.441145394758486,-0.30017300766678545,2.611307144165039,-0.0481719970703125,0.33246358089356765,-0.03877417897928903,0.6662317904467838,0.4806129105103555,True,True,True,True,3
lst_anomaly_mean,all_valid,manavgat_2021,bejis_2022,0.024472541916557178,-0.22814122670722886,0.04680512845516205,-0.125418558716774,0.03948239047491331,-0.16790698022992645,0.5197411952374567,0.4160465098850368,True,True,True,True,3
lst_anomaly_mean,burnable_tree_shrub,manavgat_2021,bejis_2022,-0.10715647264197761,-0.21160310053946357,-0.04672469198703766,-0.11252446472644806,-0.018016852366025793,-0.14994564630057505,0.4909915738169871,0.4250271768497125,False,False,False,False,0
lst_anomaly_mean,burnable_tree_shrub_grass,manavgat_2021,bejis_2022,-0.021451775896591807,-0.22317012330888356,0.004381448030471802,-0.12528368830680847,0.01753841698497327,-0.16401694669401945,0.5087692084924866,0.4179915266529903,False,True,True,True,2
ndvi_mean,all_valid,manavgat_2021,bejis_2022,0.06551835329935651,0.030099528599066616,0.05809512734413147,0.02445542812347412,0.22647277804834842,0.14825652893854402,0.6132363890241742,0.574128264469272,False,False,False,False,0
ndvi_mean,burnable_tree_shrub,manavgat_2021,bejis_2022,0.01490659408928352,0.004902966820581445,0.023421525955200195,0.0012806951999664307,0.1148813281210519,0.024254518372243128,0.557440664060526,0.5121272591861216,False,False,False,False,0
ndvi_mean,burnable_tree_shrub_grass,manavgat_2021,bejis_2022,0.02718269696024167,0.02234672257673953,0.0321994423866272,0.01877470314502716,0.128011191503979,0.11750558100522612,0.5640055957519895,0.5587527905026131,False,False,False,False,0
slope_mean,all_valid,manavgat_2021,bejis_2022,0.23781001193337303,0.7614441931854223,-1.920083999633789,0.9549980163574219,-0.03487937426859733,0.07213337632182171,0.48256031286570134,0.5360666881609109,False,True,True,True,2
