frame,source_frame,target_rule,source,target,target_n,target_pos,target_retained,target_pos_retained,thermal,baseline,delta
ref_full_full,full,full,manavgat_2021,bejis_2022,15190,1100,1.0,1.0,0.3964026711400735,0.37069117362410486,0.02571149751596863
ref_full_full,full,full,manavgat_2021,mugla_2021,41730,2911,1.0,1.0,0.4376617829318566,0.4656065622633644,-0.027944779331507796
ref_full_full,full,full,manavgat_2021,evia_2021_extended,9298,2664,1.0,1.0,0.6540092625033838,0.6225921429418566,0.03141711956152715
ref_full_full,full,full,manavgat_2021,montiferru_2021,2544,539,1.0,1.0,0.5178084473417569,0.5339859997501608,-0.016177552408403906
ref_full_full,full,full,bejis_2022,manavgat_2021,20511,2935,1.0,1.0,0.3141548720223256,0.2965551309319895,0.01759974109033613
ref_full_full,full,full,bejis_2022,mugla_2021,41730,2911,1.0,1.0,0.6184747489978262,0.5922389908669757,0.02623575813085044
ref_full_full,full,full,bejis_2022,evia_2021_extended,9298,2664,1.0,1.0,0.38282143313044736,0.5304608855916513,-0.1476394524612039
ref_full_full,full,full,bejis_2022,montiferru_2021,2544,539,1.0,1.0,0.5937253341599618,0.5530362405674126,0.04068909359254913
ref_full_full,full,full,mugla_2021,manavgat_2021,20511,2935,1.0,1.0,0.3449553227686198,0.4222591457764537,-0.0773038230078339
ref_full_full,full,full,mugla_2021,bejis_2022,15190,1100,1.0,1.0,0.5831912381443964,0.4507383379572875,0.13245290018710892
ref_full_full,full,full,mugla_2021,evia_2021_extended,9298,2664,1.0,1.0,0.6534051763551312,0.5997551855443022,0.053649990810828996
ref_full_full,full,full,mugla_2021,montiferru_2021,2544,539,1.0,1.0,0.5312433202707516,0.6105251713018012,-0.07928185103104957
ref_full_full,full,full,evia_2021_extended,manavgat_2021,20511,2935,1.0,1.0,0.6768829881850658,0.7273654778585326,-0.0504824896734668
ref_full_full,full,full,evia_2021_extended,bejis_2022,15190,1100,1.0,1.0,0.4480079359958707,0.39173411187818563,0.056273824117685056
ref_full_full,full,full,evia_2021_extended,mugla_2021,41730,2911,1.0,1.0,0.576836486299561,0.5125008330596732,0.06433565323988777
ref_full_full,full,full,evia_2021_extended,montiferru_2021,2544,539,1.0,1.0,0.6467042042389389,0.5494242131221113,0.09727999111682761
ref_full_full,full,full,montiferru_2021,manavgat_2021,20511,2935,1.0,1.0,0.40410656586843297,0.33794866237761106,0.0661579034908219
ref_full_full,full,full,montiferru_2021,bejis_2022,15190,1100,1.0,1.0,0.5483011162010453,0.6126267823730563,-0.06432566617201108
ref_full_full,full,full,montiferru_2021,mugla_2021,41730,2911,1.0,1.0,0.6193519007685069,0.6512032443571474,-0.0318513435886405
ref_full_full,full,full,montiferru_2021,evia_2021_extended,9298,2664,1.0,1.0,0.5861929535806533,0.5564241415820402,0.02976881199861303
ref_10km_10km,10km,10km,manavgat_2021,bejis_2022,5601,1100,0.36872942725477287,1.0,0.4067471874936882,0.4072797964088788,-0.00053260891519058
ref_10km_10km,10km,10km,manavgat_2021,mugla_2021,18674,2911,0.447495806374311,1.0,0.49293586621114155,0.4970422519956101,-0.004106385784468536
ref_10km_10km,10km,10km,manavgat_2021,evia_2021_extended,5232,2664,0.5627016562701657,1.0,0.7041564052370128,0.6923791490088218,0.011777256228191035
ref_10km_10km,10km,10km,manavgat_2021,montiferru_2021,2490,539,0.9787735849056604,1.0,0.6268513649343992,0.5543187500059433,0.07253261492845586
ref_10km_10km,10km,10km,bejis_2022,manavgat_2021,8507,2935,0.4147530593340159,1.0,0.45184064029077,0.3883979706270462,0.0634426696637238
ref_10km_10km,10km,10km,bejis_2022,mugla_2021,18674,2911,0.447495806374311,1.0,0.631353207604753,0.627012044804076,0.004341162800676979
ref_10km_10km,10km,10km,bejis_2022,evia_2021_extended,5232,2664,0.5627016562701657,1.0,0.6020573727933541,0.644599038290627,-0.042541665497272896
ref_10km_10km,10km,10km,bejis_2022,montiferru_2021,2490,539,0.9787735849056604,1.0,0.6694017339473882,0.6040235301053929,0.06537820384199533
ref_10km_10km,10km,10km,mugla_2021,manavgat_2021,8507,2935,0.4147530593340159,1.0,0.4332060032457249,0.5044721661361076,-0.07126616289038268
ref_10km_10km,10km,10km,mugla_2021,bejis_2022,5601,1100,0.36872942725477287,1.0,0.6005303871866858,0.5330886065722767,0.06744178061440909
ref_10km_10km,10km,10km,mugla_2021,evia_2021_extended,5232,2664,0.5627016562701657,1.0,0.7278867652699428,0.6718498580356056,0.056036907234337185
ref_10km_10km,10km,10km,mugla_2021,montiferru_2021,2490,539,0.9787735849056604,1.0,0.5491945997913633,0.5912728261706808,-0.04207822637931746
ref_10km_10km,10km,10km,evia_2021_extended,manavgat_2021,8507,2935,0.4147530593340159,1.0,0.5937672054602534,0.6576786035311627,-0.06391139807090929
ref_10km_10km,10km,10km,evia_2021_extended,bejis_2022,5601,1100,0.36872942725477287,1.0,0.5207648805315991,0.4519953141726081,0.06876956635899101
ref_10km_10km,10km,10km,evia_2021_extended,mugla_2021,18674,2911,0.447495806374311,1.0,0.6369476913190233,0.5287180148460232,0.10822967647300008
ref_10km_10km,10km,10km,evia_2021_extended,montiferru_2021,2490,539,0.9787735849056604,1.0,0.7099218420884966,0.5923240923973149,0.11759774969118175
ref_10km_10km,10km,10km,montiferru_2021,manavgat_2021,8507,2935,0.4147530593340159,1.0,0.49715412056632635,0.4163475872915319,0.08080653327479448
ref_10km_10km,10km,10km,montiferru_2021,bejis_2022,5601,1100,0.36872942725477287,1.0,0.6240372846438166,0.6610190664700774,-0.03698178182626077
ref_10km_10km,10km,10km,montiferru_2021,mugla_2021,18674,2911,0.447495806374311,1.0,0.603046166950845,0.6268908534008333,-0.023844686449988273
ref_10km_10km,10km,10km,montiferru_2021,evia_2021_extended,5232,2664,0.5627016562701657,1.0,0.7000579726923184,0.6554973489844985,0.04456062370781988
a1_trim_srcfull,full,trim,manavgat_2021,bejis_2022,13072,922,0.8605661619486504,0.8381818181818181,0.40250073645590634,0.37796934558081824,0.0245313908750881
a1_trim_srcfull,full,trim,manavgat_2021,mugla_2021,37372,2696,0.8955667385573928,0.9261422191686706,0.4259884283180322,0.4644603537178247,-0.038471925399792495
a1_trim_srcfull,full,trim,manavgat_2021,evia_2021_extended,7800,2405,0.8388900838890084,0.9027777777777778,0.644940664625558,0.6215109470345801,0.023429717590977894
a1_trim_srcfull,full,trim,manavgat_2021,montiferru_2021,1969,405,0.7739779874213837,0.75139146567718,0.5716854535695115,0.5638233715386316,0.007862082030879902
a1_trim_srcfull,full,trim,bejis_2022,manavgat_2021,7196,1185,0.35083613670713276,0.403747870528109,0.271682365733146,0.2560212044444538,0.015661161288692216
a1_trim_srcfull,full,trim,bejis_2022,mugla_2021,20010,1168,0.47951114306254494,0.40123668842322224,0.5425936782515889,0.5322363020968893,0.01035737615469956
