region,k,band,positives,negatives,auc,ci_lo,ci_hi,boot_used
montiferru_2021,1,2-5,373,671,0.7694369973190349,0.6303960051443288,0.886304232559468,1000.0
montiferru_2021,1,5-10,373,742,0.785551693488362,0.682376363946393,0.8707747027653008,1000.0
montiferru_2021,1,10-inf,373,46,0.808252710106073,0.5128603671006036,0.9240518982458317,995.0
montiferru_2021,2,all,234,1647,0.7891478419711572,0.683941675476019,0.8823761156524801,1000.0
montiferru_2021,2,0-0.5,234,0,,,,
montiferru_2021,2,0.5-1,234,0,,,,
montiferru_2021,2,1-2,234,188,0.7066284779050738,0.5551616645554162,0.829961153975317,1000.0
montiferru_2021,2,2-5,234,671,0.7901906836333065,0.6471011089244326,0.9069518863034677,1000.0
montiferru_2021,2,5-10,234,742,0.8063503582371507,0.6936118508883908,0.9005528974350515,1000.0
montiferru_2021,2,10-inf,234,46,0.8337049424005946,0.5032618130307959,0.9434382057895465,999.0
