region,frame,n,positives,prevalence,auc,ap,ap_lift,pauc01,cap10,cap10_norm,cap20,cap20_norm,pauc01_lo,pauc01_hi,ap_lift_lo,ap_lift_hi,cap10_norm_lo,cap10_norm_hi,cap20_norm_lo,cap20_norm_hi
manavgat_2021,region_wide,20511,2935,0.14309394958802593,0.8822236106383259,0.5766666640341844,4.029986352983018,0.697975659528711,0.43509369676320275,0.5595698680018206,0.6729131175468483,0.5911413969335604,0.652033246253312,0.7445662521116123,3.23569867564738,5.065968865877144,0.41768849048328593,0.6964786934078536,0.48312500097773414,0.6929798684384686
manavgat_2021,collar_10km,8507,2935,0.3450099917714823,0.8124878468761426,0.7051503255492114,2.0438547936787534,0.6467281521671197,0.2402044293015332,0.7385139985642497,0.43884156729131174,0.6290380473797558,0.6053767237162926,0.6969102653400926,1.7228238480018574,2.4604051214445457,0.601097172665322,0.8598554989163104,0.47907711023281796,0.7532910301419397
bejis_2022,region_wide,15190,1100,0.07241606319947334,0.8244685786179753,0.2977139932662314,4.111159597921867,0.6507846007042899,0.44545454545454544,0.3838383838383838,0.6345454545454545,0.5431818181818181,0.5961554381210722,0.7242708813086604,2.795113768502228,6.575734838130443,0.2729681069958847,0.5336696232880792,0.40302533436213994,0.6997236040157329
bejis_2022,collar_10km,5601,1100,0.19639350116050705,0.7363163741390801,0.3998919617807371,2.036177161758099,0.584424407547924,0.26454545454545453,0.4021328593645856,0.43727272727272726,0.296590909090909,0.5370967375012738,0.6451699720562748,1.5250828472050637,2.9508726949226602,0.18663721501263503,0.60530212387452,0.18179114647179936,0.47347292501201066
mugla_2021,region_wide,41730,2911,0.06975796788880902,0.7773268638729566,0.30192591578806804,4.328192533780858,0.6396790164984303,0.40742013053933357,0.34157792282148175,0.5809000343524562,0.4761250429405702,0.5967436031552543,0.681497101866165,3.2033370492758704,5.726671696660003,0.255451970174003,0.42790841915688915,0.37640808539863924,0.5669474974815673
mugla_2021,collar_10km,18674,2911,0.15588518796187212,0.7462064922372014,0.4048915491926465,2.597370247208341,0.6083873902365375,0.30504981106149087,0.37867157267017687,0.4778426657506012,0.34730333218825143,0.5715480884341446,0.648549945080872,2.068013812447193,3.290674757166673,0.24158235478904252,0.5165710773192157,0.257956360058165,0.4433021730970116
evia_2021_extended,region_wide,9298,2664,0.28651322865132284,0.8641886346702445,0.7286414735853991,2.5431337918157064,0.6969689768152234,0.29954954954954954,0.8013264998492611,0.5228978978978979,0.6483268013264996,0.6528565766194402,0.7489656139788144,2.0993929309865145,3.157153332223929,0.6547111329958538,0.9046873279129467,0.48824662604423313,0.7845639196337072
evia_2021_extended,collar_10km,5232,2664,0.5091743119266054,0.8701693077423217,0.8516450488640508,1.6726001860573252,0.6764013767825868,0.1828078078078078,0.8590342679127724,0.35848348348348347,0.8220404984423674,0.6053570057870394,0.7557894054722245,1.4214694185236807,2.0684194308486377,0.7058275581346802,0.970697883154406,0.6751865267322827,0.9272473143057796
montiferru_2021,region_wide,2544,539,0.21187106918238993,0.7199006195087421,0.35589795970274696,1.6797855463521119,0.5368574949697331,0.18923933209647495,0.23990024937655857,0.37291280148423006,0.23241895261845386,0.5054312627182694,0.5911204707815627,1.3250450288475806,2.3204936472710784,0.06508842691016745,0.4635182775409344,0.09660206202046036,0.4210340087567457
montiferru_2021,collar_10km,2490,539,0.21646586345381527,0.7173030528086543,0.35820070761626127,1.6547676474294815,0.5351776166704312,0.18552875695732837,0.23628908252178366,0.3692022263450835,0.2337262942080984,0.5045365938448113,0.5891056359958935,1.2965606557453437,2.2836981516553485,0.057650550514050256,0.4550578750889309,0.08480342741935482,0.4182449900271363
