feature,auc_manavgat_2021,auc_manavgat_2021_ci_lo,auc_manavgat_2021_ci_hi,auc_bejis_2022,auc_bejis_2022_ci_lo,auc_bejis_2022_ci_hi,auc_abs_gap,direction_reversal,ci_disjoint,reversal_support,mean_manavgat_2021,mean_bejis_2022,std_manavgat_2021,std_bejis_2022
elevation_mean,0.37410755666893913,0.289502967695546,0.4718852479347013,0.6432824053164721,0.5587377214753149,0.7268527799170467,0.26917484864753294,True,True,bootstrap_supported,860.3555184309437,841.9373743460318,564.3095676101256,363.7110394066882
ndvi_mean,0.6359169371099176,0.5873126830663483,0.6777109347534501,0.5587527905026131,0.49888253822928885,0.6183894783924991,0.07716414660730453,False,False,none,0.5051627882258325,0.4833471167089517,0.11752428661813409,0.10379345281862565
downscaled_lst_mean,0.5520694210669516,0.4597251994113709,0.6352968486533107,0.4836430737466933,0.40529954988027067,0.5526879769554394,0.06842634732025826,True,False,point_reversal,35.62513808688929,39.214515653513544,4.282858667684779,3.093532922140339
lst_anomaly_mean,0.4823529005017941,0.424411135615636,0.5330010353218776,0.4179915266529903,0.3650300259221785,0.4805140101937346,0.0643613738488038,False,False,none,-0.26791384565482546,0.43013197498418854,1.27816898311623,0.7048321126607604
tvdi_difference_mean,0.44939202798988004,0.38462687813567387,0.5070497439085612,0.5124941631737097,0.44593921263931996,0.581454380592297,0.06310213518382962,True,False,point_reversal,-0.03478732254328692,0.12119300790631016,0.11634008545291624,0.13253982217920213
current_lst_mean,0.5382779853437281,0.4499477416778929,0.6194505699396435,0.47674775069349284,0.40462431524859105,0.5397151357215858,0.061530234650235216,True,False,point_reversal,35.63533279415588,39.25453226035086,4.554136471487417,3.355615834341058
fused_lst_mean,0.5400826188182982,0.4518752771819697,0.6211281487530852,0.4806129105103555,0.40727019949162857,0.5444239190329637,0.05946970830794274,True,False,point_reversal,35.623279489700685,39.203724635628355,4.541413937125201,3.299765875258622
current_tvdi_mean,0.5520208992479892,0.4558820860165152,0.636359319375528,0.5172782323463783,0.4290661959964498,0.5983592473084964,0.034742666901610986,False,False,none,0.49601713654458934,0.48039994510118456,0.2396729994060421,0.19368693517354388
slope_mean,0.5309574867864721,0.42561253355514467,0.6476179187320888,0.5207878895412608,0.44244890228424566,0.6145826640799289,0.010169597245211381,False,False,none,18.474968663615453,13.905448432817044,7.865099640657973,6.599740725126611
