config,role,population,rf_profile,direction,source,target,feature_set,variant,roc_auc,pr_auc,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc_ci_lo,pr_auc_ci_hi,target_positive_count,target_negative_count,n_source,n_target
sens_allvalid_rf3bal,sensitivity,all_valid,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,zscore,0.59068433166649,0.04844138100552169,0.5531111832029676,0.6277869682470466,0.0401489237190685,0.059161591615309005,796,23291,15759,24087
sens_allvalid_rf3bal,sensitivity,all_valid,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,coral_after_regionwise_zscore,0.6066463225060083,0.04193865730031661,0.5813339289529104,0.6341818102214153,0.03639498182296649,0.04917094931956018,796,23291,15759,24087
sens_allvalid_rf3bal,sensitivity,all_valid,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,raw,0.49283588955036656,0.032462039944827145,0.4615596805290144,0.5274666175208418,0.02761604290317041,0.03859652415147472,796,23291,15759,24087
sens_allvalid_rf3bal,sensitivity,all_valid,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,zscore,0.5420489377461348,0.03687180539822989,0.5105154162364971,0.5746289031762198,0.03111368516143394,0.04410040251377326,796,23291,15759,24087
sens_allvalid_rf3bal,sensitivity,all_valid,primary,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,coral_after_regionwise_zscore,0.5135456812636451,0.03328559840181251,0.4837362952988861,0.5457277262049078,0.0283929266292853,0.03942898058996145,796,23291,15759,24087
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,raw,0.38561032931227657,0.05151905101861905,0.36337075589631246,0.41207101993985634,0.0455775831528995,0.05761418438684248,1103,14656,24087,15759
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,zscore,0.5574776277579605,0.09091500370618334,0.5308528748004905,0.5854739634566094,0.07642967685973041,0.10808932316017653,1103,14656,24087,15759
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,coral_after_regionwise_zscore,0.5506758871695693,0.07776537772328387,0.5247098046623474,0.5767528573932493,0.06730915966728036,0.0892045940071419,1103,14656,24087,15759
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,raw,0.38579324895976436,0.05154008996328864,0.36550704458849037,0.40576885274607394,0.0457295587584734,0.05765903852383007,1103,14656,24087,15759
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,zscore,0.4639181252400163,0.06388415826847814,0.44036213527791557,0.48800555856991357,0.055991617014484976,0.07310098703681506,1103,14656,24087,15759
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,baseline,coral_after_regionwise_zscore,0.45542194991230744,0.06185648573624326,0.4321710153958538,0.4801082673413438,0.05446614055785654,0.07054889513592219,1103,14656,24087,15759
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,raw,0.40713026944002567,0.02850179896273471,0.3750978931120494,0.4421595376408519,0.02396333719370925,0.03473566701999876,796,23291,15759,24087
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,zscore,0.5684065480034237,0.0433595785495101,0.5313052797099801,0.6045310956057702,0.036289588672206996,0.052426919883555016,796,23291,15759,24087
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,thermal,coral_after_regionwise_zscore,0.5516391476078603,0.03498833602123815,0.5277221153976247,0.5789002967055616,0.0304736416017067,0.04075706748367448,796,23291,15759,24087
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,raw,0.4867846650279434,0.033504804428355336,0.4565097204305215,0.5206432800205264,0.027685136291859872,0.04096282953932561,796,23291,15759,24087
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,zscore,0.5281817561035179,0.03637425545990492,0.4962458875205565,0.5613338557522287,0.030598544250905697,0.044139194927285894,796,23291,15759,24087
sens_allvalid_rf2,sensitivity,all_valid,sensitivity,bejis_2022__manavgat_2021,bejis_2022,manavgat_2021,baseline,coral_after_regionwise_zscore,0.502085531776352,0.03222135680322035,0.47449669088232005,0.5319913410733443,0.027620269924602217,0.03811171321579884,796,23291,15759,24087
sens_burnable_rf2,sensitivity,burnable_tree_shrub_grass,sensitivity,manavgat_2021__bejis_2022,manavgat_2021,bejis_2022,thermal,raw,0.38461020065810697,0.053182009150051154,0.36150795397134877,0.4081244093653851,0.04714873910562716,0.06004497780680549,1100,14090,20511,15190
