feature,auc_manavgat_2021,auc_manavgat_2021_ci95,auc_bejis_2022,auc_bejis_2022_ci95,relation_manavgat_2021,relation_bejis_2022,ci_disjoint,reversal_support
elevation_mean,0.37410755666893913,"[0.289502967695546, 0.4718852479347013]",0.6432824053164721,"[0.5587377214753149, 0.7268527799170467]",negative,positive,True,bootstrap_supported
current_lst_mean,0.5382779853437281,"[0.4499477416778929, 0.6194505699396435]",0.47674775069349284,"[0.40462431524859105, 0.5397151357215858]",positive,negative,False,point_reversal
tvdi_difference_mean,0.44939202798988004,"[0.38462687813567387, 0.5070497439085612]",0.5124941631737097,"[0.44593921263931996, 0.581454380592297]",negative,positive,False,point_reversal
downscaled_lst_mean,0.5520694210669516,"[0.4597251994113709, 0.6352968486533107]",0.4836430737466933,"[0.40529954988027067, 0.5526879769554394]",positive,negative,False,point_reversal
fused_lst_mean,0.5400826188182982,"[0.4518752771819697, 0.6211281487530852]",0.4806129105103555,"[0.40727019949162857, 0.5444239190329637]",positive,negative,False,point_reversal
