feature,source_experiment_id,target_experiment_id,mugla_2021_auc,mugla_2021_ci_low,mugla_2021_ci_high,mugla_2021_direction,mugla_2021_support_status,mugla_2022_event_relative_auc,mugla_2022_event_relative_ci_low,mugla_2022_event_relative_ci_high,mugla_2022_event_relative_direction,mugla_2022_event_relative_support_status,auc_difference_target_minus_source,auc_difference_ci_low,auc_difference_ci_high,point_direction_reversal,reversal_status,step9e_relationship_direction_flag,integrated_interpretation
ndvi_mean,mugla_2021,mugla_2022_event_relative,0.6616527794184797,0.6156274522323434,0.7035074327376446,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.7070883898881133,0.6239060668321695,0.776762839457459,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.045841231759509965,-0.0490928870741078,0.13185569939992728,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
elevation_mean,mugla_2021,mugla_2022_event_relative,0.6114025048859928,0.5319021930545539,0.6904319830630276,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.2959098986333702,0.22975189819642328,0.35471105808188896,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,-0.31727909884333866,-0.41371449656891573,-0.2197893513210792,True,bootstrap_supported_direction_reversal,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
slope_mean,mugla_2021,mugla_2022_event_relative,0.6368180084143384,0.5819257681498503,0.68641744780742,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.5576758912009643,0.46759975711692514,0.6339639252382272,higher_values_rank_burned,interval_includes_chance,-0.07951084975347254,-0.18305320015281848,0.016430151479565135,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
lst_anomaly_mean,mugla_2021,mugla_2022_event_relative,0.4845735569026068,0.3945167019229775,0.5660732073894761,lower_values_rank_burned,interval_includes_chance,0.37985125700760963,0.2486774378382921,0.501544113896062,lower_values_rank_burned,interval_includes_chance,-0.10416614060139685,-0.2566445033280268,0.04231084118749728,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
current_lst_mean,mugla_2021,mugla_2022_event_relative,0.324818209196232,0.2713831954453114,0.3821312123411832,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.5154764696018888,0.4335256637139864,0.5797471145829445,higher_values_rank_burned,interval_includes_chance,0.18825660629026225,0.08360659586398693,0.27211834603164253,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
current_tvdi_mean,mugla_2021,mugla_2022_event_relative,0.3357699119089857,0.27535685410747573,0.39757500369355586,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.5935209870439365,0.4753768486124959,0.6738520239602476,higher_values_rank_burned,interval_includes_chance,0.25476609467553846,0.1202663530055329,0.3588733503638931,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
tvdi_difference_mean,mugla_2021,mugla_2022_event_relative,0.49002459954410754,0.3964138391440796,0.5747477756769651,lower_values_rank_burned,interval_includes_chance,0.39699484562515985,0.26544678016285944,0.5135317807871643,lower_values_rank_burned,interval_includes_chance,-0.09487249464683851,-0.24287829476140257,0.0491978318724782,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
downscaled_lst_mean,mugla_2021,mugla_2022_event_relative,0.30697725296436723,0.25320481926586585,0.36583706101459185,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.5081547829642535,0.4348296032274683,0.5706149116665589,higher_values_rank_burned,interval_includes_chance,0.1996724362365936,0.09708582710930541,0.28336496646690573,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
fused_lst_mean,mugla_2021,mugla_2022_event_relative,0.32521434622074175,0.2720012810467721,0.3827633213333897,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.518634903619651,0.43634961560551583,0.5828947585938846,higher_values_rank_burned,interval_includes_chance,0.1910243048931434,0.08630032934653413,0.27443042683352664,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
