frame,feature,region_a,region_b,auc_a,auc_b,diff,diff_lo_1000,diff_hi_1000,diff_lo,diff_hi,opposite_sides,p_norm,p_pct,p_iut_norm,p_iut_pct,strict_supported_1000,p_norm_holm,p_pct_holm,p_iut_norm_holm,p_iut_pct_holm,p_norm_bh,p_pct_bh,diff_excl0_1000
collar10,ndvi_mean,manavgat_2021,bejis_2022,0.6210308374260758,0.6177739290258731,0.0032569084002026516,-0.07883178887824116,0.08951928894938953,-0.08367742610239104,0.08826907848784177,False,0.9409337288326256,0.9584,1.0,1.0,False,1.0,1.0,1.0,1.0,0.9515060179206326,0.9691685393258427,False
collar10,ndvi_mean,manavgat_2021,mugla_2021,0.6210308374260758,0.6521441147756903,-0.031113277349614554,-0.1013010098593832,0.03588325868212164,-0.10188556362633333,0.03727732414297125,False,0.38068117731519513,0.3736,1.0,1.0,False,1.0,1.0,1.0,1.0,0.7867177662195597,0.7762941176470588,False
collar10,ndvi_mean,manavgat_2021,evia_2021_extended,0.6210308374260758,0.663382936090296,-0.042352098664220184,-0.1476403465308618,0.07095978808139991,-0.14871222812312576,0.06571046735619902,False,0.4402884254064283,0.4333,1.0,1.0,False,1.0,1.0,1.0,1.0,0.792519165731571,0.7762941176470588,False
collar10,ndvi_mean,manavgat_2021,montiferru_2021,0.6210308374260758,0.5817467660844683,0.039284071341607496,-0.09682039980097057,0.1861599779529938,-0.09689350985254844,0.18535356707477765,False,0.5833415775525645,0.5716,1.0,1.0,False,1.0,1.0,1.0,1.0,0.833345110789378,0.8440312499999999,False
collar10,ndvi_mean,bejis_2022,mugla_2021,0.6177739290258731,0.6521441147756903,-0.034370185749817206,-0.11429787184944201,0.04304503706599445,-0.11609771180087697,0.045364863878524384,False,0.4020089609974389,0.4021,1.0,1.0,False,1.0,1.0,1.0,1.0,0.7867177662195597,0.7762941176470588,False
collar10,ndvi_mean,bejis_2022,evia_2021_extended,0.6177739290258731,0.663382936090296,-0.045609007064422835,-0.15375498840871576,0.0737727480582317,-0.1592390660903761,0.07001551164386724,False,0.4339896423760976,0.4268,1.0,1.0,False,1.0,1.0,1.0,1.0,0.792519165731571,0.7762941176470588,False
collar10,ndvi_mean,bejis_2022,montiferru_2021,0.6177739290258731,0.5817467660844683,0.036027162941404844,-0.10394222296334675,0.19147899666164517,-0.10513291007495126,0.18761577229320367,False,0.6282802578553686,0.6002,1.0,1.0,False,1.0,1.0,1.0,1.0,0.8503384426892096,0.8440312499999999,False
collar10,ndvi_mean,mugla_2021,evia_2021_extended,0.6521441147756903,0.663382936090296,-0.01123882131460563,-0.11376925842260528,0.09490070274621006,-0.11413429248408136,0.0926314878059931,False,0.8308107550518191,0.8251,1.0,1.0,False,1.0,1.0,1.0,1.0,0.923123061168688,0.9282375,False
collar10,ndvi_mean,mugla_2021,montiferru_2021,0.6521441147756903,0.5817467660844683,0.07039734869122205,-0.057638206890873636,0.2129434844801321,-0.06206387061151531,0.2130324718808626,False,0.3136051777079878,0.2915,1.0,1.0,False,1.0,1.0,1.0,1.0,0.7867177662195597,0.7762941176470588,False
collar10,ndvi_mean,evia_2021_extended,montiferru_2021,0.663382936090296,0.5817467660844683,0.08163617000582768,-0.06856186888508305,0.24491372573170603,-0.07430846261529732,0.24488951761387912,False,0.3146685989276382,0.2949,1.0,1.0,False,1.0,1.0,1.0,1.0,0.7867177662195597,0.7762941176470588,False
collar10,elevation_mean,manavgat_2021,bejis_2022,0.56090952881355,0.6143085374967179,-0.053399008683167826,-0.206949532207273,0.10503361535810309,-0.20954862609871158,0.10796191582219863,False,0.5092814618438015,0.5126,1.0,1.0,False,1.0,1.0,1.0,1.0,0.8261164955932331,0.8430517241379311,False
collar10,elevation_mean,manavgat_2021,mugla_2021,0.56090952881355,0.6055696330476426,-0.0446601042340925,-0.18180909303000303,0.0951516832543674,-0.17945240728200706,0.09753090695745403,False,0.5271104453575476,0.5433,1.0,1.0,False,1.0,1.0,1.0,1.0,0.8261164955932331,0.8430517241379311,False
