frame,region,feature,auc,lo_1000,hi_1000,lo,hi,sd,p_norm_vs_half,p_pct_vs_half,n_reps
collar10,manavgat_2021,ndvi_mean,0.6210308374260758,0.5632779692307334,0.6740006556283791,0.5645878762799583,0.6723204484497507,0.027263065687255134,9.022256927880365e-06,0.0006,20000
collar10,manavgat_2021,elevation_mean,0.56090952881355,0.44853531275203823,0.6742358211892198,0.45052473438071294,0.6769256697799788,0.0578635546238051,0.29250572660426877,0.2762,20000
collar10,manavgat_2021,slope_mean,0.56874171925485,0.46071192694160995,0.6758179622984649,0.46309739660491206,0.6778542778368756,0.054756051421519604,0.20932714657750673,0.2025,20000
collar10,manavgat_2021,lst_anomaly_mean,0.46154938814277513,0.3979004169784844,0.5174622463514379,0.39857164780554877,0.5197819233070141,0.030876388734089814,0.2130185804484963,0.1949,20000
collar10,manavgat_2021,current_lst_mean,0.3863772445811905,0.289266164429649,0.4783270536361814,0.2920137310477672,0.4752536783684369,0.04667231456543312,0.014913257791600491,0.0101,20000
collar10,manavgat_2021,current_tvdi_mean,0.39191217383160576,0.2874426076649312,0.48994504950113904,0.28993188501933237,0.4879040410215318,0.050233599496460356,0.0314206918541758,0.0255,20000
collar10,manavgat_2021,tvdi_difference_mean,0.43724985607686184,0.36957537181239486,0.5037928152940654,0.369088707712967,0.5042018187991106,0.03481064881237675,0.07144894245098056,0.0668,20000
collar10,manavgat_2021,downscaled_lst_mean,0.3875620281180363,0.2849865400406651,0.4839934124399228,0.28950891187248845,0.4812693224155436,0.04892076222755956,0.021540786425657966,0.0159,20000
collar10,manavgat_2021,fused_lst_mean,0.38639205007147953,0.28930689807449605,0.4783439455331351,0.29201571634907314,0.47527220639355183,0.04667749458594505,0.014937478437319797,0.0101,20000
collar10,bejis_2022,ndvi_mean,0.6177739290258731,0.5507903758976814,0.6792261450012593,0.5493879680058774,0.6830516967218928,0.03415359017165567,0.0005639984151941985,0.0022,20000
collar10,bejis_2022,elevation_mean,0.6143085374967179,0.4957972451076137,0.7223321900740006,0.5013782313849167,0.7213727644455876,0.056364585471477074,0.042558150930464195,0.0473,20000
collar10,bejis_2022,slope_mean,0.6034912443699381,0.5064792216062575,0.6983225787378238,0.5106007860959539,0.6977673216003836,0.048022100901752025,0.031155940815523503,0.0297,20000
