feature,population,source_experiment_id,target_experiment_id,source_row_count,source_valid_count,source_missing_count,source_missing_fraction,source_mean,source_standard_deviation,source_minimum,source_q05,source_q25,source_median,source_q75,source_q95,source_maximum,source_iqr,target_row_count,target_valid_count,target_missing_count,target_missing_fraction,target_mean,target_standard_deviation,target_minimum,target_q05,target_q25,target_median,target_q75,target_q95,target_maximum,target_iqr,mean_difference,smd,robust_median_difference,ks_statistic,wasserstein_distance,normalized_wasserstein_by_source_iqr,normalized_wasserstein_by_target_iqr,psi_source_to_target,psi_target_to_source,fraction_target_below_source_q01,fraction_target_above_source_q99,outside_source_support_fraction,fraction_source_below_target_q01,fraction_source_above_target_q99,outside_target_support_fraction,abs_smd_ge_0_2,abs_smd_ge_0_5,abs_smd_ge_0_8,psi_ge_0_10,psi_ge_0_25,outside_source_support_ge_0_10
ndvi_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,20511,20511,0,0.0,0.5051627882258325,0.11752715163164283,0.11409561336040497,0.2896921783685684,0.42450620234012604,0.5159054398536682,0.5953416526317596,0.6773295700550079,0.8108934164047241,0.1708354502916336,9298,9298,0,0.0,0.5750192709797607,0.11766009818727884,0.19871710240840912,0.37562394589185716,0.4867178723216057,0.5854749977588654,0.6649593412876129,0.7482308626174926,0.8562214374542236,0.17824146896600723,0.0698564827539282,0.5940498189991963,0.3985915657394146,0.22382480704680718,0.06985648275392817,0.40891092940414886,0.3919204838199052,0.3799386428265855,0.42083619018235113,0.0007528500752850075,0.09636480963648096,0.09711765971176597,0.07542294378626103,0.0,0.07542294378626103,True,True,False,True,True,False
elevation_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,20511,20511,0,0.0,860.3555184309437,564.3233243797332,0.3817388415336609,41.04040336608887,319.5789794921875,879.5394287109375,1308.229248046875,1786.7989501953125,2355.298095703125,988.6502685546875,9298,9298,0,0.0,302.49651684170516,240.7165688291402,0.42024606466293335,26.85383310317993,121.10264587402344,238.10914611816406,432.3446578979492,787.383901977539,1669.14404296875,311.2420120239258,-557.8590015892385,-1.285913006611338,-0.9868975947872503,0.5091461240168502,557.8590169005756,0.564263253289874,1.792364126144037,2.476786050400035,1.3956431386196768,0.014411701441170145,0.0,0.014411701441170145,0.006094290868314563,0.4171420213543952,0.4232363122227098,True,True,True,True,True,False
slope_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,20511,20511,0,0.0,18.474968663615453,7.8652913764886385,0.3078221380710602,4.550395488739014,13.33955717086792,18.638898849487305,23.762943267822266,31.293357849121094,48.96288299560547,10.423386096954346,9298,9298,0,0.0,15.80502212836707,7.594055218756933,0.4902598261833191,3.838535451889038,10.534722566604614,15.3801851272583,20.587068557739258,29.265039348602294,48.165409088134766,10.052345991134644,-2.669946535248382,-0.34536203286227013,-0.3183000938095534,0.17447296430995546,2.6706775779516922,0.25621976899925536,0.2656770449710957,0.14347486529228648,0.14418895746612947,0.016670251667025168,0.004302000430200043,0.02097225209722521,0.0060455365413680465,0.016966505777387744,0.02301204231875579,True,False,False,True,False,False
lst_anomaly_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,20511,20158,353,0.017210277412120327,-0.26791384565482546,1.2782006880606869,-5.905601501464844,-2.1082844853401186,-1.0624089241027832,-0.38342034816741943,0.35480646044015884,2.0929248332977295,8.615015983581543,1.417215384542942,9298,9015,283,0.030436653043665305,0.2780079424204002,0.8977930122439008,-5.21474027633667,-0.9907170355319976,-0.2807263284921646,0.21716348826885223,0.7942606806755066,1.818580782413481,6.1327805519104,1.0749870091676712,0.5459217880752256,0.49427165415563573,0.4819703551781514,0.2942610063801569,0.6268534244233278,0.4423134487955694,0.5831265113693613,0.5952843155811807,0.5304961314161948,0.003216860787576262,0.0016638935108153079,0.0048807542983915694,0.07103879353110427,0.03135231669808513,0.1023911102291894,True,False,False,True,True,False
current_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,20511,20451,60,0.00292525961679099,35.63533279415588,4.554247818206214,21.510629653930664,28.69150733947754,32.16554069519043,35.286354064941406,39.01185989379883,43.319766998291016,50.527198791503906,6.846319198608398,9298,9275,23,0.0024736502473650247,36.005324037865485,4.574195819460871,22.526166915893555,29.52720718383789,32.49820518493652,35.31230163574219,39.28939247131348,44.19001388549805,51.3156623840332,6.791187286376953,0.369991243709606,0.08106318557240996,0.0038053247973665943,0.04498116792475236,0.37003368228858324,0.05404855829155575,0.05448733287489608,0.0354779003041823,0.035614722530302415,0.005390835579514825,0.01876010781671159,0.024150943396226414,0.01980343259498313,0.005280915358662168,0.0250843479536453,False,False,False,False,False,False
current_tvdi_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,20511,20451,60,0.00292525961679099,0.49601713654458934,0.2396788593099416,0.0,0.11709146574139595,0.3045341372489929,0.48883330821990967,0.6947340667247772,0.8787487745285034,0.9998425841331482,0.3901999294757843,9298,9275,23,0.0024736502473650247,0.560475281981511,0.21961539757280435,3.4405646147206426e-05,0.20321107208728792,0.3934284746646881,0.5558450222015381,0.7410747706890106,0.90617436170578,1.0,0.3476462960243225,0.06445814543692163,0.2804160165714652,0.1816414089160878,0.12133999339160689,0.06445834949607135,0.16519313466475555,0.18541359489002474,0.11299636311350596,0.10315368464266182,0.0033423180592991914,0.011752021563342319,0.01509433962264151,0.02806708718400078,0.009046012419930565,0.037113099603931346,True,False,False,True,False,False
tvdi_difference_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,20511,20450,61,0.0029740139437375067,-0.03478732254328692,0.11634293005810888,-0.4444761574268341,-0.2184672884643078,-0.10240516811609268,-0.04026435874402523,0.024040429387241602,0.18285264447331429,0.4202253818511963,0.12644559750333428,9298,9273,25,0.002688750268875027,-0.014916387935722199,0.08374030013511746,-0.5760433673858643,-0.16772292852401732,-0.05504777282476425,-0.0056721847504377365,0.03614151105284691,0.10447171032428737,0.3347129821777344,0.09118928387761116,0.01987093460756472,0.19604117444189115,0.3178918174705439,0.19423836640118003,0.038514584026363666,0.3045941083504158,0.4223586630865053,0.30117641934980416,0.2539939002504539,0.004637118516122075,0.00010783996549121104,0.004744958481613285,0.024400977995110023,0.0634718826405868,0.08787286063569683,False,False,False,True,True,False
downscaled_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,20511,20511,0,0.0,35.62513808688929,4.282963075448417,23.358020782470703,29.09154987335205,32.3734073638916,35.26008987426758,38.82696533203125,42.77144241333008,49.44837951660156,6.453557968139648,9298,9152,146,0.015702301570230157,35.97581504191552,4.3507543260137,22.841228485107422,29.983482360839844,32.6326961517334,35.196502685546875,39.12377738952637,43.82496681213379,51.23891830444336,6.491081237792969,0.35067695502623053,0.08123178675914762,-0.00982448219824631,0.04840951473931948,0.3679972876999719,0.05702238819527542,0.056692756448245375,0.04573925509289599,0.04610423882596886,0.00666520979020979,0.026442307692307692,0.03310751748251748,0.017356540392959877,0.003997854809614353,0.02135439520257423,False,False,False,False,False,False
fused_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,20511,20511,0,0.0,35.623279489700685,4.541524647963387,21.817808151245117,28.743157386779785,32.106834411621094,35.25498580932617,38.99820899963379,43.31509017944336,50.527198791503906,6.891374588012695,9298,9298,0,0.0,36.01532486193307,4.554278989309949,22.526166915893555,29.585556316375733,32.53003692626953,35.321706771850586,39.28122043609619,44.18825416564941,51.3156623840332,6.75118350982666,0.39204537223238134,0.08620348513265426,0.009781297912886443,0.04866611506845443,0.3921708646704858,0.05690749496517767,0.05808920230055411,0.03700324577087505,0.036822822337951026,0.006130350613035062,0.018713701871370187,0.02484405248440525,0.01881917020135537,0.005265467310223783,0.024084637511579153,False,False,False,False,False,False
ndvi_mean,all_valid,manavgat_2021,evia_2021_extended,24087,24087,0,0.0,0.45979140700432464,0.16300509710872405,-0.35436251759529114,0.13342710733413696,0.3676487058401108,0.48828625679016113,0.5816831588745117,0.6715366899967193,0.8108934164047241,0.21403445303440094,22906,22906,0,0.0,0.315424345145455,0.25410705253035654,-0.6229902505874634,-0.0028355299145914614,0.11880376189947128,0.2631019204854965,0.5458630621433258,0.7107648551464081,0.8562214374542236,0.4270593002438545,-0.14436706185886966,-0.6762792899329282,-0.7025004850013795,0.38462053924688033,0.15426595350865002,0.7207529036638576,0.36122841352609075,0.9423274248796941,1.0545208059680196,0.0491137693180826,0.04317646031607439,0.09229022963415698,8.303234109685722e-05,0.00024909702329057166,0.0003321293643874289,True,True,False,True,True,False
elevation_mean,all_valid,manavgat_2021,evia_2021_extended,24087,24087,0,0.0,753.7905970506202,604.6410117206109,0.0,0.0,149.37545013427734,711.2427368164062,1255.1886596679688,1775.716650390625,2380.91259765625,1105.8132095336914,22906,22906,0,0.0,124.83685315233146,214.40872778866074,-0.3923496603965759,0.0,0.0,0.0,184.46026611328125,601.5421752929688,1669.14404296875,184.46026611328125,-628.9537438982888,-1.386488099018901,-1.102468198007051,0.5126183947171828,628.9537438982886,0.5687703298132161,3.4096976934427374,2.9596088112050363,1.6150493550195402,0.00039291015454466076,0.0,0.00039291015454466076,0.0,0.42114003404325984,0.42114003404325984,True,True,True,True,True,False
