feature,population,source_experiment_id,target_experiment_id,source_mean_difference,target_mean_difference,source_median_difference,target_median_difference,source_rank_biserial_correlation,target_rank_biserial_correlation,source_raw_auc,target_raw_auc,mean_direction_flip,median_direction_flip,rank_effect_direction_flip,raw_auc_below_0_5_in_one_region_only,relationship_flip_score
current_lst_mean,all_valid,manavgat_2021,evia_2021_extended,2.704559061776969,4.059231375667032,2.745187759399414,6.698306083679199,0.31416737689116636,0.5421114908452163,0.6570836884455832,0.7710557454226081,False,False,False,False,0
current_lst_mean,burnable_tree_shrub,manavgat_2021,evia_2021_extended,1.6437616870074692,-1.7966037024625763,1.8629035949707031,-1.3729782104492188,0.2635742216542112,-0.2122379240635388,0.6317871108271056,0.3938810379682306,True,True,True,True,3
current_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,2.428260977000747,-2.1427696832421432,2.571887969970703,-1.9507160186767578,0.3293982858407771,-0.2469618466530319,0.6646991429203886,0.37651907667348405,True,True,True,True,3
current_tvdi_mean,all_valid,manavgat_2021,evia_2021_extended,0.15285120532534474,0.11962996989158331,0.17817187309265137,0.17963744699954987,0.3431551765631933,0.3327447569051867,0.6715775882815966,0.6663723784525933,False,False,False,False,0
current_tvdi_mean,burnable_tree_shrub,manavgat_2021,evia_2021_extended,0.1060486481862511,-0.08956301165348063,0.1269226372241974,-0.09085506200790405,0.29507170701872587,-0.24594905519480648,0.6475358535093629,0.37702547240259676,True,True,True,True,3
current_tvdi_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,0.140937282437906,-0.10056260517904586,0.16818594932556152,-0.11913865804672241,0.3541669762724604,-0.2762234682526037,0.6770834881362302,0.36188826587369816,True,True,True,True,3
downscaled_lst_mean,all_valid,manavgat_2021,evia_2021_extended,2.7985054000393745,-1.810628012263031,2.8571815490722656,-1.462646484375,0.34395996647635685,-0.19652060216406952,0.6719799832381784,0.40173969891796524,True,True,True,True,3
downscaled_lst_mean,burnable_tree_shrub,manavgat_2021,evia_2021_extended,1.7470278195542548,-1.7527632836632847,2.0503921508789062,-1.1563644409179688,0.3027815905511362,-0.2047886531258658,0.6513907952755681,0.3976056734370671,True,True,True,True,3
downscaled_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,2.51116496243921,-2.1160856390716063,2.728487014770508,-1.6953125,0.3663008989337324,-0.24690177412751702,0.6831504494668662,0.3765491129362415,True,True,True,True,3
elevation_mean,all_valid,manavgat_2021,evia_2021_extended,-414.6361886979624,188.58994660809844,-567.7796478271484,254.09134674072266,-0.3251519724661007,0.6741465846484225,0.33742401376694964,0.8370732923242112,True,True,True,True,3
elevation_mean,burnable_tree_shrub,manavgat_2021,evia_2021_extended,-411.0413914186174,3.1187215279414886,-573.6948852539062,38.06111145019531,-0.4938588822063841,0.07553479705940669,0.25307055889680796,0.5377673985297033,True,True,True,True,3
elevation_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,-532.7315651615031,-0.7248131073642412,-717.404541015625,34.74401092529297,-0.53591803597751,0.08111916182085,0.232040982011245,0.540559580910425,False,True,True,True,2
fused_lst_mean,all_valid,manavgat_2021,evia_2021_extended,2.717535182060459,4.05179658243604,2.790761947631836,6.729367256164551,0.3172303781227179,0.541160132264118,0.658615189061359,0.770580066132059,False,False,False,False,0
fused_lst_mean,burnable_tree_shrub,manavgat_2021,evia_2021_extended,1.6486879422582135,-1.805305187278826,1.8745002746582031,-1.3144721984863281,0.2650209799071017,-0.21253785694915717,0.6325104899535509,0.3937310715254214,True,True,True,True,3
fused_lst_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,2.441145394758486,-2.1574957950073497,2.611307144165039,-1.909219741821289,0.33246358089356765,-0.24867747231705628,0.6662317904467838,0.37566126384147186,True,True,True,True,3
lst_anomaly_mean,all_valid,manavgat_2021,evia_2021_extended,0.024472541916557178,0.16732201095739246,0.04680512845516205,0.05932939052581787,0.03948239047491331,0.09254287884445667,0.5197411952374567,0.5462714394222283,False,False,False,False,0
lst_anomaly_mean,burnable_tree_shrub,manavgat_2021,evia_2021_extended,-0.10715647264197761,0.44596394003254225,-0.04672469198703766,0.4385256711393595,-0.018016852366025793,0.30144908722904407,0.4909915738169871,0.650724543614522,True,True,True,True,3
lst_anomaly_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,-0.021451775896591807,0.4201880026376511,0.004381448030471802,0.4110964499413967,0.01753841698497327,0.2801098871209029,0.5087692084924866,0.6400549435604515,True,False,False,False,1
ndvi_mean,all_valid,manavgat_2021,evia_2021_extended,0.06551835329935651,0.32547432870448795,0.05809512734413147,0.4102158695459366,0.22647277804834842,0.7300698119259925,0.6132363890241742,0.8650349059629963,False,False,False,False,0
ndvi_mean,burnable_tree_shrub,manavgat_2021,evia_2021_extended,0.01490659408928352,0.04321508568554877,0.023421525955200195,0.04572319984436035,0.1148813281210519,0.2372284782247056,0.557440664060526,0.6186142391123528,False,False,False,False,0
ndvi_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,0.02718269696024167,0.05643800983964886,0.0321994423866272,0.06384831666946411,0.128011191503979,0.27829891241859905,0.5640055957519895,0.6391494562092995,False,False,False,False,0
slope_mean,all_valid,manavgat_2021,evia_2021_extended,0.23781001193337303,9.398374480588245,-1.920083999633789,14.813324928283691,-0.03487937426859733,0.6392262516290188,0.48256031286570134,0.8196131258145094,False,True,True,True,2
slope_mean,burnable_tree_shrub,manavgat_2021,evia_2021_extended,-1.6678712751380331,-1.0333314778139844,-2.6250228881835938,-1.1976823806762695,-0.17435429070738018,-0.071718124391839,0.4128228546463099,0.4641409378040805,False,False,False,False,0
slope_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,-2.1281918980021395,-0.6025732016663312,-3.3373279571533203,-0.6033964157104492,-0.19963718528983687,-0.02691380331190396,0.40018140735508156,0.486543098344048,False,False,False,False,0
tvdi_difference_mean,all_valid,manavgat_2021,evia_2021_extended,-0.009938507922977263,-0.09637278398615252,-0.0038494765758514404,-0.04645746113965288,-0.0454567340223444,-0.34621847876240963,0.4772716329888278,0.3268907606187952,False,False,False,False,0
tvdi_difference_mean,burnable_tree_shrub,manavgat_2021,evia_2021_extended,-0.021775434136373926,0.007002745465730058,-0.01870575174689293,0.005034330766648054,-0.10844339800203817,0.04290562243207141,0.4457783009989809,0.5214528112160357,True,True,True,True,3
tvdi_difference_mean,burnable_tree_shrub_grass,manavgat_2021,evia_2021_extended,-0.015594639241562257,0.006039922056641349,-0.010901480913162231,0.004042462212964892,-0.0792120260997996,0.03820635532869021,0.4603939869501002,0.5191031776643451,True,True,True,True,3
