population,skipped,n_positives,n_negatives,auc_baseline,auc_thermal,delta_auc,pr_auc_baseline,pr_auc_thermal,delta_pr_auc,interpretation
all_valid,False,3046,21041,0.8646899654343989,0.9212270992789834,0.056537133844584475,0.4811198951410748,0.6468848334996031,0.16576493835852835,thermal_improves
cropland_dominant,False,54,1206,0.8898409188624776,0.8952843805663042,0.005443461703826591,0.3004090458610867,0.2341982218574159,-0.06621082400367079,neutral
burnable_tree_shrub_grass,False,2935,17576,0.8411807102607785,0.90807357717935,0.06689286691857155,0.4698773243148263,0.6455894428110062,0.17571211849617985,thermal_improves
burnable_tree_shrub,False,2297,13241,0.789261938444845,0.886146600033267,0.0968846615884219,0.36505426885921477,0.5862777397715222,0.22122347091230743,thermal_improves
