experiment_id,landcover_class_code,row_count,population_fraction,burned_count,unburned_count,burned_prevalence
montiferru_2021,10,1759,0.6914308176100629,412,1347,0.23422399090392268
montiferru_2021,20,26,0.010220125786163521,1,25,0.038461538461538464
montiferru_2021,30,636,0.25,91,545,0.1430817610062893
montiferru_2021,40,118,0.046383647798742135,35,83,0.2966101694915254
montiferru_2021,50,2,0.0007861635220125787,0,2,0.0
montiferru_2021,80,3,0.0011792452830188679,0,3,0.0
mugla_2021,10,36039,0.8636232925952552,2692,33347,0.0746968561835789
mugla_2021,20,1852,0.04438054157680326,73,1779,0.03941684665226782
mugla_2021,30,3286,0.0787443086508507,135,3151,0.04108338405356056
mugla_2021,40,313,0.0075005990893841365,4,309,0.012779552715654952
mugla_2021,50,87,0.0020848310567936736,2,85,0.022988505747126436
mugla_2021,60,46,0.0011023244668104482,1,45,0.021739130434782608
mugla_2021,80,100,0.0023963575365444525,4,96,0.04
mugla_2021,90,7,0.00016774502755811168,0,7,0.0
