feature,source_experiment_id,target_experiment_id,manavgat_2021_auc,manavgat_2021_ci_low,manavgat_2021_ci_high,manavgat_2021_direction,manavgat_2021_support_status,evia_2021_extended_auc,evia_2021_extended_ci_low,evia_2021_extended_ci_high,evia_2021_extended_direction,evia_2021_extended_support_status,auc_difference_target_minus_source,auc_difference_ci_low,auc_difference_ci_high,point_direction_reversal,reversal_status,step9e_relationship_direction_flag,integrated_interpretation
ndvi_mean,manavgat_2021,evia_2021_extended,0.5640055957519895,0.4993498073043752,0.6277578539104064,higher_values_rank_burned,interval_includes_chance,0.6391494562092995,0.5749285449525442,0.7006046421340476,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.07281882028374849,-0.015041823436606129,0.16965045738330653,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
elevation_mean,manavgat_2021,evia_2021_extended,0.232040982011245,0.17885122027515035,0.2875573502683869,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.540559580910425,0.4483537317612215,0.626146085073554,higher_values_rank_burned,interval_includes_chance,0.3047394966196552,0.2031759971037008,0.4133411190742479,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
slope_mean,manavgat_2021,evia_2021_extended,0.40018140735508156,0.34027000461620815,0.45885532889780883,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.486543098344048,0.41769297357779134,0.554042450008236,lower_values_rank_burned,interval_includes_chance,0.08462379454407438,-0.008842821447517933,0.17118318820353118,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
lst_anomaly_mean,manavgat_2021,evia_2021_extended,0.5087692084924866,0.45983049444070595,0.5603616928801307,higher_values_rank_burned,interval_includes_chance,0.6400549435604515,0.5671047052827075,0.710175869871198,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.13175537306160048,0.04467903565839385,0.21900558606799103,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
current_lst_mean,manavgat_2021,evia_2021_extended,0.6646991429203886,0.6081290746892744,0.7187016715657228,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.37651907667348405,0.3012790089007279,0.45585820887246337,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,-0.28697572754789824,-0.38285188780509366,-0.19382591084764178,True,bootstrap_supported_direction_reversal,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
current_tvdi_mean,manavgat_2021,evia_2021_extended,0.6770834881362302,0.6218036548158401,0.7328792708253501,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.36188826587369816,0.2852365355103699,0.44217142834635265,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,-0.3144444026186806,-0.41008220640250925,-0.21979016443747582,True,bootstrap_supported_direction_reversal,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
tvdi_difference_mean,manavgat_2021,evia_2021_extended,0.4603939869501002,0.4094766111758704,0.5099353700997888,lower_values_rank_burned,interval_includes_chance,0.5191031776643451,0.4444187250619392,0.5889301019447588,higher_values_rank_burned,interval_includes_chance,0.05820242538459008,-0.024685949877548134,0.14272465233488216,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
downscaled_lst_mean,manavgat_2021,evia_2021_extended,0.6831504494668662,0.6261141818665329,0.7385569394422626,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.3765491129362415,0.29685914048213763,0.4593307010841324,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,-0.3052891061435876,-0.4047497760781444,-0.20779436432664306,True,bootstrap_supported_direction_reversal,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
fused_lst_mean,manavgat_2021,evia_2021_extended,0.6662317904467838,0.6103754018797709,0.7205473076501159,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.37566126384147186,0.30015191434549077,0.4556221037116367,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,-0.2893312256116395,-0.38504297479942334,-0.1957365109213196,True,bootstrap_supported_direction_reversal,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
