direction,model_family,adaptation_method,metric,raw_gap_mean,adaptation_effect_mean,remaining_gap_mean,recovered_fraction_ci_low,recovered_fraction_ci_high,remaining_fraction_ci_low,remaining_fraction_ci_high,n_replicates,n_replicates_ratio_degenerate
bejis_2022_to_evia_2021_extended,baseline,regionwise_zscore,roc_auc,0.2286362867188902,0.05334398435367519,0.17529230236521504,0.1379242184695612,0.3174676455893563,0.6825323544106436,0.8620757815304388,1000,0
bejis_2022_to_evia_2021_extended,baseline,coral_after_regionwise_zscore,roc_auc,0.2286362867188902,0.06774601198321431,0.16089027473567588,0.20241338981441995,0.38081399857072984,0.6191860014292702,0.7975866101855801,1000,0
bejis_2022_to_evia_2021_extended,baseline,regionwise_zscore,pr_auc,0.23462337472130668,0.045646390613066294,0.18897698410824038,0.12219347985758942,0.2619116524677832,0.7380883475322169,0.8778065201424106,1000,0
bejis_2022_to_evia_2021_extended,baseline,coral_after_regionwise_zscore,pr_auc,0.23462337472130668,0.053742864103139755,0.18088051061816693,0.15902617028659452,0.3015675215691595,0.6984324784308404,0.8409738297134055,1000,0
bejis_2022_to_evia_2021_extended,thermal,regionwise_zscore,roc_auc,0.5303234470032254,0.1486766455594327,0.38164680144379276,0.23437906723806629,0.32171446302306717,0.6782855369769327,0.7656209327619339,1000,0
bejis_2022_to_evia_2021_extended,thermal,coral_after_regionwise_zscore,roc_auc,0.5303234470032254,0.1163842371301182,0.41393920987310723,0.17872124634532507,0.26020233816343435,0.7397976618365656,0.8212787536546748,1000,0
bejis_2022_to_evia_2021_extended,thermal,regionwise_zscore,pr_auc,0.5914208805396657,0.0653572117976446,0.526063668742021,0.08607754536997335,0.1344052471203947,0.8655947528796052,0.9139224546300267,1000,0
bejis_2022_to_evia_2021_extended,thermal,coral_after_regionwise_zscore,pr_auc,0.5914208805396657,0.049347801569723106,0.5420730789699426,0.06333040768542998,0.10468459591002059,0.8953154040899794,0.9366695923145701,1000,0
bejis_2022_to_manavgat_2021,baseline,regionwise_zscore,roc_auc,0.5450504144485347,-0.002430087919709371,0.5474805023682441,-0.021767289576096655,0.01310354858169895,0.986896451418301,1.0217672895760967,1000,0
bejis_2022_to_manavgat_2021,baseline,coral_after_regionwise_zscore,roc_auc,0.5450504144485347,0.012553569463924805,0.5324968449846099,0.002001251709596631,0.044074073642315595,0.9559259263576844,0.9979987482904032,1000,0
bejis_2022_to_manavgat_2021,baseline,regionwise_zscore,pr_auc,0.3743414050534118,-0.00018237801014279879,0.3745237830635546,-0.0052196801429746035,0.004623925106316423,0.9953760748936835,1.0052196801429745,1000,0
bejis_2022_to_manavgat_2021,baseline,coral_after_regionwise_zscore,pr_auc,0.3743414050534118,0.0013383222970761647,0.37300308275633565,-0.0027831863532492176,0.009723293874336606,0.9902767061256634,1.0027831863532493,1000,0
bejis_2022_to_manavgat_2021,thermal,regionwise_zscore,roc_auc,0.5940760645456128,-0.012012513261043129,0.6060885778066557,-0.044204322766269635,0.004614535609949439,0.9953854643900506,1.0442043227662696,1000,0
bejis_2022_to_manavgat_2021,thermal,coral_after_regionwise_zscore,roc_auc,0.5940760645456128,0.0917498333436943,0.5023262312019184,0.12522003765919223,0.18205801711811284,0.8179419828818872,0.8747799623408078,1000,0
bejis_2022_to_manavgat_2021,thermal,regionwise_zscore,pr_auc,0.5477348401878828,0.004614222826898613,0.5431206173609842,0.0013896531350802179,0.015989679073356442,0.9840103209266434,0.9986103468649199,1000,0
bejis_2022_to_manavgat_2021,thermal,coral_after_regionwise_zscore,pr_auc,0.5477348401878828,0.0182860453162153,0.5294487948716676,0.025264806381546778,0.04122340794170297,0.958776592058297,0.9747351936184532,1000,0
bejis_2022_to_mugla_2021,baseline,regionwise_zscore,roc_auc,0.15094606008984945,-0.027470456501989423,0.17841651659183888,-0.3133514266013292,-0.0628942004402543,1.0628942004402544,1.3133514266013293,1000,0
bejis_2022_to_mugla_2021,baseline,coral_after_regionwise_zscore,roc_auc,0.15094606008984945,-0.02222636135210487,0.17317242144195433,-0.2750026850431784,-0.037032773076885905,1.0370327730768858,1.2750026850431784,1000,0
bejis_2022_to_mugla_2021,baseline,regionwise_zscore,pr_auc,0.13104209664185404,-0.011866358472572017,0.14290845511442607,-0.15330084535782887,-0.034564040302487935,1.0345640403024878,1.1533008453578286,1000,0
bejis_2022_to_mugla_2021,baseline,coral_after_regionwise_zscore,pr_auc,0.13104209664185404,-0.010174687032531722,0.14121678367438578,-0.13413742554744745,-0.02547379692082263,1.0254737969208225,1.1341374255474475,1000,0
bejis_2022_to_mugla_2021,thermal,regionwise_zscore,roc_auc,0.24045738935723404,-0.10086260204210645,0.3413199913993405,-0.510697662674139,-0.3370060319754332,1.3370060319754333,1.510697662674139,1000,0
bejis_2022_to_mugla_2021,thermal,coral_after_regionwise_zscore,roc_auc,0.24045738935723404,-0.11208296920116212,0.35254035855839616,-0.5635212711062884,-0.3728601149559719,1.3728601149559718,1.5635212711062882,1000,0
bejis_2022_to_mugla_2021,thermal,regionwise_zscore,pr_auc,0.35368673806927337,-0.02373169929884979,0.37741843736812314,-0.0844038976288765,-0.050922903026108725,1.0509229030261087,1.0844038976288766,1000,0
bejis_2022_to_mugla_2021,thermal,coral_after_regionwise_zscore,pr_auc,0.35368673806927337,-0.02356283104947363,0.37724956911874696,-0.08307489350979669,-0.05180816351642246,1.0518081635164227,1.0830748935097967,1000,0
evia_2021_extended_to_bejis_2022,baseline,regionwise_zscore,roc_auc,0.4703925066441164,0.08951577395170915,0.38087673269240724,0.13853084982655967,0.24781589575779572,0.7521841042422043,0.8614691501734404,1000,0
evia_2021_extended_to_bejis_2022,baseline,coral_after_regionwise_zscore,roc_auc,0.4703925066441164,0.09463540753144072,0.37575709911267574,0.1482064896064361,0.25743378854931076,0.7425662114506892,0.8517935103935639,1000,0
evia_2021_extended_to_bejis_2022,baseline,regionwise_zscore,pr_auc,0.2507596351024043,0.01579866794688766,0.23496096715551662,0.04040289568402136,0.09431758195533463,0.9056824180446653,0.9595971043159787,1000,0
evia_2021_extended_to_bejis_2022,baseline,coral_after_regionwise_zscore,pr_auc,0.2507596351024043,0.017034169597915764,0.2337254655044885,0.04403727794004712,0.1036020678791933,0.8963979321208068,0.9559627220599529,1000,0
