source_experiment_id,target_experiment_id,direction,model_family,adaptation_method,metric,within_target_auc,raw_auc,adapted_auc,raw_gap,adaptation_effect,remaining_gap,recovered_fraction,recovered_fraction_ci_low,recovered_fraction_ci_high,remaining_fraction,remaining_fraction_ci_low,remaining_fraction_ci_high,adaptation_effect_ci_low,adaptation_effect_ci_high,adapted_auc_ci_low,adapted_auc_ci_high,chance_level,relative_improvement_supported,adapted_above_chance,recovery_status,fraction_interpretability_status,identity_residual,n_replicates,n_replicates_ratio_degenerate,n_replicates_ratio_valid,source_pair_dir
bejis_2022,evia_2021_extended,bejis_2022_to_evia_2021_extended,baseline,regionwise_zscore,roc_auc,0.7589523122760988,0.5304610270505659,0.5842327856949503,0.22849128522553297,0.05377175864438444,0.17471952658114853,0.23533395854160857,0.1379242184695612,0.3174676455893563,0.7646660414583915,0.6825323544106436,0.8620757815304388,0.03060906716145173,0.07535822286930448,0.5626402508723732,0.6055160420776279,0.5,True,True,supported_recovery_above_chance,interpretable,0.0,1000,0,1000,bejis_2022__evia_2021_extended
bejis_2022,evia_2021_extended,bejis_2022_to_evia_2021_extended,baseline,coral_after_regionwise_zscore,roc_auc,0.7589523122760988,0.5304610270505659,0.5985424016871861,0.22849128522553297,0.06808137463662023,0.16040991058891274,0.2979604870681187,0.20241338981441995,0.38081399857072984,0.7020395129318814,0.6191860014292702,0.7975866101855801,0.044151968614841414,0.09060884305465433,0.5781425895087429,0.6194897599294047,0.5,True,True,supported_recovery_above_chance,interpretable,0.0,1000,0,1000,bejis_2022__evia_2021_extended
bejis_2022,evia_2021_extended,bejis_2022_to_evia_2021_extended,baseline,regionwise_zscore,pr_auc,0.5159513545668625,0.2822618576116462,0.3280115979933249,0.2336894969552163,0.04574974038167873,0.18793975657353756,0.19577148728445465,0.12219347985758942,0.2619116524677832,0.8042285127155454,0.7380883475322169,0.8778065201424106,0.027841355689430126,0.06279323056757051,0.30322895254420135,0.35276463896058025,0.28651322865132284,True,True,supported_recovery_above_chance,interpretable,0.0,1000,0,1000,bejis_2022__evia_2021_extended
bejis_2022,evia_2021_extended,bejis_2022_to_evia_2021_extended,baseline,coral_after_regionwise_zscore,pr_auc,0.5159513545668625,0.2822618576116462,0.3359096391753359,0.2336894969552163,0.05364778156368971,0.18004171539152658,0.22956864669861757,0.15902617028659452,0.3015675215691595,0.7704313533013825,0.6984324784308404,0.8409738297134055,0.03584148665574411,0.0715156691964701,0.31081972456991963,0.36145894989952043,0.28651322865132284,True,True,supported_recovery_above_chance,interpretable,0.0,1000,0,1000,bejis_2022__evia_2021_extended
bejis_2022,evia_2021_extended,bejis_2022_to_evia_2021_extended,thermal,regionwise_zscore,roc_auc,0.9122372202621674,0.3828214331304473,0.5315998278954264,0.52941578713172,0.14877839476497906,0.380637392366741,0.28102372158381184,0.23437906723806629,0.32171446302306717,0.7189762784161883,0.6782855369769327,0.7656209327619339,0.12113734875853678,0.17361102541153078,0.5092765451292832,0.5508467833166735,0.5,True,True,supported_recovery_above_chance,interpretable,0.0,1000,0,1000,bejis_2022__evia_2021_extended
bejis_2022,evia_2021_extended,bejis_2022_to_evia_2021_extended,thermal,coral_after_regionwise_zscore,roc_auc,0.9122372202621674,0.3828214331304473,0.4990973789586994,0.52941578713172,0.11627594582825207,0.413139841303468,0.21963067338474046,0.17872124634532507,0.26020233816343435,0.7803693266152597,0.7397976618365656,0.8212787536546748,0.09229262728898113,0.1404449416046006,0.4789378316382308,0.5178399231307814,0.5,True,False,supported_relative_recovery_but_chance_not_excluded,interpretable,2.220446049250313e-16,1000,0,1000,bejis_2022__evia_2021_extended
bejis_2022,evia_2021_extended,bejis_2022_to_evia_2021_extended,thermal,regionwise_zscore,pr_auc,0.8163670997686907,0.2257835213181088,0.2909285420233045,0.590583578450582,0.06514502070519568,0.5254385577453862,0.11030618371764767,0.08607754536997335,0.1344052471203947,0.8896938162823521,0.8655947528796052,0.9139224546300267,0.05115628522955206,0.08000283948459733,0.2699746024728818,0.3133874540278703,0.28651322865132284,True,False,supported_relative_recovery_but_chance_not_excluded,interpretable,2.220446049250313e-16,1000,0,1000,bejis_2022__evia_2021_extended
bejis_2022,evia_2021_extended,bejis_2022_to_evia_2021_extended,thermal,coral_after_regionwise_zscore,pr_auc,0.8163670997686907,0.2257835213181088,0.2748417434786117,0.590583578450582,0.04905822216050287,0.541525356290079,0.08306736582349436,0.06333040768542998,0.10468459591002059,0.9169326341765055,0.8953154040899794,0.9366695923145701,0.037309644777505716,0.06168612792216902,0.2558501076535456,0.29640353777717726,0.28651322865132284,True,False,supported_relative_recovery_but_chance_not_excluded,interpretable,1.1102230246251565e-16,1000,0,1000,bejis_2022__evia_2021_extended
bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,baseline,regionwise_zscore,roc_auc,0.8411807102607785,0.2965551309319895,0.2939418899397428,0.544625579328789,-0.0026132409922466904,0.5472388203210357,-0.00479823403716608,-0.021767289576096655,0.01310354858169895,1.0047982340371662,0.986896451418301,1.0217672895760967,-0.011779739696120404,0.007186992924917216,0.2764482967638535,0.31165514558897983,0.5,False,False,negative_recovery,interpretable,0.0,1000,0,1000,manavgat_2021__bejis_2022
bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,baseline,coral_after_regionwise_zscore,roc_auc,0.8411807102607785,0.2965551309319895,0.308760513601093,0.544625579328789,0.012205382669103537,0.5324201966596854,0.022410593869178482,0.002001251709596631,0.044074073642315595,0.9775894061308216,0.9559259263576844,0.9979987482904032,0.0011304508466121064,0.024221999337710704,0.29105391490401167,0.32648889729502956,0.5,True,False,supported_relative_recovery_but_chance_not_excluded,interpretable,0.0,1000,0,1000,manavgat_2021__bejis_2022
