population,component_id,size_cells,min_row,min_col,max_row,max_col,touches_edge,approximate_area_km2,burn_date_min,burn_date_max,burn_date_span,burn_date_unique_valid_count
all_valid_burned,1,282,123,208,136,239,False,70.5,172.0,177.0,5.0,6
all_valid_burned,2,50,159,97,166,106,False,12.5,193.0,198.0,5.0,6
burnable_tree_shrub_grass_burned,1,282,123,208,136,239,False,70.5,172.0,177.0,5.0,6
burnable_tree_shrub_grass_burned,2,50,159,97,166,106,False,12.5,193.0,198.0,5.0,6
burnable_tree_shrub_grass_valid_for_modeling_burned,1,282,123,208,136,239,False,70.5,172.0,177.0,5.0,6
burnable_tree_shrub_grass_valid_for_modeling_burned,2,49,159,97,166,106,False,12.25,193.0,198.0,5.0,6
