feature,a,b,auc_a,auc_b,point_reversal,strict_supported,pair_dir,pair_reversal_status,auc_difference_bejis_minus_manavgat,auc_difference_ci_low,auc_difference_ci_high,auc_difference_target_minus_source
current_tvdi_mean,manavgat_2021,bejis_2022,0.5520208992479892,0.5172782323463783,False,False,manavgat_2021__bejis_2022,no_direction_reversal,-0.0347092652461783,-0.1593800886357545,0.0913157460066075,
current_tvdi_mean,manavgat_2021,mugla_2021,0.5520208992479892,0.3357699119089857,True,False,manavgat_2021__mugla_2021,point_direction_reversal_interval_uncertain,,-0.3224957174501582,-0.1040822440914557,-0.2149865239980364
current_tvdi_mean,manavgat_2021,evia_2021_extended,0.5520208992479892,0.3618882658736981,True,False,manavgat_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,-0.3079555843429934,-0.0703627402771393,-0.1884578744718354
current_tvdi_mean,manavgat_2021,montiferru_2021,0.5520208992479892,0.3555286181577596,True,False,montiferru_2021__manavgat_2021,point_direction_reversal_interval_uncertain,,0.0178068009252829,0.349862838904127,0.1935399642069612
current_tvdi_mean,bejis_2022,mugla_2021,0.5172782323463783,0.3357699119089857,True,False,bejis_2022__mugla_2021,point_direction_reversal_interval_uncertain,,-0.2844245692631467,-0.0813454196435595,-0.1802772587518581
current_tvdi_mean,bejis_2022,evia_2021_extended,0.5172782323463783,0.3618882658736981,True,False,bejis_2022__evia_2021_extended,point_direction_reversal_interval_uncertain,,-0.2666259071858468,-0.0414118846051289,-0.1537486092256571
current_tvdi_mean,bejis_2022,montiferru_2021,0.5172782323463783,0.3555286181577596,True,False,montiferru_2021__bejis_2022,point_direction_reversal_interval_uncertain,,-0.0040509326780296,0.3156322331070116,0.1588306989607829
current_tvdi_mean,mugla_2021,evia_2021_extended,0.3357699119089857,0.3618882658736981,False,False,mugla_2021__evia_2021_extended,no_direction_reversal,,-0.0791886685513492,0.1324252133405764,0.0265286495262009
current_tvdi_mean,mugla_2021,montiferru_2021,0.3357699119089857,0.3555286181577596,False,False,montiferru_2021__mugla_2021,no_direction_reversal,,-0.1737539339838568,0.1203581818549478,-0.0214465597910751
current_tvdi_mean,evia_2021_extended,montiferru_2021,0.3618882658736981,0.3555286181577596,False,False,montiferru_2021__evia_2021_extended,no_direction_reversal,,-0.1524521799198469,0.1542782676304976,0.0050820897351258
tvdi_difference_mean,manavgat_2021,bejis_2022,0.44939202798988,0.5124941631737097,True,False,manavgat_2021__bejis_2022,point_direction_reversal_interval_uncertain,0.0643889440178069,-0.0319438531308578,0.1581439330993534,
tvdi_difference_mean,manavgat_2021,mugla_2021,0.44939202798988,0.4900245995441075,False,False,manavgat_2021__mugla_2021,no_direction_reversal,,-0.0719148691708279,0.1462905893083834,0.041412751779237
tvdi_difference_mean,manavgat_2021,evia_2021_extended,0.44939202798988,0.5191031776643451,True,False,manavgat_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,-0.0226078274090493,0.1604577538504925,0.0701641151649235
tvdi_difference_mean,manavgat_2021,montiferru_2021,0.44939202798988,0.3776218081882492,False,False,montiferru_2021__manavgat_2021,no_direction_reversal,,-0.0600879101687181,0.1863448145095089,0.0688745453036526
tvdi_difference_mean,bejis_2022,mugla_2021,0.5124941631737097,0.4900245995441075,True,False,bejis_2022__mugla_2021,point_direction_reversal_interval_uncertain,,-0.1350717413973996,0.0885215353838567,-0.0229761922385698
tvdi_difference_mean,bejis_2022,evia_2021_extended,0.5124941631737097,0.5191031776643451,False,False,bejis_2022__evia_2021_extended,no_direction_reversal,,-0.0954117970071949,0.1029742011725782,0.0057751711471165
tvdi_difference_mean,bejis_2022,montiferru_2021,0.5124941631737097,0.3776218081882492,True,False,montiferru_2021__bejis_2022,point_direction_reversal_interval_uncertain,,-0.0013924779316083,0.2533806870981555,0.1332634893214596
tvdi_difference_mean,mugla_2021,evia_2021_extended,0.4900245995441075,0.5191031776643451,True,False,mugla_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,-0.0779536153927744,0.143323027689046,0.0287513633856864
tvdi_difference_mean,mugla_2021,montiferru_2021,0.4900245995441075,0.3776218081882492,False,False,montiferru_2021__mugla_2021,no_direction_reversal,,-0.0431718224483264,0.2352901994847675,0.1102872970828897
tvdi_difference_mean,evia_2021_extended,montiferru_2021,0.5191031776643451,0.3776218081882492,True,False,montiferru_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,0.0006911796021418,0.2640131322863772,0.1390386604685761
downscaled_lst_mean,manavgat_2021,bejis_2022,0.5520694210669516,0.4836430737466933,True,False,manavgat_2021__bejis_2022,point_direction_reversal_interval_uncertain,-0.0683809074571483,-0.1825738760586036,0.0486921296982881,
