feature,a,b,auc_a,auc_b,point_reversal,strict_supported,pair_dir,pair_reversal_status,auc_difference_bejis_minus_manavgat,auc_difference_ci_low,auc_difference_ci_high,auc_difference_target_minus_source
lst_anomaly_mean,manavgat_2021,bejis_2022,0.5087692084924866,0.4179915266529903,True,False,manavgat_2021__bejis_2022,point_direction_reversal_interval_uncertain,-0.0895161002686223,-0.1661049765762328,-0.0112385012697659,
lst_anomaly_mean,manavgat_2021,mugla_2021,0.5087692084924866,0.4845735569026068,True,False,manavgat_2021__mugla_2021,point_direction_reversal_interval_uncertain,,-0.1201105729866291,0.0721818374272439,-0.0247368747339408
lst_anomaly_mean,manavgat_2021,evia_2021_extended,0.5087692084924866,0.6400549435604515,False,False,manavgat_2021__evia_2021_extended,no_direction_reversal,,0.0446790356583938,0.219005586067991,0.1317553730616004
lst_anomaly_mean,manavgat_2021,montiferru_2021,0.5087692084924866,0.395190132275989,True,False,montiferru_2021__manavgat_2021,point_direction_reversal_interval_uncertain,,-0.0262736783631549,0.2336204263181474,0.111363285865899
lst_anomaly_mean,bejis_2022,mugla_2021,0.4179915266529903,0.4845735569026068,False,False,bejis_2022__mugla_2021,no_direction_reversal,,-0.0427275908857639,0.164363128106447,0.0647792255346814
lst_anomaly_mean,bejis_2022,evia_2021_extended,0.4179915266529903,0.6400549435604515,True,True,bejis_2022__evia_2021_extended,bootstrap_supported_direction_reversal,,0.1230246786482432,0.3129870285911447,0.2212714733302228
lst_anomaly_mean,bejis_2022,montiferru_2021,0.4179915266529903,0.395190132275989,False,False,montiferru_2021__bejis_2022,no_direction_reversal,,-0.118741443260389,0.1522570634534766,0.0218471855972766
lst_anomaly_mean,mugla_2021,evia_2021_extended,0.4845735569026068,0.6400549435604515,True,False,mugla_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,0.0454012175689754,0.26252737477605,0.1564922477955413
lst_anomaly_mean,mugla_2021,montiferru_2021,0.4845735569026068,0.395190132275989,False,False,montiferru_2021__mugla_2021,no_direction_reversal,,-0.0817682095899406,0.229524247834703,0.0866264111319581
lst_anomaly_mean,evia_2021_extended,montiferru_2021,0.6400549435604515,0.395190132275989,True,False,montiferru_2021__evia_2021_extended,point_direction_reversal_interval_uncertain,,0.0887494706878233,0.3791403100766948,0.2431186589274994
