experiment_id,feature,raw_univariate_auc,auc_ci_low,auc_ci_high,n_burned_complete,n_unburned_complete
manavgat_2021,ndvi_mean,0.6359169371099176,0.5872285206570871,0.6762849193685545,784,19727
manavgat_2021,elevation_mean,0.3741075566689391,0.2890796631009303,0.4711534398242251,784,19727
manavgat_2021,slope_mean,0.5309574867864721,0.4228454993639831,0.641707826568334,784,19727
manavgat_2021,lst_anomaly_mean,0.4823529005017941,0.4279530417105843,0.5299474237983043,776,19382
manavgat_2021,current_lst_mean,0.5382779853437281,0.4517622723017039,0.620503038933485,784,19667
manavgat_2021,current_tvdi_mean,0.5520208992479892,0.4602480293883392,0.6410618349429631,784,19667
manavgat_2021,tvdi_difference_mean,0.44939202798988,0.3905414223569665,0.5051782545937413,784,19666
manavgat_2021,downscaled_lst_mean,0.5520694210669516,0.4659633972389294,0.637150621852662,784,19727
manavgat_2021,fused_lst_mean,0.5400826188182982,0.4542805043929701,0.6218679874478806,784,19727
bejis_2022,ndvi_mean,0.5587527905026131,0.4971818582643429,0.619346637555737,1100,14090
bejis_2022,elevation_mean,0.6432824053164721,0.5583150457861116,0.7290055219147464,1100,14090
bejis_2022,slope_mean,0.5207878895412608,0.4393212094762653,0.605295958421595,1100,14090
bejis_2022,lst_anomaly_mean,0.4179915266529903,0.3637850507544111,0.4795630994864565,1005,13205
bejis_2022,current_lst_mean,0.4767477506934928,0.4011532923534438,0.5474889652503846,1016,13642
bejis_2022,current_tvdi_mean,0.5172782323463783,0.4290091381060553,0.595208856020078,1016,13642
bejis_2022,tvdi_difference_mean,0.5124941631737097,0.4431549328523628,0.5829402577021532,1016,13642
bejis_2022,downscaled_lst_mean,0.4836430737466933,0.4003605903074035,0.5598325680030973,1100,14090
bejis_2022,fused_lst_mean,0.4806129105103555,0.4039472512732557,0.5514025133468518,1100,14090
mugla_2021,ndvi_mean,0.6616527794184797,0.6156274522323434,0.7035074327376446,2911,38819
mugla_2021,elevation_mean,0.6114025048859928,0.5319021930545539,0.6904319830630276,2911,38819
mugla_2021,slope_mean,0.6368180084143384,0.5819257681498503,0.68641744780742,2911,38819
mugla_2021,lst_anomaly_mean,0.4845735569026068,0.3945167019229775,0.5660732073894761,2853,37536
mugla_2021,current_lst_mean,0.324818209196232,0.2713831954453114,0.3821312123411832,2911,38564
mugla_2021,current_tvdi_mean,0.3357699119089857,0.2753568541074757,0.3975750036935558,2911,38564
mugla_2021,tvdi_difference_mean,0.4900245995441075,0.3964138391440796,0.5747477756769651,2911,38564
mugla_2021,downscaled_lst_mean,0.3069772529643672,0.2532048192658658,0.3658370610145918,2911,38819
mugla_2021,fused_lst_mean,0.3252143462207417,0.2720012810467721,0.3827633213333897,2911,38819
evia_2021_extended,ndvi_mean,0.6391494562092995,0.5749285449525442,0.7006046421340476,2664,6634
evia_2021_extended,elevation_mean,0.540559580910425,0.4483537317612215,0.626146085073554,2664,6634
evia_2021_extended,slope_mean,0.486543098344048,0.4176929735777913,0.554042450008236,2664,6634
evia_2021_extended,lst_anomaly_mean,0.6400549435604515,0.5671047052827075,0.710175869871198,2565,6450
evia_2021_extended,current_lst_mean,0.376519076673484,0.3012790089007279,0.4558582088724633,2649,6626
evia_2021_extended,current_tvdi_mean,0.3618882658736981,0.2852365355103699,0.4421714283463526,2649,6626
evia_2021_extended,tvdi_difference_mean,0.5191031776643451,0.4444187250619392,0.5889301019447588,2649,6624
evia_2021_extended,downscaled_lst_mean,0.3765491129362415,0.2968591404821376,0.4593307010841324,2657,6495
evia_2021_extended,fused_lst_mean,0.3756612638414718,0.3001519143454907,0.4556221037116367,2664,6634
montiferru_2021,ndvi_mean,0.5862731853113042,0.4501438316160231,0.7043832813462082,539,2005
montiferru_2021,elevation_mean,0.5837706290859124,0.3953155499799928,0.7623088314675833,539,2005
montiferru_2021,slope_mean,0.6519721105399766,0.5059965620455151,0.7705472817222545,539,2005
montiferru_2021,lst_anomaly_mean,0.395190132275989,0.285145350453144,0.5345227829044743,539,2005
montiferru_2021,current_lst_mean,0.3704643770906685,0.2478268478286555,0.5129602234841384,539,2005
montiferru_2021,current_tvdi_mean,0.3555286181577596,0.2331671304845549,0.4990539748344443,539,2005
montiferru_2021,tvdi_difference_mean,0.3776218081882492,0.2821229847499818,0.4965114911278295,539,2005
montiferru_2021,downscaled_lst_mean,0.364736376795746,0.2402589964942549,0.5110558445055425,539,2002
montiferru_2021,fused_lst_mean,0.3704727050647962,0.247836825343333,0.5130079558295708,539,2005
