subset,measure,label,family,expected_sign,published_n,n_directions,n_pairs,n_undefined_directions,seed_offset,spearman_rho,spearman_ci_low,spearman_ci_high,kendall_tau_b,kendall_ci_low,kendall_ci_high,n_valid_replicates,n_degenerate_replicates,ci_excludes_zero
supported_16dir,fraction_inside_weighted_aoa,"Fraction inside weighted AoA","P(x) marginal",+,12,12,6,4,10,0.2168,-0.5000,0.6000,0.0909,-0.3548,0.3226,2000,0,false
supported_16dir,unweighted_fraction_inside_support,"Fraction inside unweighted support","P(x) marginal",+,12,12,6,4,16,0.0769,-0.9248,0.6087,0.0303,-0.8333,0.4836,2000,0,false
supported_16dir,climate_distance,"Climatic distance","P(x) marginal",-,12,12,6,4,12,0.0565,-0.6994,0.7926,0.0318,-0.6334,0.6334,2000,0,false
supported_16dir,geographic_distance_km,"Geographic distance","geographic",-,12,12,6,4,14,-0.2403,-0.8393,0.7175,-0.1589,-0.7455,0.6334,2000,0,false
supported_16dir,regime_dist_log_effn,"Regime distance, log effective-N","P(y) spatial structure",-,20,16,8,0,0,0.2544,-0.4646,0.7616,0.1725,-0.3976,0.6163,2000,0,false
supported_16dir,regime_dist_largest_share,"Regime distance, largest share","P(y) spatial structure",-,20,16,8,0,2,0.2544,-0.4709,0.7550,0.1725,-0.3815,0.5950,2000,0,false
supported_16dir,vector_spearman_supported,"Vector Spearman, supported (>=3 feats)","P(y|x) conditional",+,2,2,1,14,104,,,,,,,0,2000,NA

check,measure,published_n,recomputed_n,published_rho,recomputed_rho,published_ci_low,recomputed_ci_low,published_ci_high,recomputed_ci_high,max_abs_diff
reproduction,agree_fraction_supported,16,16,0.8404,0.8404,0.5765,0.5765,0.8764,0.8764,4.00e-5
reproduction,cosine_supported,16,16,0.8054,0.8054,0.3295,0.3295,0.8774,0.8774,3.09e-5
reproduction,cosine_9,20,20,0.5042,0.5042,-0.1668,-0.1668,0.8253,0.8253,4.55e-5
reproduction,vector_spearman_9,20,20,0.2687,0.2687,-0.3631,-0.3631,0.7651,0.7651,4.69e-5
reproduction,agree_count_9,20,20,0.1785,0.1785,-0.4001,-0.4001,0.7183,0.7183,4.63e-5
reproduction,schoener_d_mean1d,20,20,0.2415,0.2415,-0.4502,-0.4502,0.7415,0.7415,4.75e-5
reproduction,warren_i_mean1d,20,20,0.2234,0.2234,-0.4233,-0.4233,0.7285,0.7285,3.10e-5
reproduction,schoener_d_pca2d,20,20,0.0966,0.0966,-0.5108,-0.5108,0.6810,0.6810,2.97e-5
reproduction,warren_i_pca2d,20,20,-0.0694,-0.0694,-0.6611,-0.6611,0.4913,0.4913,3.87e-5
reproduction,mahalanobis_burned,20,20,-0.2264,-0.2264,-0.7499,-0.7499,0.4422,0.4422,4.76e-5
reproduction,domain_classifier_auc,20,20,-0.3170,-0.3170,-0.7754,-0.7754,0.3276,0.3276,4.53e-5
reproduction,target_mean_dissimilarity,12,12,-0.1049,-0.1049,-0.5865,-0.5865,0.4565,0.4565,3.38e-5
reproduction,target_p95_dissimilarity,12,12,-0.0839,-0.0839,-0.5797,-0.5797,0.4662,0.4662,4.44e-5
reproduction,fraction_inside_weighted_aoa,12,12,0.2168,0.2168,-0.5000,-0.5000,0.6000,0.6000,3.87e-5
reproduction,unweighted_fraction_inside_support,12,12,0.0769,0.0769,-0.9248,-0.9248,0.6087,0.6087,3.33e-5
reproduction,climate_distance,12,12,0.0565,0.0565,-0.6994,-0.6994,0.7926,0.7926,4.61e-5
reproduction,geographic_distance_km,12,12,-0.2403,-0.2403,-0.8393,-0.8393,0.7175,0.7175,4.61e-5
reproduction,regime_dist_log_effn,20,20,0.2898,0.2898,-0.3787,-0.3787,0.7388,0.7388,4.39e-5
reproduction,regime_dist_largest_share,20,20,0.2898,0.2898,-0.3895,-0.3895,0.7224,0.7224,4.09e-5
reproduction,vector_spearman_supported,2,2,,,,,,,NA
