collar,region,feature,auc,n,pos
<=10km,evia_2021_extended,downscaled_lst_mean,0.2852294553626902,5134,2657
<=10km,evia_2021_extended,fused_lst_mean,0.284711112982141,5232,2664
<=10km,montiferru_2021,elevation_mean,0.5811567066601115,2490,539
<=10km,montiferru_2021,slope_mean,0.6505640511644759,2490,539
<=10km,montiferru_2021,ndvi_mean,0.5817467660844683,2490,539
<=10km,montiferru_2021,current_lst_mean,0.3763437997164291,2490,539
<=10km,montiferru_2021,lst_anomaly_mean,0.4001135424581277,2490,539
<=10km,montiferru_2021,current_tvdi_mean,0.36108879039244424,2490,539
<=10km,montiferru_2021,tvdi_difference_mean,0.38424897940164837,2490,539
<=10km,montiferru_2021,downscaled_lst_mean,0.3709528029692217,2488,539
<=10km,montiferru_2021,fused_lst_mean,0.3763523581931724,2490,539
<=5km,manavgat_2021,elevation_mean,0.4275298126064736,5770,2935
<=5km,manavgat_2021,slope_mean,0.4680402849511311,5770,2935
<=5km,manavgat_2021,ndvi_mean,0.5879201632069321,5770,2935
<=5km,manavgat_2021,current_lst_mean,0.5213387054613631,5770,2935
<=5km,manavgat_2021,lst_anomaly_mean,0.5256466892181226,5675,2901
<=5km,manavgat_2021,current_tvdi_mean,0.5338837060472496,5770,2935
<=5km,manavgat_2021,tvdi_difference_mean,0.4785833566185639,5770,2935
<=5km,manavgat_2021,downscaled_lst_mean,0.5308173266151688,5770,2935
<=5km,manavgat_2021,fused_lst_mean,0.5213338981879584,5770,2935
<=5km,bejis_2022,elevation_mean,0.5969945328753206,2979,1100
<=5km,bejis_2022,slope_mean,0.5800517683487348,2979,1100
<=5km,bejis_2022,ndvi_mean,0.6205938845614205,2979,1100
<=5km,bejis_2022,current_lst_mean,0.4072619850350198,2826,1016
<=5km,bejis_2022,lst_anomaly_mean,0.4248727724493227,2751,1005
<=5km,bejis_2022,current_tvdi_mean,0.4671004263279245,2826,1016
<=5km,bejis_2022,tvdi_difference_mean,0.4672885761517379,2826,1016
<=5km,bejis_2022,downscaled_lst_mean,0.3889310077894431,2979,1100
<=5km,bejis_2022,fused_lst_mean,0.4004448691276791,2979,1100
<=5km,mugla_2021,elevation_mean,0.5953591869143005,9672,2911
<=5km,mugla_2021,slope_mean,0.6450550881597026,9672,2911
<=5km,mugla_2021,ndvi_mean,0.6515704956250031,9672,2911
<=5km,mugla_2021,current_lst_mean,0.3363005927075115,9572,2911
<=5km,mugla_2021,lst_anomaly_mean,0.5038384854617781,9400,2853
<=5km,mugla_2021,current_tvdi_mean,0.3487652326531829,9572,2911
<=5km,mugla_2021,tvdi_difference_mean,0.5037058208511931,9572,2911
<=5km,mugla_2021,downscaled_lst_mean,0.32176214635731604,9672,2911
<=5km,mugla_2021,fused_lst_mean,0.3391161322863752,9672,2911
<=5km,evia_2021_extended,elevation_mean,0.6744883569701088,3897,2664
<=5km,evia_2021_extended,slope_mean,0.6152005107297077,3897,2664
<=5km,evia_2021_extended,ndvi_mean,0.6552356797186482,3897,2664
<=5km,evia_2021_extended,current_lst_mean,0.3097240127152393,3878,2649
<=5km,evia_2021_extended,lst_anomaly_mean,0.5832562310015421,3752,2565
<=5km,evia_2021_extended,current_tvdi_mean,0.2782992860655463,3878,2649
<=5km,evia_2021_extended,tvdi_difference_mean,0.5192118492908113,3878,2649
<=5km,evia_2021_extended,downscaled_lst_mean,0.30512628480261145,3845,2657
<=5km,evia_2021_extended,fused_lst_mean,0.30779715238352706,3897,2664
<=5km,montiferru_2021,elevation_mean,0.5277979587248225,1752,539
<=5km,montiferru_2021,slope_mean,0.5989060992005286,1752,539
<=5km,montiferru_2021,ndvi_mean,0.5338211429366769,1752,539
<=5km,montiferru_2021,current_lst_mean,0.44393376026870307,1752,539
<=5km,montiferru_2021,lst_anomaly_mean,0.38665538912859604,1752,539
<=5km,montiferru_2021,current_tvdi_mean,0.4330911109853519,1752,539
<=5km,montiferru_2021,tvdi_difference_mean,0.39201018037433066,1752,539
<=5km,montiferru_2021,downscaled_lst_mean,0.44218350954224495,1750,539
<=5km,montiferru_2021,fused_lst_mean,0.4439459962955428,1752,539
