frame,feature,region_a,region_b,auc_a,auc_b,diff,diff_lo_1000,diff_hi_1000,diff_lo,diff_hi,opposite_sides,p_norm,p_pct,p_iut_norm,p_iut_pct,strict_supported_1000,p_norm_holm,p_pct_holm,p_iut_norm_holm,p_iut_pct_holm,p_norm_bh,p_pct_bh,diff_excl0_1000
collar10,ndvi_mean,manavgat_2021,bejis_2022,0.5511228263488286,0.6177739290258731,-0.06665110267704455,-0.1603456378359152,0.026560445610286955,-0.16287530340611872,0.02964659251264429,False,0.1743632282911738,0.1776,1.0,1.0,False,1.0,1.0,1.0,1.0,0.35665205786831006,0.37172093023255814,False
collar10,ndvi_mean,manavgat_2021,mugla_2021,0.5511228263488286,0.6521441147756903,-0.10102128842686176,-0.17717029578054125,-0.020257407474199716,-0.18370289178555466,-0.0196895869906907,False,0.015816377256045084,0.0156,1.0,1.0,False,1.0,1.0,1.0,1.0,0.07707590601345062,0.078,True
collar10,ndvi_mean,manavgat_2021,evia_2021_extended,0.5511228263488286,0.663382936090296,-0.11226010974146738,-0.23166283394498088,0.004451767200528245,-0.22793130081706034,0.004432701321457578,False,0.05857318179589077,0.0596,1.0,1.0,False,1.0,1.0,1.0,1.0,0.17005117295581193,0.17303225806451614,False
collar10,ndvi_mean,manavgat_2021,montiferru_2021,0.5511228263488286,0.5817467660844683,-0.030623939735639705,-0.17568347040753848,0.1281292130932917,-0.17165357091343147,0.12024116328847932,False,0.6830336108642772,0.7057,1.0,1.0,False,1.0,1.0,1.0,1.0,0.8088555918129599,0.8356973684210526,False
collar10,ndvi_mean,bejis_2022,mugla_2021,0.6177739290258731,0.6521441147756903,-0.034370185749817206,-0.11429787184944201,0.04304503706599445,-0.11609771180087697,0.045364863878524384,False,0.4020089609974389,0.4021,1.0,1.0,False,1.0,1.0,1.0,1.0,0.6065715293102635,0.6086065573770492,False
collar10,ndvi_mean,bejis_2022,evia_2021_extended,0.6177739290258731,0.663382936090296,-0.045609007064422835,-0.15375498840871576,0.0737727480582317,-0.1592390660903761,0.07001551164386724,False,0.4339896423760976,0.4268,1.0,1.0,False,1.0,1.0,1.0,1.0,0.6299849647394965,0.6195483870967742,False
collar10,ndvi_mean,bejis_2022,montiferru_2021,0.6177739290258731,0.5817467660844683,0.036027162941404844,-0.10394222296334675,0.19147899666164517,-0.10513291007495126,0.18761577229320367,False,0.6282802578553686,0.6002,1.0,1.0,False,1.0,1.0,1.0,1.0,0.7641246379322051,0.739972602739726,False
collar10,ndvi_mean,mugla_2021,evia_2021_extended,0.6521441147756903,0.663382936090296,-0.01123882131460563,-0.11376925842260528,0.09490070274621006,-0.11413429248408136,0.0926314878059931,False,0.8308107550518191,0.8251,1.0,1.0,False,1.0,1.0,1.0,1.0,0.8594594017777439,0.8634767441860465,False
collar10,ndvi_mean,mugla_2021,montiferru_2021,0.6521441147756903,0.5817467660844683,0.07039734869122205,-0.057638206890873636,0.2129434844801321,-0.06206387061151531,0.2130324718808626,False,0.3136051777079878,0.2915,1.0,1.0,False,1.0,1.0,1.0,1.0,0.5042698522079903,0.4966363636363636,False
collar10,ndvi_mean,evia_2021_extended,montiferru_2021,0.663382936090296,0.5817467660844683,0.08163617000582768,-0.06856186888508305,0.24491372573170603,-0.07430846261529732,0.24488951761387912,False,0.3146685989276382,0.2949,1.0,1.0,False,1.0,1.0,1.0,1.0,0.5042698522079903,0.4966363636363636,False
collar10,elevation_mean,manavgat_2021,bejis_2022,0.3763365990331311,0.6143085374967179,-0.23797193846358677,-0.3715436881440808,-0.0916511151765234,-0.37296613680019214,-0.09816010224577187,True,0.000765268777697233,0.0012,0.042558150930464195,0.0473,False,0.05969096466038418,0.09359999999999999,1.0,1.0,0.0052980146148269985,0.008307692307692306,True
collar10,elevation_mean,manavgat_2021,mugla_2021,0.3763365990331311,0.6055696330476426,-0.22923303401451145,-0.34710307401480217,-0.11004528560937474,-0.34252537460372323,-0.11162807646511168,True,9.860520556788277e-05,0.0002,0.00889771550580437,0.0103,True,0.008240985360487623,0.016800000000000002,0.7918966800165889,0.9167,0.001021361611930904,0.0025714285714285717,True
collar10,elevation_mean,manavgat_2021,evia_2021_extended,0.3763365990331311,0.647769410765906,-0.2714328117327749,-0.40641541537741593,-0.13407377636661022,-0.39815740855064136,-0.13661074583560823,True,4.797811789257628e-05,5e-05,0.003712521885456419,0.0055,True,0.004174096256654137,0.0045000000000000005,0.3341269696910777,0.495,0.001021361611930904,0.0015000000000000002,True
collar10,elevation_mean,manavgat_2021,montiferru_2021,0.3763365990331311,0.5811567066601115,-0.20482010762698044,-0.3948777763186189,0.00975040974374439,-0.3968974509661778,0.0035654743284144865,True,0.04470500304555708,0.0543,0.37777728028912594,0.3871,False,1.0,1.0,1.0,1.0,0.15474808746538987,0.171,False
collar10,elevation_mean,bejis_2022,mugla_2021,0.6143085374967179,0.6055696330476426,0.008738904449075324,-0.13970270558439668,0.14686384973105082,-0.12770643938652393,0.14521878290205242,False,0.899599279159914,0.8857,1.0,1.0,False,1.0,1.0,1.0,1.0,0.9200447173226394,0.9058295454545455,False
collar10,elevation_mean,bejis_2022,evia_2021_extended,0.6143085374967179,0.647769410765906,-0.03346087326918812,-0.18260928299627083,0.12582069257114753,-0.1801003188177616,0.11820068753644525,False,0.6588735798853931,0.6678,1.0,1.0,False,1.0,1.0,1.0,1.0,0.7906482958624717,0.80136,False
