region,feature,v_auc,v_lo,v_hi,n_burned,v_sup,c_auc,c_lo,c_hi,c_sup,auc_diff,flag_disagree
manavgat_2021,ndvi_mean,0.5640055957519895,0.502242634548357,0.6237161371055441,2935,True,0.5640055957519895,0.4993498073043752,0.6277578539104064,False,0.0,True
manavgat_2021,elevation_mean,0.232040982011245,0.17694162152227,0.2869196823661002,2935,True,0.232040982011245,0.17885122027515035,0.2875573502683869,True,0.0,False
manavgat_2021,slope_mean,0.40018140735508156,0.3397495313886008,0.4613849131045765,2935,True,0.40018140735508156,0.34027000461620815,0.45885532889780883,True,0.0,False
manavgat_2021,lst_anomaly_mean,0.5087692084924866,0.45889352327645744,0.5559036752448497,2935,False,0.5087692084924866,0.45983049444070595,0.5603616928801307,False,0.0,False
manavgat_2021,current_lst_mean,0.6646991429203886,0.6083927804334519,0.7190650386253163,2935,True,0.6646991429203886,0.6081290746892744,0.7187016715657228,True,0.0,False
manavgat_2021,current_tvdi_mean,0.6770834881362302,0.6206708797590522,0.7306820561084768,2935,True,0.6770834881362302,0.6218036548158401,0.7328792708253501,True,0.0,False
manavgat_2021,tvdi_difference_mean,0.4603939869501002,0.4069737959980362,0.5078314016927175,2935,False,0.4603939869501002,0.4094766111758704,0.5099353700997888,False,0.0,False
manavgat_2021,downscaled_lst_mean,0.6831504494668662,0.6258487068450431,0.7375598943584175,2935,True,0.6831504494668662,0.6261141818665329,0.7385569394422626,True,0.0,False
manavgat_2021,fused_lst_mean,0.6662317904467838,0.6099291924944373,0.720489259821253,2935,True,0.6662317904467838,0.6103754018797709,0.7205473076501159,True,0.0,False
bejis_2022,ndvi_mean,0.5587527905026131,0.49888253822928885,0.6183894783924991,1100,False,0.5587527905026131,0.4971818582643429,0.619346637555737,False,0.0,False
bejis_2022,elevation_mean,0.6432824053164721,0.5587377214753149,0.7268527799170467,1100,True,0.6432824053164721,0.5583150457861116,0.7290055219147464,True,0.0,False
bejis_2022,slope_mean,0.5207878895412608,0.44244890228424566,0.6145826640799289,1100,False,0.5207878895412608,0.4393212094762653,0.605295958421595,False,0.0,False
bejis_2022,lst_anomaly_mean,0.4179915266529903,0.3650300259221785,0.4805140101937346,1100,True,0.4179915266529903,0.3637850507544111,0.4795630994864565,True,0.0,False
bejis_2022,current_lst_mean,0.47674775069349284,0.40462431524859105,0.5397151357215858,1100,False,0.4767477506934928,0.4011532923534438,0.5474889652503846,False,5.551115123125783e-17,False
bejis_2022,current_tvdi_mean,0.5172782323463783,0.4290661959964498,0.5983592473084964,1100,False,0.5172782323463783,0.4290091381060553,0.595208856020078,False,0.0,False
bejis_2022,tvdi_difference_mean,0.5124941631737097,0.44593921263931996,0.581454380592297,1100,False,0.5124941631737097,0.4431549328523628,0.5829402577021532,False,0.0,False
bejis_2022,downscaled_lst_mean,0.4836430737466933,0.40529954988027067,0.5526879769554394,1100,False,0.4836430737466933,0.4003605903074035,0.5598325680030973,False,0.0,False
bejis_2022,fused_lst_mean,0.4806129105103555,0.40727019949162857,0.5444239190329637,1100,False,0.4806129105103555,0.4039472512732557,0.5514025133468518,False,0.0,False
mugla_2021,ndvi_mean,0.6616527794184797,0.6151334266014162,0.7032574058195429,2911,True,0.6616527794184797,0.6156274522323434,0.7035074327376446,True,0.0,False
mugla_2021,elevation_mean,0.6114025048859928,0.5293535718404065,0.6919275551137551,2911,True,0.6114025048859928,0.5319021930545539,0.6904319830630276,True,0.0,False
mugla_2021,slope_mean,0.6368180084143384,0.5844444276707379,0.6891178842869343,2911,True,0.6368180084143384,0.5819257681498503,0.68641744780742,True,0.0,False
mugla_2021,lst_anomaly_mean,0.4845735569026068,0.39560774187162223,0.5704077484920387,2911,False,0.4845735569026068,0.3945167019229775,0.5660732073894761,False,0.0,False
mugla_2021,current_lst_mean,0.324818209196232,0.271196081495244,0.38598937583868786,2911,True,0.324818209196232,0.2713831954453114,0.3821312123411832,True,0.0,False
mugla_2021,current_tvdi_mean,0.3357699119089857,0.2706950899545906,0.40264431844002924,2911,True,0.3357699119089857,0.27535685410747573,0.39757500369355586,True,0.0,False
mugla_2021,tvdi_difference_mean,0.49002459954410754,0.40048827639280404,0.5890794192083837,2911,False,0.49002459954410754,0.3964138391440796,0.5747477756769651,False,0.0,False
mugla_2021,downscaled_lst_mean,0.30697725296436723,0.2513739472156283,0.37032740204756714,2911,True,0.30697725296436723,0.25320481926586585,0.36583706101459185,True,0.0,False
