feature,source_experiment_id,target_experiment_id,bejis_2022_auc,bejis_2022_ci_low,bejis_2022_ci_high,bejis_2022_direction,bejis_2022_support_status,evia_2021_auc,evia_2021_ci_low,evia_2021_ci_high,evia_2021_direction,evia_2021_support_status,auc_difference_target_minus_source,auc_difference_ci_low,auc_difference_ci_high,point_direction_reversal,reversal_status,step9e_relationship_direction_flag,integrated_interpretation
ndvi_mean,bejis_2022,evia_2021,0.5587527905026131,0.4971818582643429,0.619346637555737,higher_values_rank_burned,interval_includes_chance,0.530982585466552,0.39850163823523166,0.6710328076549124,higher_values_rank_burned,interval_includes_chance,-0.027005567783962098,-0.17562224343725133,0.12767156877879346,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
elevation_mean,bejis_2022,evia_2021,0.6432824053164721,0.5583150457861116,0.7290055219147464,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.6471984520414713,0.4982210142391625,0.7860616239789883,higher_values_rank_burned,interval_includes_chance,0.0007443609154180002,-0.1585431390920334,0.17432674807685486,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
slope_mean,bejis_2022,evia_2021,0.5207878895412608,0.4393212094762653,0.605295958421595,higher_values_rank_burned,interval_includes_chance,0.5207375456919672,0.4007798766440036,0.6503769049981563,higher_values_rank_burned,interval_includes_chance,-0.0020261665271933166,-0.15935799070770315,0.1531627993385801,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
lst_anomaly_mean,bejis_2022,evia_2021,0.4179915266529903,0.36378505075441114,0.4795630994864565,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.5486834003945583,0.45832651904938176,0.6382436121510005,higher_values_rank_burned,interval_includes_chance,0.12687264971631879,0.018745387626821198,0.23296282060688328,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
current_lst_mean,bejis_2022,evia_2021,0.47674775069349284,0.4011532923534438,0.5474889652503846,lower_values_rank_burned,interval_includes_chance,0.4157760500201961,0.2766384394183707,0.5449509076717998,lower_values_rank_burned,interval_includes_chance,-0.06065473948661017,-0.220649973437435,0.09116166890769034,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
current_tvdi_mean,bejis_2022,evia_2021,0.5172782323463783,0.42900913810605534,0.595208856020078,higher_values_rank_burned,interval_includes_chance,0.37516948191681093,0.24945073288101532,0.49895814345984313,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,-0.14190082667059056,-0.29084094216898565,0.00941267217826496,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
tvdi_difference_mean,bejis_2022,evia_2021,0.5124941631737097,0.44315493285236285,0.5829402577021532,higher_values_rank_burned,interval_includes_chance,0.5211031560249345,0.4376357776423534,0.6040288442459625,higher_values_rank_burned,interval_includes_chance,0.006436125954398102,-0.09833630194820261,0.11582024357367517,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
downscaled_lst_mean,bejis_2022,evia_2021,0.4836430737466933,0.4003605903074035,0.5598325680030973,lower_values_rank_burned,interval_includes_chance,0.41518605300957323,0.27226601471476264,0.5534789014729364,lower_values_rank_burned,interval_includes_chance,-0.06832847424179894,-0.2391353184120187,0.0955832461387445,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
fused_lst_mean,bejis_2022,evia_2021,0.4806129105103555,0.40394725127325576,0.5514025133468518,lower_values_rank_burned,interval_includes_chance,0.41405812571397127,0.27592190177527953,0.5439061745486937,lower_values_rank_burned,interval_includes_chance,-0.066101981748022,-0.22726530349276888,0.08718156179788214,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
