measure,label,expected_sign,n_directions,n_pairs,spearman_rho,spearman_ci_low,spearman_ci_high,kendall_tau_b,kendall_ci_low,kendall_ci_high,n_valid_replicates
schoener_d_mean1d,"Schoener's D, mean of 9 1D overlaps",positive,20,10,0.0966,-0.5345,0.6302,0.0757,-0.3739,0.4832,2000
warren_i_mean1d,"Warren's I, mean of 9 1D overlaps",positive,20,10,0.1902,-0.4264,0.7661,0.1622,-0.3057,0.6246,2000
schoener_d_pca2d,"Schoener's D, PCA 2D histogram",positive,20,10,0.0332,-0.5870,0.6302,0.0108,-0.4681,0.4862,2000
warren_i_pca2d,"Warren's I, PCA 2D histogram",positive,20,10,-0.0272,-0.6566,0.5601,-0.0324,-0.5014,0.4168,2000
mahalanobis_burned,"Mahalanobis distance, burned centroids",negative,20,10,-0.2204,-0.8187,0.4236,-0.2055,-0.6953,0.2895,2000
