feature,population,source_experiment_id,target_experiment_id,source_mean_difference,target_mean_difference,source_median_difference,target_median_difference,source_rank_biserial_correlation,target_rank_biserial_correlation,source_raw_auc,target_raw_auc,mean_direction_flip,median_direction_flip,rank_effect_direction_flip,raw_auc_below_0_5_in_one_region_only,relationship_flip_score
current_lst_mean,all_valid,montiferru_2021,manavgat_2021,-0.06984538215206726,2.704559061776969,-1.185567855834961,2.745187759399414,-0.0516829569607109,0.31416737689116636,0.47415852151964455,0.6570836884455832,True,True,True,True,3
current_lst_mean,burnable_tree_shrub,montiferru_2021,manavgat_2021,-1.633286437732096,1.6437616870074692,-2.0897579193115234,1.8629035949707031,-0.20865991264876182,0.2635742216542112,0.3956700436756191,0.6317871108271056,True,True,True,True,3
current_lst_mean,burnable_tree_shrub_grass,montiferru_2021,manavgat_2021,-2.0878221521044935,2.428260977000747,-2.717876434326172,2.571887969970703,-0.25907124581866303,0.3293982858407771,0.3704643770906685,0.6646991429203886,True,True,True,True,3
current_tvdi_mean,all_valid,montiferru_2021,manavgat_2021,-0.006527261560433151,0.15285120532534474,-0.05648365616798401,0.17817187309265137,-0.10345514934765432,0.3431551765631933,0.44827242532617284,0.6715775882815966,True,True,True,True,3
current_tvdi_mean,burnable_tree_shrub,montiferru_2021,manavgat_2021,-0.08324139075491493,0.1060486481862511,-0.0977063775062561,0.1269226372241974,-0.23541710522819836,0.29507170701872587,0.3822914473859008,0.6475358535093629,True,True,True,True,3
current_tvdi_mean,burnable_tree_shrub_grass,montiferru_2021,manavgat_2021,-0.09031625023145462,0.140937282437906,-0.11806291341781616,0.16818594932556152,-0.2889427636844808,0.3541669762724604,0.3555286181577596,0.6770834881362302,True,True,True,True,3
downscaled_lst_mean,all_valid,montiferru_2021,manavgat_2021,-1.1834645025301782,2.7985054000393745,-1.4520950317382812,2.8571815490722656,-0.15364902186133045,0.34395996647635685,0.4231754890693348,0.6719799832381784,True,True,True,True,3
downscaled_lst_mean,burnable_tree_shrub,montiferru_2021,manavgat_2021,-1.6860672373318337,1.7470278195542548,-2.1054115295410156,2.0503921508789062,-0.2119995411265343,0.3027815905511362,0.39400022943673285,0.6513907952755681,True,True,True,True,3
downscaled_lst_mean,burnable_tree_shrub_grass,montiferru_2021,manavgat_2021,-2.1268831975486933,2.51116496243921,-2.726390838623047,2.728487014770508,-0.270527246408508,0.3663008989337324,0.364736376795746,0.6831504494668662,True,True,True,True,3
elevation_mean,all_valid,montiferru_2021,manavgat_2021,73.78241813789202,-414.6361886979624,24.0494384765625,-567.7796478271484,0.17241790920237454,-0.3251519724661007,0.5862089546011873,0.33742401376694964,True,True,True,True,3
