subset,feature,signed_auc,ci10_lo,ci10_hi,valid_reps,supported,median_burned_subset,median_unburned
all,ndvi_mean,0.5640055957519895,0.4993498073043752,0.6277578539104064,1000,False,0.5439432263374329,0.5117437839508057
all,elevation_mean,0.232040982011245,0.17885122027515035,0.2875573502683869,1000,True,286.5644836425781,1003.9690246582031
all,slope_mean,0.40018140735508156,0.34027000461620815,0.45885532889780883,1000,True,15.800135612487793,19.137463569641113
all,lst_anomaly_mean,0.5087692084924866,0.45983049444070595,0.5603616928801307,1000,False,-0.3801524341106415,-0.3845338821411133
all,current_lst_mean,0.6646991429203886,0.6081290746892744,0.7187016715657228,1000,True,37.363975524902344,34.79208755493164
all,current_tvdi_mean,0.6770834881362302,0.6218036548158401,0.7328792708253501,1000,True,0.6215698719024658,0.4533839225769043
all,tvdi_difference_mean,0.4603939869501002,0.4094766111758704,0.5099353700997888,1000,False,-0.04921964555978775,-0.03831816464662552
all,downscaled_lst_mean,0.6831504494668662,0.6261141818665329,0.7385569394422626,1000,True,37.42384338378906,34.695356369018555
all,fused_lst_mean,0.6662317904467838,0.6103754018797709,0.7205473076501159,1000,True,37.363975524902344,34.752668380737305
early_doy209_212,ndvi_mean,0.536340101363869,0.4551172101711015,0.6105035403200588,1000,False,0.5286431312561035,0.5117437839508057
early_doy209_212,elevation_mean,0.19701443496657778,0.14844881035293758,0.2501547207009455,1000,True,219.0612030029297,1003.9690246582031
early_doy209_212,slope_mean,0.35860757833629264,0.3017478943292798,0.4211426276708261,1000,True,14.72365951538086,19.137463569641113
early_doy209_212,lst_anomaly_mean,0.5175407217531505,0.4619731264518995,0.5747303080231204,1000,False,-0.34851881861686707,-0.3845338821411133
early_doy209_212,current_lst_mean,0.7008835861194158,0.6391893463850545,0.7575166900864274,1000,True,38.09648513793945,34.79208755493164
early_doy209_212,current_tvdi_mean,0.7120379491782185,0.6532033148860777,0.7669348012934315,1000,True,0.6541393399238586,0.4533839225769043
early_doy209_212,tvdi_difference_mean,0.4656609006054849,0.40546039879408524,0.524002701131385,1000,False,-0.04719880223274231,-0.03831816464662552
early_doy209_212,downscaled_lst_mean,0.7197242176739465,0.657296960030279,0.7772756993290865,1000,True,38.12177658081055,34.695356369018555
early_doy209_212,fused_lst_mean,0.7022703765140198,0.641416661461248,0.7586388855953552,1000,True,38.09648513793945,34.752668380737305
late_doy213plus,ndvi_mean,0.6399092672173559,0.5918367532121204,0.6823821741641586,1000,True,0.5660929977893829,0.5117437839508057
late_doy213plus,elevation_mean,0.3281406027932338,0.24175262870197387,0.43045121533307595,1000,True,512.3355865478516,1003.9690246582031
late_doy213plus,slope_mean,0.51424429794107,0.4071317502403812,0.6244435727320385,1000,False,18.84978675842285,19.137463569641113
late_doy213plus,lst_anomaly_mean,0.4847492784938907,0.4267630185669785,0.5349861156607991,1000,False,-0.4187082052230835,-0.3845338821411133
late_doy213plus,current_lst_mean,0.5654226922557102,0.47361482581048997,0.6422530719586704,1000,False,35.76262855529785,34.79208755493164
late_doy213plus,current_tvdi_mean,0.5811816441294491,0.48037059737176224,0.6632032351490957,1000,False,0.5406115055084229,0.4533839225769043
late_doy213plus,tvdi_difference_mean,0.4459435644083497,0.383674431776351,0.506703782511939,1000,False,-0.05410247854888439,-0.03831816464662552
late_doy213plus,downscaled_lst_mean,0.5828058379701448,0.4885405021484282,0.6642851712532358,1000,False,35.99583053588867,34.695356369018555
late_doy213plus,fused_lst_mean,0.5673555166832321,0.47610755620751255,0.6437102779099942,1000,False,35.76262855529785,34.752668380737305
