measure,label,expected_sign,n_directions,n_pairs,spearman_rho,spearman_ci_low,spearman_ci_high,kendall_tau_b,kendall_ci_low,kendall_ci_high,n_valid_replicates
schoener_d_mean1d,"Schoener's D, mean of 9 1D overlaps",positive,20,10,0.2415,-0.4502,0.7415,0.1514,-0.3526,0.5557,2000
warren_i_mean1d,"Warren's I, mean of 9 1D overlaps",positive,20,10,0.2234,-0.4233,0.7285,0.1514,-0.3179,0.5539,2000
schoener_d_pca2d,"Schoener's D, PCA 2D histogram",positive,20,10,0.0966,-0.5108,0.6810,0.0649,-0.3889,0.5210,2000
warren_i_pca2d,"Warren's I, PCA 2D histogram",positive,20,10,-0.0694,-0.6611,0.4913,-0.0649,-0.4978,0.3481,2000
mahalanobis_burned,"Mahalanobis distance, burned centroids",negative,20,10,-0.2264,-0.7499,0.4422,-0.1730,-0.6011,0.3300,2000
