block,direction,source_region,target_region,metric,value,ci_low,ci_high,source_file,source_column
aoa,manavgat_2021_to_evia_2021_extended,manavgat_2021,evia_2021_extended,raw_thermal_pr_auc,0.3426989575695243,,,"drive_new/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_pr_auc
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,fraction_inside_weighted_aoa,0.2207248844563366,,,"drive_new/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/marginal_diagnostics_with_transfer.csv",fraction_inside_weighted_aoa
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,unweighted_fraction_target_cells_inside_support,0.7485769885672586,,,"drive_new/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/marginal_diagnostics_with_transfer.csv",unweighted_fraction_target_cells_inside_support
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,target_mean_dissimilarity,0.365092481069614,,,"drive_new/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/marginal_diagnostics_with_transfer.csv",target_mean_dissimilarity
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,target_p95_dissimilarity,0.687146340764711,,,"drive_new/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/marginal_diagnostics_with_transfer.csv",target_p95_dissimilarity
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,raw_thermal_roc_auc,0.4435284296463047,,,"drive_new/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_roc_auc
aoa,bejis_2022_to_manavgat_2021,bejis_2022,manavgat_2021,raw_thermal_pr_auc,0.034406342979776,,,"drive_new/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_pr_auc
aoa,bejis_2022_to_mugla_2021,bejis_2022,mugla_2021,fraction_inside_weighted_aoa,0.1997795403896384,,,"drive_new/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/marginal_diagnostics_with_transfer.csv",fraction_inside_weighted_aoa
aoa,bejis_2022_to_mugla_2021,bejis_2022,mugla_2021,unweighted_fraction_target_cells_inside_support,0.7637966978984448,,,"drive_new/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/marginal_diagnostics_with_transfer.csv",unweighted_fraction_target_cells_inside_support
aoa,bejis_2022_to_mugla_2021,bejis_2022,mugla_2021,target_mean_dissimilarity,0.3199361972811828,,,"drive_new/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/marginal_diagnostics_with_transfer.csv",target_mean_dissimilarity
