feature,source_experiment_id,target_experiment_id,mugla_2021_auc,mugla_2021_ci_low,mugla_2021_ci_high,mugla_2021_direction,mugla_2021_support_status,manavgat_2021_auc,manavgat_2021_ci_low,manavgat_2021_ci_high,manavgat_2021_direction,manavgat_2021_support_status,auc_difference_target_minus_source,auc_difference_ci_low,auc_difference_ci_high,point_direction_reversal,reversal_status,step9e_relationship_direction_flag,integrated_interpretation
ndvi_mean,mugla_2021,manavgat_2021,0.6616527794184797,0.6156274522323434,0.7035074327376446,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.6359169371099176,0.5872285206570871,0.6762849193685545,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,-0.02495278913136509,-0.0912810049222,0.03898025522313852,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
elevation_mean,mugla_2021,manavgat_2021,0.6114025048859928,0.5319021930545539,0.6904319830630276,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.37410755666893913,0.2890796631009303,0.4711534398242251,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,-0.23498886059728857,-0.3604662729341169,-0.1017669803139547,True,bootstrap_supported_direction_reversal,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
slope_mean,mugla_2021,manavgat_2021,0.6368180084143384,0.5819257681498503,0.68641744780742,higher_values_rank_burned,bootstrap_supported_higher_values_rank_burned,0.5309574867864721,0.4228454993639831,0.641707826568334,higher_values_rank_burned,interval_includes_chance,-0.10540859138924355,-0.22573017593269654,0.020569947938897278,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
lst_anomaly_mean,mugla_2021,manavgat_2021,0.4845735569026068,0.3945167019229775,0.5660732073894761,lower_values_rank_burned,interval_includes_chance,0.4823529005017941,0.4279530417105843,0.5299474237983043,lower_values_rank_burned,interval_includes_chance,-0.002954835416611622,-0.10193048116253918,0.10231802951315264,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
current_lst_mean,mugla_2021,manavgat_2021,0.324818209196232,0.2713831954453114,0.3821312123411832,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.5382779853437281,0.45176227230170396,0.620503038933485,higher_values_rank_burned,interval_includes_chance,0.21205220910719771,0.11019755591466894,0.312986312105036,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
current_tvdi_mean,mugla_2021,manavgat_2021,0.3357699119089857,0.27535685410747573,0.39757500369355586,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.5520208992479892,0.4602480293883392,0.6410618349429631,higher_values_rank_burned,interval_includes_chance,0.21498652399803644,0.10408224409145575,0.32249571745015815,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
tvdi_difference_mean,mugla_2021,manavgat_2021,0.49002459954410754,0.3964138391440796,0.5747477756769651,lower_values_rank_burned,interval_includes_chance,0.44939202798988004,0.3905414223569665,0.5051782545937413,lower_values_rank_burned,interval_includes_chance,-0.04141275177923708,-0.14629058930838343,0.0719148691708279,False,no_direction_reversal,False,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
downscaled_lst_mean,mugla_2021,manavgat_2021,0.30697725296436723,0.25320481926586585,0.36583706101459185,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.5520694210669516,0.4659633972389294,0.637150621852662,higher_values_rank_burned,interval_includes_chance,0.24338705889718212,0.13723059021053108,0.34731905088968845,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
fused_lst_mean,mugla_2021,manavgat_2021,0.32521434622074175,0.2720012810467721,0.3827633213333897,lower_values_rank_burned,bootstrap_supported_lower_values_rank_burned,0.5400826188182982,0.4542805043929701,0.6218679874478806,higher_values_rank_burned,interval_includes_chance,0.2134352074127815,0.11142410809562267,0.31425873490594386,True,point_direction_reversal_interval_uncertain,True,"Feature-level univariate AUC direction reversals indicate that marginal feature-label relationships are not stable across the selected regions, a pattern consistent with concept/relationship shift. Target labels are used only for this diagnostic evaluation. This does NOT prove causality or establish concept shift as the only transfer-failure mechanism; AUC below 0.5 is a direction and is never inverted."
